,nonOld,old
boy,0.035326086956521736,0.025543478260869567
elder,0.017391304347826087,0.03260869565217391
girl,0.03206521739130435,0.03369565217391304
kid,0.024456521739130436,0.035869565217391305
man,0.014673913043478261,0.028804347826086957
woman,0.021739130434782608,0.026630434782608695
