,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB
Baseline,0.0159574468085106,-0.0209205020920502,0.0722222222222222,0.014388489208633,0.0775862068965517,0.040214973445593535,0.0797872340425532,0.0794979079497908,0.1388888888888889,0.0719424460431654,0.1810344827586207,0.1102301919366038,0.0,0.03815738890413076
bisexual,0.0638297872340425,-0.0208333333333333,0.0166666666666666,-0.0142857142857142,0.1120689655172413,0.04553689340739958,0.1914893617021276,0.1458333333333333,0.1944444444444444,0.1142857142857142,0.1637931034482758,0.16196919144277905,0.03333440537096825,0.0
gay,0.0053191489361702,-0.0041666666666666,0.1,0.0214285714285714,0.0603448275862069,0.03825184292352302,0.1968085106382978,0.2375,0.2888888888888888,0.1785714285714285,0.2327586206896551,0.22690548975765404,0.015890274521157,0.0
lesbian,-0.026595744680851,0.0543933054393305,0.0888888888888888,-0.014388489208633,0.043103448275862,0.045473975298713054,0.175531914893617,0.2384937238493724,0.3444444444444444,0.1726618705035971,0.2672413793103448,0.23967466660027514,0.039558680545072916,0.0
pansexual,0.0,0.0292887029288702,0.0666666666666666,0.0863309352517985,-0.0258620689655172,0.0416296747625705,0.1276595744680851,0.1213389121338912,0.2,0.1726618705035971,0.1637931034482758,0.15709069211076984,0.049422585858044196,0.0
straight,-0.0695187165775401,0.0084033613445378,0.0333333333333333,0.0,0.1724137931034483,0.05673384087177189,0.2085561497326203,0.3781512605042016,0.3,0.302158273381295,0.5172413793103449,0.3412214125856924,0.052580998225411436,0.0
