,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB
Baseline,0.0691489361702127,-0.0666666666666666,0.0555555555555555,0.05,0.1982758620689655,0.08792940409228005,0.2925531914893617,0.3083333333333333,0.4777777777777778,0.3785714285714285,0.4051724137931034,0.37248162899300097,0.0,0.12123000733675711
bisexual,0.1117021276595744,-0.0208333333333333,0.0222222222222222,0.0214285714285714,0.0258620689655172,0.0404096647218437,0.324468085106383,0.1458333333333333,0.3444444444444444,0.2357142857142857,0.1637931034482758,0.24285065040934445,0.06454101596618103,0.0
gay,0.0585106382978723,0.175,0.0111111111111111,0.0785714285714285,-0.1982758620689655,0.10429380800987546,0.4840425531914893,0.6916666666666667,0.8,0.5928571428571429,0.5086206896551724,0.6154374104740942,0.14437451233856216,0.0
lesbian,-0.0478723404255319,0.0708333333333333,0.4166666666666667,0.0071428571428571,-0.1896551724137931,0.14643407399643643,0.4840425531914893,0.5541666666666667,1.3277777777777775,0.5928571428571429,0.4655172413793103,0.6848722763744772,0.20928411300935146,0.0
pansexual,-0.0053191489361702,-0.0083333333333333,0.05,0.2214285714285714,-0.0344827586206896,0.06391276246375291,0.25,0.1416666666666666,0.1944444444444444,0.3357142857142857,0.1206896551724138,0.20850301039956207,0.10850883322269964,0.0
straight,0.0585106382978723,0.0208333333333333,-0.0166666666666666,0.0214285714285714,0.396551724137931,0.10279818677287493,0.5797872340425532,0.6708333333333333,0.7166666666666667,0.6214285714285714,1.396551724137931,0.7970535059218111,0.0794415621469913,0.0
