,TB,TB_std,BAmt,BAmt_std,PB,PB_std,BS_a,BS_a_std,Acc_a,Acc_a_std
meta-llama/Llama-2-7b-chat-hf,0.0737290947534848,0.0256083948126278,0.8485318462025779,0.020801125629688,0.1002008725691651,0.0134772384854783,0.0489311615041528,0.0106621260499398,0.4333333333333333,0.0118790197874702
meta-llama/Llama-2-13b-chat-hf,0.0790584848755579,0.0183911659691408,0.658042611859685,0.0202361600822515,0.1017254357431185,0.0115578631167692,0.0342882219315724,0.0101551991061502,0.5686666666666667,0.0149592037815445
meta-llama/Llama-2-70b-chat-hf,0.1232522030814713,0.022403275253348,0.7368450709182417,0.0138784820186798,0.1245765477070354,0.0034175026133819,0.0205702284331483,0.0072037382724321,0.521,0.0067164805598699
gpt-3.5-turbo-0613,0.1268823310835505,0.0148638748715326,0.4394360064055186,0.015677158981715,0.1332557868960307,0.0186440247268147,0.027743569385404,0.0032367867362589,0.7046666666666667,0.0085244745683629
gpt-4-1106-preview,0.0697459349593495,0.0,0.0803889504804138,0.0,0.0130479591546664,0.0,0.0033744010951403,0.0,0.7933333333333333,0.0
