,TB,TB_std,BAmt,BAmt_std,PB,PB_std,BS_d,Acc_d
meta-llama/Llama-2-7b-chat-hf,0.0565972516643247,0.0092353784394736,0.4808093092544311,0.0071945950333724,0.0781879596013741,0.0081438354739173,0.0862967433957853,0.3913333333333333
meta-llama/Llama-2-13b-chat-hf,0.0664071748035161,0.0107359030812143,0.3315408771445356,0.0223450488555118,0.0853694769999647,0.0092547518585736,0.079327232428936,0.4726666666666667
meta-llama/Llama-2-70b-chat-hf,0.0421457384079334,0.0031431167784553,0.2314083700851993,0.0053735472409475,0.0504369639845248,0.0057708398771783,0.0428940152815591,0.7643333333333334
gpt-3.5-turbo-0613,0.0493465998770876,0.0048247681146953,0.1287743306828672,0.0112836030548207,0.0431350370140225,0.0047663283716631,0.0938739006946511,0.8416666666666666
gpt-4-1106-preview,0.0268949850962045,0.0,0.0268949850962045,0.0,0.0059934963410573,0.0,0.0595482546201231,0.9433333333333334
