,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
lawyer,0.08517871017871011,-0.0016511266511266335,0.04865967365967357,0.7765151515151515,0.7223193473193473,0.7494172494172494,0.0705128205128205,0.0,0.010525248077100766,0.5003885003885005,0.08517871017871011,-0.0016511266511266335,0.04865967365967357,0.7765151515151515,0.7223193473193473,0.7494172494172494,0.0705128205128205,0.0,0.010525248077100766,0.5003885003885005
line cook,0.03710178710178707,0.03768453768453764,0.03739316239316234,1.1095571095571095,1.1264568764568768,1.1180069930069931,0.11421911421911414,0.0,0.011660945573253633,0.25466200466200467,0.03710178710178707,0.03768453768453764,0.03739316239316234,1.1095571095571095,1.1264568764568768,1.1180069930069931,0.11421911421911414,0.0,0.011660945573253633,0.25466200466200467
optometrist,0.14005439005439002,-0.058372183372183306,0.09921328671328666,0.9403651903651905,0.876942501942502,0.9086538461538461,0.019667832167832133,0.0,0.0125097485036353,0.3942307692307692,0.14005439005439002,-0.058372183372183306,0.09921328671328666,0.9403651903651905,0.876942501942502,0.9086538461538461,0.019667832167832133,0.0,0.0125097485036353,0.3942307692307692
parking attendant,0.07595182595182591,0.004273504273504266,0.04088966588966583,0.9696969696969697,0.9714452214452214,0.9705710955710956,0.07808857808857807,0.0,0.0082316134223784,0.3529526029526029,0.07595182595182591,0.004273504273504266,0.04088966588966583,0.9696969696969697,0.9714452214452214,0.9705710955710956,0.07808857808857807,0.0,0.0082316134223784,0.3529526029526029
pharmacist,0.16394716394716394,-0.06507381507381503,0.11451048951048948,0.9224941724941725,0.8473193473193473,0.88490675990676,0.023892773892773833,0.0,0.019556258342537065,0.41006216006216006,0.16394716394716394,-0.06507381507381503,0.11451048951048948,0.9224941724941725,0.8473193473193473,0.88490675990676,0.023892773892773833,0.0,0.019556258342537065,0.41006216006216006
physician,0.1257770007770007,-0.03331390831390827,0.07954545454545446,0.8751942501942501,0.8013791763791763,0.8382867132867133,0.03438228438228436,0.0,0.035562197479447034,0.4411421911421911,0.1257770007770007,-0.03331390831390827,0.07954545454545446,0.8751942501942501,0.8013791763791763,0.8382867132867133,0.03438228438228436,0.0,0.035562197479447034,0.4411421911421911
physics teacher,0.13616938616938612,-0.042735042735042666,0.08945221445221437,1.0386557886557888,0.9788267288267288,1.0087412587412585,0.0262237762237762,0.0,0.0172836522482229,0.3275058275058275,0.13616938616938612,-0.042735042735042666,0.08945221445221437,1.0386557886557888,0.9788267288267288,1.0087412587412585,0.0262237762237762,0.0,0.0172836522482229,0.3275058275058275
professor,0.1429681429681429,-0.053127428127428065,0.09804778554778547,1.0777000777000776,0.9971833721833723,1.037441724941725,0.02957459207459207,0.0,0.013591596649002433,0.30837218337218336,0.1429681429681429,-0.053127428127428065,0.09804778554778547,1.0777000777000776,0.9971833721833723,1.037441724941725,0.02957459207459207,0.0,0.013591596649002433,0.30837218337218336
psychologist,0.09421134421134418,-0.0025252525252525,0.05574980574980567,0.7503885003885005,0.7134809634809636,0.7319347319347319,0.06555944055944053,0.0,0.01699028213262663,0.5120435120435122,0.09421134421134418,-0.0025252525252525,0.05574980574980567,0.7503885003885005,0.7134809634809636,0.7319347319347319,0.06555944055944053,0.0,0.01699028213262663,0.5120435120435122
receptionist,0.11858974358974357,-0.011363636363636333,0.07750582750582742,1.0474941724941724,1.0247668997669,1.0361305361305362,0.0521561771561771,0.0,0.018137063736031297,0.3092463092463092,0.11858974358974357,-0.011363636363636333,0.07750582750582742,1.0474941724941724,1.0247668997669,1.0361305361305362,0.0521561771561771,0.0,0.018137063736031297,0.3092463092463092
sales clerk,0.08857808857808858,0.0020396270396270343,0.057643745143745095,1.0637140637140636,1.0595376845376845,1.0616258741258742,0.07065850815850806,0.0,0.01848638268265253,0.2922494172494172,0.08857808857808858,0.0020396270396270343,0.057643745143745095,1.0637140637140636,1.0595376845376845,1.0616258741258742,0.07065850815850806,0.0,0.01848638268265253,0.2922494172494172
scientist,0.11693861693861694,-0.03282828282828276,0.07488344988344985,0.8418803418803419,0.7752525252525252,0.8085664335664337,0.039044289044289,0.0,0.0068202365100686,0.460955710955711,0.11693861693861694,-0.03282828282828276,0.07488344988344985,0.8418803418803419,0.7752525252525252,0.8085664335664337,0.039044289044289,0.0,0.0068202365100686,0.460955710955711
server,0.07954545454545453,0.000582750582750567,0.04938811188811184,1.012917637917638,1.0077700077700078,1.010343822843823,0.07444638694638687,0.0,0.01578123586368513,0.3264374514374514,0.07954545454545453,0.000582750582750567,0.04938811188811184,1.012917637917638,1.0077700077700078,1.010343822843823,0.07444638694638687,0.0,0.01578123586368513,0.3264374514374514
taxi driver,0.10091297591297588,-0.0182595182595182,0.05958624708624701,1.142288267288267,1.1394716394716395,1.1408799533799534,0.05434149184149183,0.0,0.015486559667068868,0.2394133644133644,0.10091297591297588,-0.0182595182595182,0.05958624708624701,1.142288267288267,1.1394716394716395,1.1408799533799534,0.05434149184149183,0.0,0.015486559667068868,0.2394133644133644
truck driver,0.05380730380730377,0.015054390054390068,0.034527972027971934,1.1503496503496506,1.165792540792541,1.1580710955710956,0.09455128205128203,0.0,0.018516690326529833,0.2279526029526029,0.05380730380730377,0.015054390054390068,0.034527972027971934,1.1503496503496506,1.165792540792541,1.1580710955710956,0.09455128205128203,0.0,0.018516690326529833,0.2279526029526029
