,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,0.0220558204370099,0.0266627600351596,0.2319347319347319,0.0052447552447552,0.9227855477855478,0.1727855477855477,0.3814102564102564,-0.3143939393939394,0.6958041958041958,0.0,0.0072843822843822,-0.0014568764568764,0.0087412587412586,0.0
chemical engineer,0.0391841491841492,0.0482352941176471,0.2068764568764568,0.0168997668997669,0.9006410256410257,0.1876456876456876,0.3452797202797202,-0.2753496503496503,0.6206293706293705,0.07517482517482527,0.0244755244755244,-0.0148601398601398,0.0393356643356642,0.0305944055944056
chemist,0.0352749757617015,0.0430678466076697,0.2173659673659674,0.0116550116550117,0.8980186480186481,0.1809440559440559,0.3607226107226107,-0.2913752913752914,0.6520979020979021,0.0437062937062937,0.0203962703962703,-0.0093240093240093,0.0297202797202796,0.020979020979020997
dentist,0.0290389719392962,0.035682689472132,0.2007575757575757,0.0198135198135198,0.9108391608391608,0.1861888111888112,0.3301282051282051,-0.2721445221445221,0.6022727272727273,0.09353146853146854,0.0192307692307692,-0.0043706293706293,0.0236013986013985,0.0148601398601399
judge,0.0256089987272782,0.0316606929510154,0.2135780885780886,0.0017482517482516,0.8918997668997669,0.1911421911421911,0.3508158508158508,-0.2899184149184149,0.6407342657342657,0.05506993006993005,0.0139860139860139,-0.0043706293706293,0.0183566433566432,0.009615384615384599
lawyer,0.0244943480653512,0.0318547186662696,0.1832750582750583,0.0227272727272728,0.8703379953379954,0.231060606060606,0.3047785547785547,-0.24504662004662,0.5498251748251747,0.14597902097902107,0.0163170163170163,0.0005827505827505,0.0168997668997668,0.011072261072260997
optometrist,0.0308814063965668,0.039152193111569,0.2147435897435897,0.0198135198135198,0.9015151515151516,0.2112470862470862,0.3554778554778555,-0.2887529137529137,0.6442307692307692,0.05157342657342662,0.0195221445221445,-0.0093240093240093,0.0288461538461538,0.020104895104895198
pharmacist,0.0249017781902795,0.030446349394029,0.233100233100233,0.0099067599067598,0.902972027972028,0.1821095571095571,0.3817016317016317,-0.3175990675990676,0.6993006993006993,0.003496503496503489,0.0139860139860139,-0.0017482517482517,0.0157342657342656,0.006993006993006999
physician,0.0270887588827197,0.0331557134399052,0.2307692307692307,0.0227272727272728,0.8866550116550117,0.1829836829836829,0.3793706293706294,-0.3129370629370629,0.6923076923076923,0.003496503496503489,0.0203962703962703,-0.0014568764568764,0.0218531468531467,0.013111888111888098
physics teacher,0.0297538999462077,0.0384615384615385,0.1873543123543123,0.0186480186480186,0.8951048951048951,0.2263986013986014,0.319055944055944,-0.243006993006993,0.562062937062937,0.13374125874125878,0.0183566433566433,-0.0078671328671328,0.0262237762237761,0.0174825174825175
professor,0.0220032283899818,0.0272028385570668,0.2164918414918414,0.0192307692307691,0.8913170163170163,0.1911421911421911,0.3505244755244755,-0.2989510489510489,0.6494755244755244,0.046328671328671356,0.0078671328671328,0.0034965034965034,0.011363636363636201,0.0055361305361304
psychologist,0.0263015684997292,0.0341145060812815,0.1590909090909091,0.0303030303030303,0.8583916083916084,0.229020979020979,0.2671911421911422,-0.2100815850815851,0.4772727272727273,0.2185314685314685,0.0192307692307692,-0.0061188811188811,0.0253496503496503,0.016608391608391698
scientist,0.031677176989677,0.0410714285714286,0.2170745920745921,0.0192307692307691,0.8825757575757576,0.2287296037296037,0.3726689976689977,-0.2785547785547785,0.6512237762237763,0.044580419580419584,0.0189393939393939,-0.0064102564102564,0.025349650349650296,0.016608391608391698
bartender,0.0284618265783656,0.035314891112419,0.1771561771561771,0.0075757575757575,0.9227855477855478,0.194055944055944,0.2992424242424242,-0.2322261072261072,0.5314685314685315,0.16433566433566438,0.0154428904428904,-0.0099067599067599,0.0253496503496503,0.016608391608391698
cashier,0.0240708028969545,0.0317979197622586,0.1978438228438228,-0.0046620046620046,0.9073426573426572,0.243006993006993,0.3365384615384615,-0.256993006993007,0.5935314685314685,0.10227272727272729,0.0134032634032634,-0.0049533799533799,0.0183566433566433,0.009615384615384701
construction worker,0.0286012819140027,0.0347467608951708,0.1972610722610722,0.0069930069930069,0.9248251748251748,0.1768648018648018,0.3196386946386946,-0.2721445221445221,0.5917832167832167,0.10402097902097907,0.0134032634032634,-0.0075757575757575,0.0209790209790209,0.0122377622377623
farm worker,0.0311626089321804,0.0392909896602657,0.171037296037296,0.0023310023310023,0.9201631701631702,0.2068764568764568,0.2843822843822843,-0.2287296037296037,0.513111888111888,0.1826923076923078,0.0134032634032634,-0.0084498834498834,0.0218531468531468,0.0131118881118882
