,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.19696969696969693,-0.09638694638694634,0.1466783216783216,0.4895104895104895,0.4458041958041957,0.46765734265734266,0.0,0.06770590520590515,0.02039938416025902,0.9434149184149183,0.012219711407140295,0.008962620603975485,0.010407605640655397,0.013228566586974697,0.009949516945783124,0.011464053364164352,0.0,0.02776735535657225,0.0015635943852578338,0.0019097866676192636
bartender,0.16596736596736594,-0.08752913752913749,0.13082750582750577,0.6024475524475524,0.6024475524475524,0.6024475524475525,0.07849650349650344,0.0,0.03102385698861802,0.8677738927738927,0.08894969438159753,0.08990381664329888,0.08190818056665802,0.3003041371787952,0.3122976412424867,0.30597722097964,0.04645927625711556,0.0,0.0167860843265524,0.07306060981632868
cashier,0.17278554778554778,-0.10116550116550113,0.13784965034965027,0.6469114219114219,0.6536130536130536,0.6502622377622378,0.08173076923076919,0.0,0.034060781353702795,0.8705128205128204,0.08414502730759207,0.0948145047894131,0.0867917639187122,0.32889729415920754,0.34319944670108393,0.33596506869792625,0.03803401937940644,0.0,0.013790904275327046,0.07468616588918042
chemical engineer,0.18869463869463865,-0.10029137529137526,0.14449300699300693,0.5378787878787878,0.4381701631701632,0.4880244755244755,0.051777389277389244,0.0,0.031578793759079384,0.8272727272727274,0.05367433408693022,0.06036109044421816,0.054289198796546555,0.2640094258851788,0.2339548291204483,0.24897256354940375,0.020641548826617888,0.0,0.014608670388865388,0.06688453649232362
chemist,0.21701631701631702,-0.13997668997668994,0.17849650349650345,0.6200466200466199,0.5173659673659673,0.5687062937062937,0.053321678321678334,0.0,0.03298190593667572,0.8539044289044287,0.04540012282010087,0.06710407753250686,0.05320160158554494,0.26417749324384365,0.2524326334841811,0.2582848045683638,0.037623986109583354,0.0,0.012295519839362567,0.062044631070231525
construction worker,0.11550116550116547,-0.06876456876456878,0.1189393939393939,0.7134032634032634,0.8530303030303029,0.7832167832167831,0.11386946386946381,0.0,0.038581988082188975,0.8671328671328672,0.09207119878082291,0.12676412568389486,0.08104637120106267,0.33549076061219385,0.39975163412853226,0.36734956558450754,0.0519051040343976,0.0,0.018112891207183915,0.06343234070321245
dentist,0.21497668997668998,-0.1149184149184149,0.1649475524475524,0.6298951048951049,0.5325174825174825,0.5812062937062936,0.03720862470862468,0.0,0.0349107900908054,0.866958041958042,0.026459315168504798,0.04877611934052367,0.03128173971303088,0.24015570792121865,0.22240625411257664,0.2312523748809145,0.017923867624432436,0.0,0.010829470315127545,0.033832975177414196
farm worker,0.09003496503496503,-0.03968531468531468,0.09947552447552441,0.6684731934731934,0.8584498834498835,0.7634615384615385,0.10413752913752905,0.0,0.04148733679822148,0.8614801864801865,0.07444784095761442,0.10535985492122081,0.04795646065381597,0.26344061094222515,0.35281355678287574,0.3072270053371779,0.06799518216881231,0.0,0.014288770788871653,0.05988640552872415
janitor,0.08607226107226108,-0.07179487179487179,0.08988927738927735,0.623951048951049,0.7622377622377623,0.6930944055944057,0.09012237762237757,0.0,0.03488782989550854,0.8603146853146851,0.07277423249317044,0.07884910415421652,0.06058525451989866,0.2876865339557726,0.3330648237168876,0.30996501031399415,0.05599127826817014,0.0,0.014314144541997203,0.05955260475894964
judge,0.15734265734265734,-0.10349650349650345,0.13041958041958035,0.5242424242424242,0.4719114219114219,0.498076923076923,0.06381118881118877,0.0,0.028814924910419,0.8251748251748252,0.07313159938767963,0.07024148801393727,0.06894997179969717,0.2511543732222456,0.23418762976831908,0.2425107185339314,0.03130054228573832,0.0,0.014787477154828867,0.08795499932159809
lawyer,0.15075757575757573,-0.0777389277389277,0.11424825174825168,0.4231351981351981,0.35815850815850814,0.3906468531468531,0.037558275058275,0.0,0.02479568431206388,0.7756410256410258,0.040584969727340436,0.0316479174380259,0.03510744599708668,0.17908176673498205,0.16123597632577344,0.17014572167622657,0.031139881427545386,0.0,0.008340654516449155,0.0930784218999379
line cook,0.11340326340326339,-0.06142191142191143,0.09353146853146847,0.6266899766899767,0.7268065268065268,0.6767482517482517,0.08595571095571089,0.0,0.033961171419584164,0.8659090909090909,0.06578797257136251,0.08319249839903178,0.06533651557551172,0.2894713083779772,0.3434276599760327,0.316158483569313,0.046816039794484794,0.0,0.013448700471117033,0.05006244708009397
