,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.09918414918414914,0.00139860139860136,0.0505827505827505,0.1777389277389277,0.134032634032634,0.15588578088578078,0.0,0.02989510489510482,0.02039938416025902,0.9434149184149183,0.005480954338474364,0.0026539155097285994,0.0027090068296432425,0.005730545346824944,0.0027395476162105493,0.003821351121388123,0.0,0.010527447701033147,0.0015635943852578338,0.0019097866676192636
bartender,0.08146853146853142,-0.0030303030303030602,0.05495337995337988,0.2008158508158508,0.2008158508158508,0.20081585081585077,0.02820512820512816,0.0,0.03102385698861802,0.8677738927738927,0.03389064161586545,0.03471971046277793,0.020525398771243635,0.0970157037400989,0.10890880318792744,0.10199240699321331,0.015014905485004244,0.0,0.0167860843265524,0.07306060981632868
cashier,0.08146853146853142,-0.00984848484848486,0.05748834498834492,0.21340326340326338,0.22010489510489503,0.2167540792540792,0.029865967365967323,0.0,0.034060781353702795,0.8705128205128204,0.029952246175924842,0.03916127275262233,0.022178732316307105,0.1051020362408003,0.1193757990222046,0.11198835623264204,0.013858563619338548,0.0,0.013790904275327046,0.07468616588918042
chemical engineer,0.09236596736596732,-0.0039627039627039996,0.05719696969696962,0.21252913752913746,0.11282051282051278,0.16267482517482512,0.023397435897435842,0.0,0.031578793759079384,0.8272727272727274,0.02269961259857882,0.027738927738927686,0.011835218154356097,0.09804293205913513,0.06799787911597688,0.08299085451646789,0.008795287572101592,0.0,0.014608670388865388,0.06688453649232362
chemist,0.09801864801864799,-0.02097902097902098,0.06346153846153839,0.2409090909090909,0.13822843822843817,0.1895687645687645,0.02540792540792538,0.0,0.03298190593667572,0.8539044289044287,0.01895203092843465,0.03425066665212746,0.016335373040930842,0.09202467591511658,0.08028721243760753,0.0860949348561213,0.01438626957968246,0.0,0.012295519839362567,0.062044631070231525
construction worker,0.05407925407925403,-0.007342657342657361,0.0522144522144521,0.19125874125874126,0.33088578088578086,0.261072261072261,0.04842657342657335,0.0,0.038581988082188975,0.8671328671328672,0.02306588349349926,0.0553417951144567,0.019029862821531546,0.09138610581311621,0.1552434427378945,0.12244985519483587,0.01381764181961588,0.0,0.018112891207183915,0.06343234070321245
dentist,0.10501165501165495,-0.00495337995337996,0.06430652680652674,0.24242424242424238,0.14504662004662,0.19373543123543113,0.02403846153846148,0.0,0.0349107900908054,0.866958041958042,0.01974707768278674,0.030815881672522777,0.007267229221469223,0.08603676396589634,0.06830508053924057,0.07708412496030483,0.012884917167339542,0.0,0.010829470315127545,0.033832975177414196
farm worker,0.04679487179487176,0.0035547785547785397,0.04469696969696964,0.15949883449883445,0.34947552447552443,0.2544871794871794,0.04819347319347315,0.0,0.04148733679822148,0.8614801864801865,0.019832878243638174,0.04739285172559031,0.008163397635742288,0.06212039211028955,0.1490562306692556,0.10240900177905932,0.017908182362489252,0.0,0.014288770788871653,0.05988640552872415
janitor,0.03344988344988342,-0.019172494172494142,0.034294871794871715,0.16188811188811186,0.30017482517482513,0.23103146853146844,0.049737762237762176,0.0,0.03488782989550854,0.8603146853146851,0.02655156443350733,0.031812204327650334,0.015789368676510263,0.08215927644788759,0.12704208633020897,0.10332167010466474,0.013126966207401055,0.0,0.014314144541997203,0.05955260475894964
judge,0.07039627039627037,-0.016550116550116522,0.04562937062937056,0.19219114219114214,0.13986013986013981,0.16602564102564096,0.026981351981351882,0.0,0.028814924910419,0.8251748251748252,0.031372663259249534,0.0290881866591166,0.023405870834698587,0.08975959503691233,0.0728827401868136,0.08083690617797717,0.015385167221861127,0.0,0.014787477154828867,0.08795499932159809
lawyer,0.07459207459207455,-0.0015734265734265798,0.041346153846153776,0.16270396270396265,0.09772727272727269,0.13021561771561763,0.01704545454545446,0.0,0.02479568431206388,0.7756410256410258,0.018340448696802125,0.011008588852876887,0.01079166914874928,0.0656728105492336,0.04783832153239155,0.0567152405587422,0.009486492188869313,0.0,0.008340654516449155,0.0930784218999379
line cook,0.055128205128205085,-0.003146853146853139,0.0442890442890442,0.1755244755244755,0.27564102564102566,0.22558275058275049,0.0394522144522144,0.0,0.033961171419584164,0.8659090909090909,0.02332997397975571,0.037531309207606015,0.01509397132625806,0.07954035264597033,0.13307757431875541,0.10538616118977104,0.01477344563615703,0.0,0.013448700471117033,0.05006244708009397
optometrist,0.08350815850815846,-0.00827505827505828,0.05451631701631694,0.18828671328671326,0.10955710955710951,0.14892191142191136,0.024329836829836783,0.0,0.025908146566750324,0.8255244755244755,0.020699215386539585,0.03121585511872525,0.014965291391248668,0.09947014745751274,0.07397995122209389,0.08663021083422079,0.012526087881683594,0.0,0.011466087098680277,0.08242108305128502
parking attendant,0.08403263403263397,-0.0034382284382284594,0.053059440559440486,0.21666666666666662,0.20705128205128204,0.21185897435897433,0.024096736596736522,0.0,0.0360468005128046,0.8803030303030303,0.03188481883649456,0.027040129406152302,0.017822405039636575,0.10119587617211347,0.09062691548949413,0.09523209926046382,0.015006421560196784,0.0,0.01810385148113455,0.04938115792920238
pharmacist,0.10174825174825171,-0.00501165501165504,0.06509324009324001,0.21829836829836827,0.12913752913752913,0.17371794871794868,0.026107226107226083,0.0,0.029474602320251803,0.8597319347319348,0.02392075795963625,0.034489973977127296,0.01766354411166421,0.09587963301358696,0.07443721176564819,0.08500114943239458,0.005839439994443776,0.0,0.011505976480017357,0.060388989511108
