,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.09778554778554774,-0.09778554778554774,0.09778554778554774,0.31177156177156173,0.31177156177156173,0.31177156177156173,0.0,0.042764180264180204,0.02039938416025902,0.9434149184149183,0.0069384037604369305,0.0069384037604369305,0.0069384037604369305,0.007642702242776228,0.007642702242776228,0.007642702242776228,0.0,0.019436988833681498,0.0015635943852578338,0.0019097866676192636
bartender,0.08449883449883447,-0.08449883449883447,0.08449883449883447,0.4016317016317016,0.4016317016317016,0.4016317016317016,0.05233100233100233,0.0,0.03102385698861802,0.8677738927738927,0.05839672613652533,0.05839672613652533,0.05839672613652533,0.20398481398642662,0.20398481398642662,0.20398481398642662,0.03097285083807702,0.0,0.0167860843265524,0.07306060981632868
cashier,0.09131701631701628,-0.09131701631701628,0.09131701631701628,0.4335081585081585,0.4335081585081585,0.4335081585081585,0.054487179487179405,0.0,0.034060781353702795,0.8705128205128204,0.058393992851295415,0.058393992851295415,0.058393992851295415,0.22397671246528408,0.22397671246528408,0.22397671246528408,0.025356012919604272,0.0,0.013790904275327046,0.07468616588918042
chemical engineer,0.09632867132867129,-0.09632867132867129,0.09632867132867129,0.3253496503496503,0.3253496503496503,0.3253496503496503,0.03280885780885774,0.0,0.031578793759079384,0.8272727272727274,0.03619279919769772,0.03619279919769772,0.03619279919769772,0.16598170903293583,0.16598170903293583,0.16598170903293583,0.016995548842478544,0.0,0.014608670388865388,0.06688453649232362
chemist,0.11899766899766892,-0.11899766899766892,0.11899766899766892,0.37913752913752913,0.37913752913752913,0.37913752913752913,0.03461538461538456,0.0,0.03298190593667572,0.8539044289044287,0.03546773439036326,0.03546773439036326,0.03546773439036326,0.17218986971224254,0.17218986971224254,0.17218986971224254,0.026137126983003134,0.0,0.012295519839362567,0.062044631070231525
construction worker,0.061421911421911404,-0.061421911421911404,0.07552447552447547,0.5221445221445221,0.5221445221445221,0.5221445221445221,0.07319347319347316,0.0,0.038581988082188975,0.8671328671328672,0.07237316480836302,0.07237316480836302,0.05750286761416782,0.24489971038967168,0.24489971038967168,0.24489971038967168,0.03806097481059708,0.0,0.018112891207183915,0.06343234070321245
dentist,0.10996503496503492,-0.10996503496503492,0.10996503496503492,0.38747086247086243,0.38747086247086243,0.38747086247086243,0.02360139860139856,0.0,0.0349107900908054,0.866958041958042,0.02085449314202056,0.02085449314202056,0.02085449314202056,0.15416824992060962,0.15416824992060962,0.15416824992060962,0.013086611222442776,0.0,0.010829470315127545,0.033832975177414196
farm worker,0.04324009324009324,-0.04324009324009324,0.06480186480186476,0.5089743589743589,0.5089743589743589,0.5089743589743589,0.06165501165501158,0.0,0.04148733679822148,0.8614801864801865,0.05916873033571062,0.05916873033571062,0.03422517539988423,0.20481800355811855,0.20481800355811855,0.20481800355811855,0.05193664650189493,0.0,0.014288770788871653,0.05988640552872415
janitor,0.052622377622377606,-0.052622377622377606,0.05938228438228436,0.462062937062937,0.462062937062937,0.462062937062937,0.05029137529137524,0.0,0.03488782989550854,0.8603146853146851,0.049488049625241955,0.049488049625241955,0.04113302789588951,0.20664334020932945,0.20664334020932945,0.20664334020932945,0.04450955716082921,0.0,0.014314144541997203,0.05955260475894964
judge,0.0869463869463869,-0.0869463869463869,0.0869463869463869,0.33205128205128204,0.33205128205128204,0.33205128205128204,0.042540792540792474,0.0,0.028814924910419,0.8251748251748252,0.04596664786646474,0.04596664786646474,0.04596664786646474,0.16167381235595427,0.16167381235595427,0.16167381235595427,0.02086702819049216,0.0,0.014787477154828867,0.08795499932159809
