,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.02022144522144518,-0.02680652680652678,0.02351398601398594,0.05343822843822841,0.0509324009324009,0.05218531468531462,0.0,0.011383061383061341,0.06541332497322098,0.9434149184149183,0.0044556608050385586,0.004532735776836862,0.004232069383535049,0.0038769341208577867,0.0037649476235928053,0.003642074590209739,0.0,0.005011996161358781,0.0050124549196781725,0.0019097866676192636
bartender,0.026515151515151457,-0.03275058275058268,0.02963286713286704,0.08222610722610718,0.0798368298368298,0.08103146853146843,0.007109557109557041,0.0,0.08098427249695742,0.8677738927738927,0.007921979239145166,0.006488189118749079,0.0069678305536292244,0.015037223588513952,0.01681313701805434,0.015818055838442736,0.008067149995347852,0.0,0.017752687389146125,0.07306060981632868
cashier,0.030594405594405554,-0.033566433566433504,0.032080419580419524,0.08537296037296031,0.084032634032634,0.08470279720279714,0.01136363636363632,0.0,0.08556402602860408,0.8705128205128204,0.007184631705092035,0.005477235495342288,0.005815401181286667,0.019474683985273123,0.01943855394841993,0.019221628469693844,0.0065588571616447796,0.0,0.015840104748459767,0.07468616588918042
chemical engineer,0.03513986013986008,-0.040384615384615366,0.03776223776223768,0.10973193473193468,0.09236596736596729,0.10104895104895098,0.014248251748251718,0.0,0.10108483727044,0.8272727272727274,0.004304472100843702,0.0038417365323658503,0.0032307200371636973,0.010901642108599185,0.008325382941954252,0.00947691136342272,0.007018093115968239,0.0,0.015617424496397763,0.06688453649232362
chemist,0.028962703962703916,-0.03572261072261068,0.0323426573426573,0.1033216783216783,0.08583916083916078,0.09458041958041949,0.0094696969696969,0.0,0.09063728304342557,0.8539044289044287,0.006867067193637069,0.003774856582914144,0.0032354467698115083,0.01595992033710098,0.00969820236023995,0.012753253854869435,0.005365579273460669,0.0,0.014607058399191145,0.062044631070231525
construction worker,0.026282051282051244,-0.03106060606060602,0.0286713286713286,0.10087412587412581,0.12150349650349646,0.11118881118881112,0.00783799533799532,0.0,0.07578879541771436,0.8671328671328672,0.005705006177398782,0.010163277089320126,0.007378989367274557,0.026735743173731154,0.037213997764777636,0.0317304080196744,0.006427054700927221,0.0,0.013305082821049799,0.06343234070321245
dentist,0.031235431235431176,-0.03799533799533794,0.034615384615384534,0.10536130536130532,0.08799533799533796,0.09667832167832162,0.01133449883449878,0.0,0.09280741325147271,0.866958041958042,0.0072864798844692515,0.004642295167052294,0.005084978871415729,0.017201115198154517,0.012006642061792859,0.014502061753419912,0.006942073644027393,0.0,0.014681678201979045,0.033832975177414196
farm worker,0.03006993006993004,-0.0358391608391608,0.03295454545454538,0.09510489510489509,0.12080419580419577,0.10795454545454537,0.01433566433566428,0.0,0.0831464112699325,0.8614801864801865,0.006006572832972093,0.010324722178752284,0.007732926767341395,0.02346075971087557,0.03762538513064082,0.030460496154957203,0.0015975233288896024,0.0,0.006968905667244339,0.05988640552872415
janitor,0.02721445221445218,-0.029603729603729555,0.02840909090909084,0.09388111888111884,0.10839160839160833,0.10113636363636355,0.01060606060606058,0.0,0.07825820686727676,0.8603146853146851,0.009356005706475257,0.010500188814924705,0.00974170050052798,0.01601281538050871,0.025592638175056366,0.020651582210971624,0.005350843649126916,0.0,0.012269487000487616,0.05955260475894964
judge,0.02814685314685312,-0.03706293706293698,0.03260489510489502,0.1092657342657342,0.09650349650349646,0.10288461538461531,0.013752913752913678,0.0,0.08853632857092208,0.8251748251748252,0.010846990680278374,0.008429563220742876,0.00935192136275834,0.020955535935338988,0.017731712723027013,0.019315215099857362,0.00739232379313399,0.0,0.017495636387266242,0.08795499932159809
lawyer,0.0247668997668997,-0.031002331002330942,0.02788461538461528,0.11031468531468527,0.09580419580419576,0.10305944055944047,0.011013986013985979,0.0,0.09763073789929644,0.7756410256410258,0.007179903417837494,0.00838553587587599,0.007602382833971621,0.018580150391711927,0.013902479752869394,0.016095313687390096,0.004694308245488618,0.0,0.010780449045525813,0.0930784218999379
line cook,0.03001165501165496,-0.03362470862470858,0.03181818181818174,0.09609557109557107,0.10775058275058269,0.10192307692307687,0.009527972027971999,0.0,0.07804294966059729,0.8659090909090909,0.004965363264368471,0.006337261874262913,0.004503233172164782,0.021262332028156618,0.030629295235366828,0.025894494439756437,0.0039808732645928826,0.0,0.007283232963165938,0.05006244708009397
