,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0142773892773892,-0.0142773892773892,0.0142773892773892,0.0346736596736596,0.0346736596736596,0.0346736596736596,0.0,0.00695814556569442,0.062295081967213,0.6789044289044289
bartender,0.0145687645687645,-0.0145687645687645,0.0145687645687645,0.0472027972027972,0.0472027972027972,0.0472027972027972,0.0002913752913753006,0.0,0.065523576240049,0.6518065268065268
cashier,0.0233100233100233,-0.0233100233100233,0.0233100233100233,0.0437062937062937,0.0437062937062937,0.0437062937062937,0.009032634032634101,0.0,0.0837887067395264,0.6363636363636364
chemical engineer,0.0273892773892773,-0.0273892773892773,0.0273892773892773,0.0594405594405594,0.0594405594405594,0.0594405594405594,0.013111888111888102,0.0,0.0895614576899319,0.7234848484848485
chemist,0.0186534538035558,-0.0186534538035558,0.0186534538035558,0.048965316234334,0.048965316234334,0.048965316234334,0.004376064526166599,0.0,0.0743243243243243,0.7027972027972028
construction worker,0.0142773892773892,-0.0142773892773892,0.0142773892773892,0.048076923076923,0.048076923076923,0.048076923076923,0.0,0.0,0.0599273607748183,0.627039627039627
dentist,0.0206936753133197,-0.0206936753133197,0.0206936753133197,0.0539201399009035,0.0539201399009035,0.0539201399009035,0.006416286035930502,0.0,0.0810643564356434,0.7237762237762237
farm worker,0.0236013986013986,-0.0236013986013986,0.0236013986013986,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0093240093240094,0.0,0.0867192237719829,0.6031468531468531
janitor,0.0233100233100233,-0.0233100233100233,0.0233100233100233,0.0512820512820512,0.0512820512820512,0.0512820512820512,0.009032634032634101,0.0,0.0858186244674377,0.5807109557109557
judge,0.027105800058292,-0.027105800058292,0.027105800058292,0.0568347420577091,0.0568347420577091,0.0568347420577091,0.0128284107809028,0.0,0.0876755070202808,0.722027972027972
lawyer,0.0265228796269309,-0.0265228796269309,0.0265228796269309,0.0574176624890702,0.0574176624890702,0.0574176624890702,0.012245490349541699,0.0,0.0994300189993666,0.7511655011655012
line cook,0.0209790209790209,-0.0209790209790209,0.0209790209790209,0.0483682983682983,0.0483682983682983,0.0483682983682983,0.0067016317016317,0.0,0.0794824399260627,0.675990675990676
optometrist,0.0233100233100233,-0.0233100233100233,0.0233100233100233,0.0629370629370629,0.0629370629370629,0.0629370629370629,0.009032634032634101,0.0,0.0871985157699444,0.7770979020979021
parking attendant,0.0192307692307692,-0.0192307692307692,0.0192307692307692,0.0518648018648018,0.0518648018648018,0.0518648018648018,0.004953379953380001,0.0,0.0763125763125762,0.638986013986014
pharmacist,0.0268065268065268,-0.0268065268065268,0.0268065268065268,0.0524475524475524,0.0524475524475524,0.0524475524475524,0.012529137529137601,0.0,0.0892966360856268,0.7249417249417249
physician,0.0163217720781113,-0.0163217720781113,0.0163217720781113,0.054211600116584,0.054211600116584,0.054211600116584,0.0020443828007221006,0.0,0.0768751945222534,0.7453379953379954
physics teacher,0.0192363742349169,-0.0192363742349169,0.0192363742349169,0.054211600116584,0.054211600116584,0.054211600116584,0.004958984957527699,0.0,0.0801740211311372,0.777972027972028
professor,0.0192307692307692,-0.0192307692307692,0.0192307692307692,0.0553613053613053,0.0553613053613053,0.0553613053613053,0.004953379953380001,0.0,0.0785276073619631,0.6722027972027972
psychologist,0.0268065268065268,-0.0268065268065268,0.0268065268065268,0.0722610722610722,0.0722610722610722,0.0722610722610722,0.012529137529137601,0.0,0.0968955785512699,0.8062354312354313
receptionist,0.0163170163170163,-0.0163170163170163,0.0163170163170163,0.0483682983682983,0.0483682983682983,0.0483682983682983,0.002039627039627099,0.0,0.0676783004552352,0.6928904428904429
sales clerk,0.0134032634032634,-0.0134032634032634,0.0134032634032634,0.0425407925407925,0.0425407925407925,0.0425407925407925,0.0008741258741257994,0.0,0.0618713806766229,0.6643356643356644
scientist,0.0221445221445221,-0.0221445221445221,0.0221445221445221,0.0646853146853146,0.0646853146853146,0.0646853146853146,0.007867132867132899,0.0,0.0902325581395349,0.7354312354312355
server,0.018065268065268,-0.018065268065268,0.018065268065268,0.0512820512820512,0.0512820512820512,0.0512820512820512,0.003787878787878802,0.0,0.0786173141633526,0.6925990675990676
taxi driver,0.0221445221445221,-0.0221445221445221,0.0221445221445221,0.0477855477855477,0.0477855477855477,0.0477855477855477,0.007867132867132899,0.0,0.0776200543642404,0.6558857808857809
truck driver,0.0244755244755244,-0.0244755244755244,0.0244755244755244,0.0495337995337995,0.0495337995337995,0.0495337995337995,0.0101981351981352,0.0,0.0842424242424242,0.6258741258741258
