,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0903263403263403,0.0002913752913752,0.045308857808857746,0.1695804195804195,0.1296620046620046,0.14962121212121204,0.0,0.02746819153069155,0.0187361088523879,0.7007575757575758
bartender,0.0684731934731934,0.0256410256410256,0.0470571095571095,0.1535547785547785,0.1649184149184149,0.1592365967365967,0.023601398601398645,0.0,0.0245133309459416,0.6815268065268065
cashier,0.0783799533799533,0.0413752913752913,0.0598776223776223,0.1541375291375291,0.1421911421911421,0.1481643356643356,0.02651515151515155,0.0,0.0284125258582976,0.7036713286713286
chemical engineer,0.0705128205128205,0.0171911421911421,0.0438519813519813,0.1276223776223776,0.0562354312354312,0.0919289044289044,0.01835664335664335,0.0,0.0235545009543565,0.8161421911421911
chemist,0.1048951048951049,0.011072261072261,0.05798368298368295,0.1864801864801865,0.0815850815850815,0.134032634032634,0.0126748251748252,0.0,0.0295157431095435,0.7319347319347319
construction worker,0.0448717948717948,0.0614801864801864,0.0531759906759906,0.1474358974358974,0.2642773892773892,0.2058566433566433,0.05332167832167835,0.0,0.0285699430680843,0.5882867132867133
dentist,0.1223776223776223,0.0189393939393939,0.0706585081585081,0.2033799533799533,0.1127622377622377,0.1580710955710955,0.02534965034965035,0.0,0.0368766111988054,0.6838578088578089
farm worker,0.0303030303030303,0.0716783216783216,0.05099067599067595,0.1101398601398601,0.3088578088578088,0.20949883449883444,0.0657051282051282,0.0,0.0392390376354455,0.581002331002331
janitor,0.0163170163170163,0.0332167832167832,0.02476689976689975,0.0903263403263403,0.2144522144522144,0.15238927738927735,0.053467365967366,0.0,0.0222913730579013,0.6952214452214452
judge,0.0402097902097902,-0.0037878787878787,0.02199883449883445,0.1206293706293706,0.0906177156177156,0.1056235431235431,0.027097902097901996,0.0,0.0197071749854074,0.7887529137529138
lawyer,0.0655594405594405,0.0078671328671328,0.03671328671328665,0.1133449883449883,0.0649766899766899,0.0891608391608391,0.016171328671328693,0.0,0.0183240897034,0.8216783216783217
line cook,0.0396270396270396,0.0221445221445221,0.030885780885780846,0.1486013986013986,0.2488344988344988,0.19871794871794868,0.0362762237762238,0.0,0.0292636878539962,0.6025641025641025
optometrist,0.0789627039627039,0.0221445221445221,0.050553613053613,0.1296620046620046,0.0559440559440559,0.09280303030303025,0.016608391608391646,0.0,0.0201318742985409,0.8143939393939394
parking attendant,0.074009324009324,0.0273892773892773,0.05069930069930065,0.1567599067599067,0.168997668997669,0.16287878787878785,0.021707459207459198,0.0,0.0270704241292476,0.6742424242424242
pharmacist,0.1156759906759906,0.027097902097902,0.0713869463869463,0.1914335664335664,0.0964452214452214,0.1439393939393939,0.026078088578088555,0.0,0.030466259553712,0.7121212121212122
physician,0.1308275058275058,0.011072261072261,0.0709498834498834,0.199009324009324,0.1019813519813519,0.15049533799533796,0.02564102564102565,0.0,0.0358322233322233,0.699009324009324
physics teacher,0.097027972027972,0.0058275058275058,0.0514277389277389,0.1652097902097902,0.0775058275058275,0.12135780885780886,0.006118881118881155,0.0,0.0280788655788655,0.7572843822843823
professor,0.1483100233100233,0.0093240093240093,0.07881701631701629,0.2578671328671328,0.1101398601398601,0.18400349650349646,0.03350815850815855,0.0,0.0320803107229009,0.631993006993007
psychologist,0.0402097902097902,0.0067016317016317,0.023455710955710952,0.0699300699300699,0.0428321678321678,0.056381118881118845,0.028263403263403295,0.0,0.0130566801619433,0.8872377622377622
receptionist,0.0917832167832167,0.0361305361305361,0.0639568764568764,0.1704545454545454,0.1171328671328671,0.14379370629370625,0.018648018648018655,0.0,0.0304799626807107,0.7124125874125874
sales clerk,0.1011072261072261,0.0393356643356643,0.0702214452214452,0.1756993006993007,0.1541375291375291,0.1649184149184149,0.024912587412587454,0.0,0.0332730135361714,0.6701631701631702
scientist,0.0728438228438228,0.0026223776223776,0.037733100233100204,0.1299533799533799,0.05506993006993,0.09251165501165495,0.009906759906759944,0.0,0.0230716805482348,0.8149766899766899
server,0.0757575757575757,0.0262237762237762,0.05099067599067595,0.1631701631701631,0.1299533799533799,0.14656177156177153,0.020250582750582793,0.0,0.0226042819705011,0.7068764568764568
taxi driver,0.0675990675990676,0.0134032634032634,0.040501165501165504,0.1736596736596736,0.2488344988344988,0.2112470862470862,0.017919580419580448,0.0,0.0344235410607092,0.5775058275058275
truck driver,0.0244755244755244,0.0367132867132867,0.03059440559440555,0.1252913752913753,0.2983682983682983,0.2118298368298368,0.0511363636363637,0.0,0.0316595291013895,0.5763403263403264
