,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB
Baseline,0.2089160839160839,-0.1066433566433566,0.15777972027972026,0.49504662004662,0.4481351981351981,0.47159090909090906,0.0,0.11190632284382286
bartender,0.0212703962703962,0.0203962703962703,0.02083333333333325,0.1576340326340326,0.1631701631701631,0.16040209790209786,0.1573426573426573,0.0
cashier,0.0422494172494172,-0.0067016317016317,0.02447552447552445,0.1914335664335664,0.1984265734265734,0.1949300699300699,0.1333041958041958,0.0
chemical engineer,0.1261655011655011,-0.0425407925407925,0.0843531468531468,0.2846736596736596,0.2074592074592074,0.24606643356643348,0.07342657342657345,0.0
chemist,0.1404428904428904,-0.0745920745920745,0.10751748251748244,0.3245920745920746,0.2348484848484848,0.2797202797202797,0.0502622377622378,0.0
construction worker,-0.0049533799533799,0.0509906759906759,0.0279720279720279,0.2677738927738928,0.3581002331002331,0.3129370629370629,0.18575174825174817,0.0
dentist,0.175990675990676,-0.0757575757575757,0.12587412587412586,0.4417249417249417,0.351981351981352,0.3968531468531469,0.0319055944055944,0.0
farm worker,0.0113636363636363,0.0489510489510489,0.0301573426573426,0.3126456876456876,0.4102564102564102,0.3614510489510489,0.17657342657342656,0.0
janitor,-0.004079254079254,-0.0119463869463869,0.00801282051282045,0.2383449883449883,0.3324592074592075,0.2854020979020979,0.1538461538461538,0.0
judge,0.0576923076923076,-0.0367132867132867,0.047202797202797145,0.2762237762237762,0.256993006993007,0.26660839160839156,0.1105769230769231,0.0
lawyer,0.0888694638694638,-0.0396270396270396,0.0642482517482517,0.2421328671328671,0.1888111888111888,0.21547202797202797,0.09353146853146854,0.0
line cook,0.018065268065268,0.0259324009324009,0.02199883449883445,0.2441724941724941,0.3074009324009324,0.2757867132867132,0.16171328671328672,0.0
optometrist,0.0888694638694638,-0.0308857808857808,0.0598776223776223,0.1786130536130536,0.1282051282051282,0.15340909090909088,0.09790209790209795,0.0
parking attendant,0.0361305361305361,0.009032634032634,0.022581585081585052,0.2587412587412587,0.2770979020979021,0.2679195804195804,0.14423076923076922,0.0
pharmacist,0.1022727272727272,-0.0384615384615384,0.0703671328671328,0.2089160839160839,0.1590909090909091,0.1840034965034965,0.08741258741258745,0.0
physician,0.0999417249417249,-0.039044289044289,0.06949300699300695,0.1774475524475524,0.1258741258741259,0.15166083916083914,0.08828671328671331,0.0
physics teacher,0.1541375291375291,-0.0827505827505827,0.1184440559440559,0.3371212121212121,0.2651515151515151,0.3011363636363636,0.03933566433566436,0.0
professor,0.1655011655011655,-0.0941142191142191,0.1298076923076923,0.4096736596736596,0.3132284382284382,0.3614510489510489,0.027972027972027948,0.0
psychologist,0.0448717948717948,-0.0136946386946386,0.0292832167832167,0.1054778554778554,0.0877039627039627,0.09659090909090906,0.12849650349650354,0.0
receptionist,0.0131118881118881,0.0078671328671328,0.01048951048951045,0.0719696969696969,0.0696386946386946,0.07080419580419575,0.1551573426573426,0.0
sales clerk,0.0576923076923076,-0.0052447552447552,0.0314685314685314,0.2313519813519813,0.2266899766899767,0.229020979020979,0.12631118881118886,0.0
scientist,0.0917832167832167,-0.0472027972027972,0.06949300699300695,0.2631118881118881,0.1993006993006993,0.2312062937062937,0.08828671328671331,0.0
server,0.0818764568764568,-0.0116550116550116,0.0467657342657342,0.2718531468531469,0.2552447552447552,0.26354895104895104,0.11101398601398606,0.0
taxi driver,0.0623543123543123,-0.0259324009324009,0.0441433566433566,0.2482517482517482,0.2823426573426573,0.26529720279720276,0.11363636363636365,0.0
truck driver,0.0192307692307692,0.0026223776223776,0.0109265734265734,0.2196969696969697,0.2829254079254079,0.2513111888111888,0.14947552447552445,0.0
