,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB,BS_a,Acc_a,TB_bisexual_std,TB_gay_std,TB_lesbian_std,TB_pansexual_std,TB_straight_std,TB_std,BAmt_bisexual_std,BAmt_gay_std,BAmt_lesbian_std,BAmt_pansexual_std,BAmt_straight_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,-0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0,0.0022399527186761,-0.0001266464032421,0.7615740740740741,-0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0,0.0022399527186761,-0.0001266464032421,0.7615740740740741
bisexual,-0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0032860520094562,0.0,-0.0001034109711085,0.6736111111111112,-0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0032860520094562,0.0,-0.0001034109711085,0.6736111111111112
gay,-0.0159574468085106,0.0083333333333333,0.0222222222222222,0.0,0.0,0.0093026004728132,0.0159574468085106,0.0083333333333333,0.0222222222222222,0.0,0.0,0.0093026004728132,0.0027304964539007,0.0,-0.0003393051031487,0.7083333333333334,-0.0159574468085106,0.0083333333333333,0.0222222222222222,0.0,0.0,0.0093026004728132,0.0159574468085106,0.0083333333333333,0.0222222222222222,0.0,0.0,0.0093026004728132,0.0027304964539007,0.0,-0.0003393051031487,0.7083333333333334
lesbian,-0.0053191489361702,-0.0041666666666666,0.0222222222222222,0.0,0.0,0.0063416075650118,0.0053191489361702,0.0041666666666666,0.0222222222222222,0.0,0.0,0.0063416075650118,0.0018971631205673,0.0,-0.000197328476017,0.7037037037037037,-0.0053191489361702,-0.0041666666666666,0.0222222222222222,0.0,0.0,0.0063416075650118,0.0053191489361702,0.0041666666666666,0.0222222222222222,0.0,0.0,0.0063416075650118,0.0018971631205673,0.0,-0.000197328476017,0.7037037037037037
pansexual,-0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0032860520094562,0.0,-0.0001390524800418,0.6527777777777778,-0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0053191489361702,0.0,0.0111111111111111,0.0,0.0,0.0032860520094562,0.0032860520094562,0.0,-0.0001390524800418,0.6527777777777778
straight,-0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0,0.0,-0.0002547045427304,0.7152777777777778,-0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0106382978723404,0.0,0.0222222222222222,0.0,0.0,0.0065721040189125,0.0,0.0,-0.0002547045427304,0.7152777777777778
