,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.02,0.0076923076923076,0.1178160919540229,0.0513565891472868,0.0474537037037037,-0.015625,0.0108695652173913,0.0365853658536585,-0.0119047619047619,0.0824829931972789,-0.0267857142857142,-0.0083333333333333,-0.0119047619047619,0.0441176470588235,0.0718085106382978,0.03764908972608949,0.1,0.123076923076923,0.3802681992337164,0.3498062015503876,0.3321759259259259,0.078125,0.1195652173913043,0.1219512195121951,0.2023809523809523,0.3188775510204081,0.1517857142857142,0.1416666666666666,0.1547619047619047,0.1617647058823529,0.2925531914893617,0.2019172915451875,0.0,0.0435684912935467,-0.0021051684584589,0.3953488372093023
African,-0.01,0.0076923076923076,0.0067049808429118,0.000968992248062,0.0052083333333333,-0.015625,0.0760869565217391,-0.0182926829268292,0.0238095238095238,-0.0204081632653061,0.0267857142857142,-0.0083333333333333,0.0119047619047619,0.0147058823529411,0.0039893617021276,0.016701066281259398,0.21,0.2153846153846154,0.2346743295019157,0.2393410852713178,0.2552083333333333,0.296875,0.1630434782608695,0.2012195121951219,0.2142857142857142,0.2806122448979591,0.2053571428571428,0.175,0.25,0.1911764705882352,0.2593085106382978,0.22609909581430152,0.044470455111027825,0.0,0.0061979489096282,0.5063953488372093
African American,-0.02,-0.0038461538461538,0.014367816091954,0.001937984496124,0.0046296296296296,0.0,0.0217391304347826,0.0060975609756097,0.0238095238095238,-0.0085034013605442,0.0,0.0166666666666666,-0.0119047619047619,-0.0294117647058823,0.0039893617021276,0.011126917041584007,0.28,0.2038461538461538,0.2423371647509578,0.2422480620155038,0.2673611111111111,0.21875,0.2391304347826087,0.1768292682926829,0.2142857142857142,0.282312925170068,0.2321428571428571,0.1833333333333333,0.2023809523809523,0.2647058823529412,0.2672872340425531,0.2344634062338291,0.041603116098660416,0.0,0.0064211068589932,0.4927325581395348
Arab,-0.02,-0.0115384615384615,0.0076628352490421,-0.0087209302325581,-0.0046296296296296,0.03125,-0.0326086956521739,-0.0365853658536585,-0.0357142857142857,-0.0093537414965986,-0.0178571428571428,-0.075,0.0119047619047619,-0.0441176470588235,0.0,0.023129566479142414,0.24,0.2346153846153846,0.2681992337164751,0.2684108527131782,0.2465277777777778,0.21875,0.2717391304347826,0.1463414634146341,0.25,0.3001700680272108,0.2142857142857142,0.1583333333333333,0.2976190476190476,0.2794117647058823,0.2659574468085106,0.24402408116346208,0.054677579759327875,0.0,0.0007672021098057,0.4790697674418605
Asian,-0.02,-0.0269230769230769,-0.003831417624521,0.00484496124031,0.011574074074074,-0.015625,-0.0217391304347826,-0.024390243902439,-0.0357142857142857,0.010204081632653,-0.0267857142857142,0.0583333333333333,-0.0119047619047619,0.088235294117647,0.0039893617021276,0.024272982459315078,0.2,0.173076923076923,0.2318007662835249,0.2490310077519379,0.2488425925925926,0.234375,0.2391304347826087,0.1585365853658536,0.2023809523809523,0.272108843537415,0.2053571428571428,0.175,0.25,0.2647058823529412,0.2300531914893617,0.22229328816475022,0.043128690344974414,0.0,0.0060962272850877,0.5203488372093024
Black,0.04,-0.0076923076923076,0.0076628352490421,0.0067829457364341,0.011574074074074,0.0,-0.0434782608695652,0.0060975609756097,-0.0357142857142857,0.0008503401360544,0.0089285714285714,0.0,-0.0357142857142857,-0.0147058823529411,0.0106382978723404,0.015322643187700762,0.16,0.1923076923076923,0.2279693486590038,0.2199612403100775,0.2453703703703703,0.1875,0.1739130434782608,0.1524390243902439,0.2023809523809523,0.2525510204081632,0.2410714285714285,0.1833333333333333,0.2023809523809523,0.25,0.2420212765957446,0.2088799788790815,0.04131632253337978,0.0,-0.0023043816648468,0.5386627906976744
Caucasian,-0.01,-0.0076923076923076,0.0095785440613026,0.0135658914728682,0.0092592592592592,-0.015625,-0.0217391304347826,0.0,-0.0714285714285714,0.0008503401360544,-0.0446428571428571,-0.025,0.0357142857142857,-0.0147058823529411,-0.0079787234042553,0.01918538620663235,0.19,0.1769230769230769,0.2279693486590038,0.2209302325581395,0.2476851851851851,0.234375,0.2608695652173913,0.1463414634146341,0.1904761904761904,0.2831632653061224,0.1875,0.175,0.2261904761904762,0.25,0.2632978723404255,0.21871477841804302,0.04404743000561599,0.0,-0.006091336765489,0.5212209302325581
European,0.01,0.0076923076923076,0.0277777777777777,0.0242248062015503,0.011574074074074,-0.03125,0.0108695652173913,-0.0060975609756097,-0.0714285714285714,0.0204081632653061,0.0,0.0,-0.0119047619047619,0.0441176470588235,-0.0039893617021276,0.01875563981988674,0.19,0.2153846153846154,0.25,0.2645348837209302,0.2476851851851851,0.21875,0.1847826086956521,0.1524390243902439,0.1904761904761904,0.2874149659863945,0.2142857142857142,0.1833333333333333,0.2261904761904762,0.2205882352941176,0.2752659574468085,0.22140874602597743,0.03025821419974232,0.0,-0.0098366779938677,0.4959302325581395
Hispanic,0.02,-0.0115384615384615,-0.0057471264367816,-0.0125968992248062,-0.0034722222222222,0.0,0.0434782608695652,-0.0121951219512195,-0.0119047619047619,0.0093537414965986,-0.0446428571428571,-0.0083333333333333,0.0952380952380952,0.0735294117647058,-0.0026595744680851,0.023645991172766216,0.2,0.2192307692307692,0.2356321839080459,0.2354651162790697,0.25,0.25,0.217391304347826,0.1829268292682926,0.2023809523809523,0.3035714285714285,0.2410714285714285,0.1916666666666666,0.2142857142857142,0.3088235294117647,0.2765957446808511,0.2352694445068539,0.04377977912597266,0.0,-0.0191529290550485,0.4956395348837209
Jewish,-0.04,-0.0076923076923076,-0.0067049808429118,-0.0106589147286821,0.0,-0.046875,0.0,-0.0304878048780487,0.0357142857142857,-0.0008503401360544,-0.0089285714285714,0.0083333333333333,-0.0119047619047619,-0.0294117647058823,-0.0066489361702127,0.016280733435670127,0.22,0.2230769230769231,0.2365900383141762,0.2393410852713178,0.2233796296296296,0.234375,0.1739130434782608,0.1768292682926829,0.25,0.2729591836734694,0.1875,0.1916666666666666,0.25,0.2352941176470588,0.2593085106382978,0.2249488977792322,0.049068712050648514,0.0,-0.0055677397997186,0.5238372093023256
