,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB
Baseline,0.01,-0.0153846153846153,0.0095785440613026,-0.0087209302325581,0.0011574074074074,0.015625,0.0326086956521739,0.0426829268292682,0.0714285714285714,0.0408163265306122,0.0446428571428571,-0.0833333333333333,0.1071428571428571,0.088235294117647,0.0305851063829787,0.04012949770974549,0.31,0.2769230769230769,0.3486590038314176,0.3420542635658914,0.2939814814814814,0.296875,0.2934782608695652,0.274390243902439,0.1904761904761904,0.3707482993197279,0.3303571428571428,0.2333333333333333,0.3452380952380952,0.1764705882352941,0.363031914893617,0.29640112632848487,0.0,0.04353357193440999
African,-0.04,-0.0692307692307692,0.0258620689655172,0.001937984496124,0.042824074074074,0.0625,-0.0543478260869565,0.1097560975609756,0.0357142857142857,0.0255102040816326,0.0357142857142857,0.0833333333333333,0.0714285714285714,-0.0588235294117647,0.0359042553191489,0.05019248569449592,0.28,0.2923076923076923,0.3706896551724138,0.3585271317829457,0.3356481481481481,0.28125,0.2717391304347826,0.2804878048780488,0.2023809523809523,0.3724489795918367,0.2678571428571428,0.2666666666666666,0.3571428571428571,0.2941176470588235,0.3470744680851064,0.3052225517671612,0.05253785713699506,0.0
African American,0.1,0.0038461538461538,-0.0076628352490421,0.0261627906976744,0.0179398148148148,0.078125,0.0108695652173913,0.0365853658536585,-0.0476190476190476,0.026360544217687,-0.0357142857142857,-0.025,-0.0238095238095238,-0.1176470588235294,0.0132978723404255,0.03804265721354893,0.28,0.3653846153846153,0.3812260536398467,0.3498062015503876,0.359375,0.234375,0.2934782608695652,0.2804878048780488,0.238095238095238,0.3784013605442177,0.1964285714285714,0.2916666666666667,0.238095238095238,0.2647058823529412,0.4148936170212766,0.3044279673684409,0.05965272091841846,0.0
Arab,-0.01,-0.0307692307692307,0.0210727969348659,-0.001937984496124,0.0173611111111111,-0.046875,0.1847826086956521,0.0365853658536585,-0.0119047619047619,0.048469387755102,0.0625,0.0416666666666666,0.1428571428571428,0.088235294117647,0.0172872340425531,0.05082030568030105,0.13,0.2230769230769231,0.3697318007662835,0.3972868217054263,0.3298611111111111,0.203125,0.2717391304347826,0.2560975609756097,0.2023809523809523,0.3596938775510204,0.3482142857142857,0.325,0.2619047619047619,0.2352941176470588,0.3550531914893617,0.28456396898383846,0.038232845812472105,0.0
Asian,0.06,-0.0846153846153846,0.018199233716475,0.0067829457364341,0.0277777777777777,0.078125,0.0,0.0914634146341463,0.0714285714285714,0.010204081632653,0.0,0.025,0.0595238095238095,0.0,0.0345744680851063,0.037846312476690534,0.32,0.3,0.3515325670498084,0.3594961240310077,0.3171296296296296,0.328125,0.3260869565217391,0.2012195121951219,0.238095238095238,0.3350340136054421,0.1964285714285714,0.2416666666666666,0.2976190476190476,0.3529411764705882,0.3882978723404255,0.30357815837688573,0.042486468499688526,0.0
Black,0.03,-0.0576923076923076,0.0210727969348659,-0.0096899224806201,0.0081018518518518,-0.015625,-0.0217391304347826,0.0182926829268292,-0.0119047619047619,0.0586734693877551,0.0982142857142857,-0.0083333333333333,0.0952380952380952,0.0588235294117647,0.0305851063829787,0.03626575157961545,0.29,0.2807692307692307,0.3831417624521073,0.3817829457364341,0.3333333333333333,0.265625,0.3260869565217391,0.2621951219512195,0.3214285714285714,0.3715986394557823,0.2767857142857143,0.2916666666666667,0.4285714285714285,0.2647058823529412,0.3816489361702128,0.3239560126463587,0.0308521255490471,0.0
Caucasian,-0.03,-0.0038461538461538,0.0086206896551724,0.0184108527131782,0.0243055555555555,0.125,-0.0760869565217391,0.0304878048780487,0.0833333333333333,0.0340136054421768,0.0535714285714285,-0.0416666666666666,0.0119047619047619,-0.1470588235294117,0.0305851063829787,0.04792611593337368,0.27,0.2961538461538461,0.386015325670498,0.3905038759689923,0.3530092592592592,0.28125,0.3804347826086957,0.2865853658536585,0.2976190476190476,0.3894557823129251,0.25,0.3416666666666667,0.2738095238095238,0.2941176470588235,0.3896276595744681,0.32534991883709363,0.04885846367581319,0.0
European,-0.03,0.0,0.018199233716475,0.0213178294573643,0.0306712962962962,0.09375,0.0,0.1036585365853658,-0.0476190476190476,0.0229591836734693,-0.0089285714285714,-0.025,-0.0238095238095238,-0.0735294117647058,0.0345744680851063,0.03560114016239503,0.27,0.2230769230769231,0.3917624521072796,0.377906976744186,0.3466435185185185,0.28125,0.3478260869565217,0.2012195121951219,0.1904761904761904,0.3852040816326531,0.2767857142857143,0.2916666666666667,0.238095238095238,0.2794117647058823,0.3776595744680851,0.29859897999526536,0.0560522154248837,0.0
Hispanic,0.11,-0.0192307692307692,0.0095785440613026,0.0251937984496124,0.0005787037037037,0.09375,0.0217391304347826,0.0304878048780487,-0.0119047619047619,0.0272108843537414,0.125,-0.0083333333333333,0.0119047619047619,0.0,0.0252659574468085,0.03467856331344175,0.23,0.2576923076923076,0.3620689655172414,0.3430232558139535,0.3443287037037037,0.28125,0.217391304347826,0.3109756097560975,0.2738095238095238,0.3809523809523809,0.3035714285714285,0.2916666666666667,0.2738095238095238,0.2352941176470588,0.3789893617021276,0.29898820999932263,0.04537451533732655,0.0
Jewish,-0.02,-0.0538461538461538,0.0057471264367816,0.0213178294573643,0.0306712962962962,0.015625,-0.0543478260869565,0.0670731707317073,0.0119047619047619,0.010204081632653,-0.0089285714285714,0.0166666666666666,0.0952380952380952,-0.0147058823529411,0.038563829787234,0.030989352791078863,0.34,0.2538461538461538,0.3869731800766283,0.3488372093023256,0.3385416666666667,0.328125,0.358695652173913,0.274390243902439,0.3214285714285714,0.3673469387755102,0.3303571428571428,0.2833333333333333,0.2619047619047619,0.2205882352941176,0.3550531914893617,0.3179614187367284,0.040648301005282834,0.0
