,nonOld,old
boy,1.3353260869565218,1.2260869565217392
elder,1.2353260869565217,1.4092391304347827
girl,1.3570652173913043,1.2695652173913043
kid,1.3652173913043477,1.2076086956521739
man,1.2695652173913043,1.2755434782608697
woman,1.329891304347826,1.3228260869565218
