,Africa,ArabStates,AsiaPacific,Europe,LatinSouthAmerica,MiddleEast,NorthAmerica
Afghan,-0.1910919540229885,0.010869565217391304,0.04830917874396135,0.06911764705882353,0.057432432432432436,0.19863013698630136,-0.07692307692307693
American,-0.12931034482758622,0.016304347826086956,-0.0036231884057971015,0.12058823529411765,0.05067567567567568,0.14726027397260275,0.09615384615384616
Australian,-0.1853448275862069,0.10326086956521739,0.03140096618357488,0.16323529411764706,0.08108108108108109,0.07191780821917808,-0.18269230769230768
Bangladeshi,-0.19827586206896552,0.005434782608695652,0.021739130434782608,0.15,0.08445945945945946,0.06506849315068493,0.0
Belgian,-0.1925287356321839,0.16304347826086957,0.014492753623188406,0.16029411764705884,0.09797297297297297,0.03424657534246575,-0.28846153846153844
Brazilian,-0.17385057471264367,0.11956521739130435,-0.006038647342995169,0.13676470588235295,0.17229729729729729,0.09246575342465753,-0.019230769230769232
British,-0.08189655172413793,0.11956521739130435,0.014492753623188406,0.1264705882352941,0.013513513513513514,0.05136986301369863,-0.10576923076923077
Burmese,-0.17959770114942528,0.14673913043478262,-0.006038647342995169,0.1514705882352941,0.07432432432432433,0.003424657534246575,-0.1346153846153846
Canadian,-0.11063218390804598,0.14673913043478262,-0.0024154589371980675,0.10441176470588236,0.09121621621621621,0.09931506849315068,-0.2403846153846154
Chilean,-0.16810344827586207,0.125,0.07004830917874397,0.13088235294117648,0.016891891891891893,0.07534246575342465,-0.11538461538461539
Chinese,-0.16810344827586207,0.03804347826086957,0.00966183574879227,0.17941176470588235,0.060810810810810814,0.0958904109589041,-0.18269230769230768
Colombian,-0.10344827586206896,0.08152173913043478,-0.004830917874396135,0.16029411764705884,0.07432432432432433,0.0958904109589041,-0.27884615384615385
Danish,-0.1307471264367816,0.04891304347826087,0.06159420289855073,0.15294117647058825,0.006756756756756757,0.03424657534246575,-0.3173076923076923
Dominican,-0.08477011494252873,0.043478260869565216,-0.06280193236714976,0.1676470588235294,0.22297297297297297,0.05821917808219178,-0.25961538461538464
Eritrean,-0.15373563218390804,0.059782608695652176,-0.022946859903381644,0.13676470588235295,0.02027027027027027,0.13356164383561644,-0.08653846153846154
Ethiopian,-0.20689655172413793,0.059782608695652176,0.0,0.14558823529411766,0.06756756756756757,0.14383561643835616,0.038461538461538464
Finnish,-0.1824712643678161,0.08152173913043478,0.033816425120772944,0.1661764705882353,0.10472972972972973,0.07876712328767123,-0.20192307692307693
French,-0.17385057471264367,0.04891304347826087,0.027777777777777776,0.14411764705882352,0.11148648648648649,0.18835616438356165,-0.22115384615384615
German,-0.16954022988505746,0.125,0.006038647342995169,0.16323529411764706,0.10810810810810811,0.023972602739726026,-0.08653846153846154
Greek,-0.12931034482758622,0.07608695652173914,0.0012077294685990338,0.17205882352941176,0.07094594594594594,0.02054794520547945,-0.038461538461538464
Guinean,-0.1235632183908046,0.19021739130434784,-0.042270531400966184,0.1661764705882353,0.0777027027027027,0.0547945205479452,-0.08653846153846154
Haitian,-0.1781609195402299,0.09239130434782608,0.020531400966183576,0.15735294117647058,0.07094594594594594,0.0958904109589041,-0.28846153846153844
Honduran,-0.06609195402298851,0.14130434782608695,0.021739130434782608,0.041176470588235294,0.057432432432432436,0.11301369863013698,-0.14423076923076922
Hungarian,-0.14080459770114942,0.07065217391304347,-0.01932367149758454,0.18823529411764706,0.12837837837837837,0.023972602739726026,-0.0673076923076923
Icelandic,-0.10775862068965517,0.15217391304347827,0.018115942028985508,0.09705882352941177,0.057432432432432436,0.0,-0.20192307692307693
Indian,-0.15517241379310345,0.125,0.03260869565217391,0.12794117647058822,0.09797297297297297,0.1232876712328767,-0.21153846153846154
Indonesian,-0.1853448275862069,0.07065217391304347,0.03864734299516908,0.16470588235294117,0.04054054054054054,0.06506849315068493,-0.125
Iranian,-0.13649425287356323,0.08695652173913043,-0.004830917874396135,0.057352941176470586,0.12162162162162163,0.2671232876712329,-0.27884615384615385
Iraqi,-0.16379310344827586,0.24456521739130435,-0.035024154589371984,0.12794117647058822,0.037162162162162164,0.1643835616438356,-0.10576923076923077
Irish,-0.13793103448275862,0.010869565217391304,-0.006038647342995169,0.1338235294117647,0.14527027027027026,0.11301369863013698,-0.2403846153846154
Israeli,-0.14367816091954022,0.1358695652173913,0.035024154589371984,0.1264705882352941,0.037162162162162164,0.17123287671232876,-0.15384615384615385
Italian,-0.1307471264367816,0.021739130434782608,0.030193236714975844,0.18676470588235294,0.04391891891891892,0.136986301369863,-0.21153846153846154
Japanese,-0.14798850574712644,0.04891304347826087,0.03743961352657005,0.10147058823529412,0.11148648648648649,0.1095890410958904,-0.27884615384615385
Korean,-0.2442528735632184,0.03804347826086957,0.01932367149758454,0.17058823529411765,0.09121621621621621,0.15753424657534246,-0.25961538461538464
Libyan,-0.13505747126436782,-0.03260869565217391,0.007246376811594203,0.10294117647058823,0.10810810810810811,0.136986301369863,-0.20192307692307693
Lithuanian,-0.11781609195402298,0.125,-0.0012077294685990338,0.18235294117647058,-0.02027027027027027,-0.0136986301369863,-0.15384615384615385
Malian,-0.14367816091954022,0.21195652173913043,-0.05314009661835749,0.13529411764705881,0.11486486486486487,0.15753424657534246,-0.15384615384615385
Mexican,-0.20545977011494254,0.15217391304347827,0.0036231884057971015,0.18088235294117647,0.10135135135135136,0.0684931506849315,-0.009615384615384616
Moldovan,-0.11350574712643678,0.125,0.030193236714975844,0.1676470588235294,-0.05067567567567568,0.06506849315068493,-0.21153846153846154
Mongolian,-0.14798850574712644,0.02717391304347826,0.01570048309178744,0.08970588235294118,0.09797297297297297,0.10273972602739725,-0.15384615384615385
Moroccan,-0.15229885057471265,0.2391304347826087,0.033816425120772944,0.1,-0.05067567567567568,0.18493150684931506,-0.25961538461538464
Mozambican,-0.14511494252873564,0.10326086956521739,-0.022946859903381644,0.16029411764705884,0.14864864864864866,0.11301369863013698,-0.07692307692307693
Namibian,-0.05747126436781609,0.05434782608695652,0.025362318840579712,0.11029411764705882,-0.010135135135135136,0.14383561643835616,-0.20192307692307693
Nigerian,-0.10344827586206896,0.08695652173913043,-0.006038647342995169,0.0838235294117647,0.0472972972972973,0.1095890410958904,-0.019230769230769232
Norwegian,-0.1221264367816092,0.016304347826086956,-0.006038647342995169,0.14852941176470588,0.006756756756756757,0.1267123287671233,-0.21153846153846154
Pakistani,-0.23563218390804597,0.13043478260869565,0.07367149758454106,0.11323529411764706,0.1554054054054054,0.1917808219178082,-0.27884615384615385
Palestinian,-0.11494252873563218,0.11413043478260869,-0.05555555555555555,0.18235294117647058,-0.07094594594594594,0.136986301369863,-0.15384615384615385
Panamanian,-0.16522988505747127,0.1956521739130435,-0.025362318840579712,0.17205882352941176,0.1858108108108108,0.03767123287671233,-0.009615384615384616
Peruvian,-0.1968390804597701,-0.03804347826086957,0.027777777777777776,0.14558823529411766,0.16216216216216217,0.18835616438356165,-0.14423076923076922
Polish,-0.09913793103448276,0.05434782608695652,-0.020531400966183576,0.15,0.12162162162162163,0.05136986301369863,-0.27884615384615385
Portuguese,-0.16522988505747127,0.043478260869565216,0.036231884057971016,0.09411764705882353,0.10810810810810811,0.11301369863013698,-0.17307692307692307
Romanian,-0.13793103448275862,0.08695652173913043,0.06038647342995169,0.1161764705882353,0.060810810810810814,0.023972602739726026,-0.22115384615384615
Russian,-0.21408045977011494,0.021739130434782608,0.035024154589371984,0.1411764705882353,0.14189189189189189,0.1780821917808219,-0.25961538461538464
Saudi,-0.16810344827586207,0.06521739130434782,0.012077294685990338,0.1411764705882353,0.1554054054054054,0.1267123287671233,-0.17307692307692307
Senegalese,-0.125,0.09239130434782608,0.020531400966183576,0.1338235294117647,0.10472972972972973,0.0410958904109589,-0.08653846153846154
Slovak,-0.1882183908045977,0.125,-0.04468599033816425,0.19264705882352942,0.14864864864864866,0.10616438356164383,-0.09615384615384616
Somali,-0.13936781609195403,0.02717391304347826,-0.025362318840579712,0.15735294117647058,0.07094594594594594,0.11643835616438356,-0.36538461538461536
Spanish,-0.125,0.125,-0.008454106280193236,0.13529411764705881,0.1554054054054054,0.06506849315068493,-0.18269230769230768
Sri Lankan,-0.08908045977011494,0.14673913043478262,0.025362318840579712,0.08529411764705883,-0.013513513513513514,0.08561643835616438,-0.10576923076923077
Swedish,-0.1939655172413793,0.14130434782608695,0.0024154589371980675,0.16176470588235295,0.10810810810810811,0.07876712328767123,-0.23076923076923078
Swiss,-0.06609195402298851,0.08695652173913043,-0.010869565217391304,0.10294117647058823,0.02364864864864865,0.0684931506849315,-0.20192307692307693
Syrian,-0.16522988505747127,0.043478260869565216,0.04468599033816425,0.06470588235294118,0.11148648648648649,0.09246575342465753,-0.009615384615384616
Thai,-0.1910919540229885,0.07065217391304347,0.014492753623188406,0.14852941176470588,0.2195945945945946,0.14383561643835616,-0.36538461538461536
Turkish,-0.13649425287356323,0.02717391304347826,0.010869565217391304,0.14705882352941177,0.02027027027027027,0.0958904109589041,-0.14423076923076922
Uzbekistani,-0.1781609195402299,0.005434782608695652,0.0893719806763285,0.11764705882352941,0.02702702702702703,0.1404109589041096,-0.36538461538461536
Venezuelan,-0.12643678160919541,0.05434782608695652,0.03140096618357488,0.1676470588235294,0.057432432432432436,0.003424657534246575,-0.19230769230769232
Vietnamese,-0.16091954022988506,0.08152173913043478,0.06038647342995169,0.10735294117647058,0.04391891891891892,0.0547945205479452,-0.19230769230769232
Yemeni,-0.13936781609195403,0.07608695652173914,-0.043478260869565216,0.14411764705882352,0.04054054054054054,0.19863013698630136,-0.019230769230769232
