,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003485053897754715,0.0012690355329949,0.9997093023255814
African,0.0,0.0,-0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.385696040868e-05,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.385696040868e-05,6.385696040868e-05,0.0,-0.0028929604628736,0.998546511627907
African American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619047619,0.0008503401360544,0.0,0.0,0.0,0.0,0.0013297872340425,0.00093899261832392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619047619,0.0008503401360544,0.0,0.0,0.0,0.0,0.0013297872340425,0.00093899261832392,0.00093899261832392,0.0,0.0019280205655527,1.0
Arab,0.0,0.0,0.0,-0.000968992248062,0.0005787037037037,0.0,0.0,0.0,0.0,-0.0008503401360544,0.0,-0.0083333333333333,0.0,0.0,0.0,0.0007154246280768934,0.0,0.0,0.0,0.000968992248062,0.0005787037037037,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0083333333333333,0.0,0.0,0.0,0.0007154246280768934,0.0007154246280768934,0.0,0.0025526483726867,0.999127906976744
Asian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035426731078904,0.9988372093023256
Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008503401360544,0.0,0.0,0.0,0.0,0.0013297872340425,0.0001453418246731267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0013297872340425,0.0001453418246731267,0.0001453418246731267,0.0,-0.0048875855327468,0.9950581395348838
Caucasian,0.0,0.0,0.0,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013297872340425,0.00015325196547363333,0.0,0.0,0.0,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013297872340425,0.00015325196547363333,0.00015325196547363333,0.0,-0.0032362459546925,0.9997093023255814
European,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.0007233560090702933,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.0007233560090702933,0.0007233560090702933,0.0,-0.0003218538783392,1.0
Hispanic,0.0,0.0,-0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,-0.0083333333333333,0.0,0.0,0.0,0.00067610185836786,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0083333333333333,0.0,0.0,0.0,0.00067610185836786,0.00067610185836786,0.0,-0.0051249199231262,0.9997093023255814
Jewish,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,-0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0008322310405643734,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0008322310405643734,0.0008322310405643734,0.0,0.0,0.9994186046511628
