,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0,0.0,0.0009578544061302,-0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012845644361281333,0.0,0.0,0.0009578544061302,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012845644361281333,0.0,0.0006609959629363823,3.6890567819618043e-07,0.916279069767442
African,0.0,0.0,-0.0019157088122605,0.001937984496124,0.0017361111111111,0.0,0.0,0.0,0.0,-0.0025510204081632,0.0,0.0,0.0,0.0,0.0,0.0005427216551772534,0.0,0.0,0.0019157088122605,0.001937984496124,0.0017361111111111,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0,0.0005427216551772534,0.0006711780987900667,0.0,-4.204884393711757e-06,0.9040697674418604
African American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012845644361281333,0.0,0.0,0.9037790697674418
Arab,0.0,0.0,0.0009578544061302,-0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0089285714285714,-0.0166666666666666,0.0,0.0,0.0,0.0018914949923656403,0.0,0.0,0.0009578544061302,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0089285714285714,0.0166666666666666,0.0,0.0,0.0,0.0018914949923656403,0.0017630385487528266,0.0,2.2261468366455486e-06,0.9098837209302324
Asian,0.0,0.0,0.0009578544061302,-0.000968992248062,-0.0017361111111111,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0013297872340425,0.00044622835143030663,0.0,0.0,0.0009578544061302,0.000968992248062,0.0017361111111111,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0013297872340425,0.00044622835143030663,0.00031777190781749333,0.0,4.119387334756447e-06,0.9026162790697676
Black,0.0,0.0,0.0028735632183908,-0.000968992248062,-0.0005787037037037,0.0,0.0,0.0,0.0,-0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.0003514399537473933,0.0,0.0,0.0067049808429118,0.00484496124031,0.0098379629629629,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851,0.0017732333281622,0.00022298351013457998,0.0,-2.4153765714155616e-05,0.8915697674418605
Caucasian,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013297872340425,0.00012723272918308,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013297872340425,0.00012723272918308,0.00025568917279589334,0.0,-9.40769172875662e-07,0.8976744186046511
European,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012845644361281333,0.0,-0.0,0.9026162790697676
Hispanic,0.0,0.0,0.0009578544061302,0.0,-0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010243720732226,0.0,0.0,0.0009578544061302,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010243720732226,0.00010317973011771334,0.0,-1.4898023032342632e-06,0.906686046511628
Jewish,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147058823529411,0.0,0.00104424911727142,0.0,0.0,0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147058823529411,0.0,0.0011214096110985798,0.0010449916400668733,0.0,0.0,0.8843023255813953
