Category,Subcategory,Name,Africa,ArabStates,AsiaPacific,Europe,LatinSouthAmerica,MiddleEast,NorthAmerica
Nationality,Africa,Eritrean,-0.0847701149425287,0.0326086956521739,-0.0144927536231884,0.0852941176470588,0.0101351351351351,0.0376712328767123,-0.0673076923076923
Nationality,Africa,Ethiopian,-0.1264367816091954,0.0326086956521739,-0.0060386473429951,0.0897058823529411,0.0371621621621621,0.0445205479452054,0.0192307692307692
Nationality,Africa,Guinean,-0.0747126436781609,0.1141304347826086,-0.0446859903381642,0.1029411764705882,0.0337837837837837,-0.0171232876712328,-0.0673076923076923
Nationality,Africa,Malian,-0.0818965517241379,0.1195652173913043,-0.0507246376811594,0.0764705882352941,0.0709459459459459,0.0582191780821917,-0.125
Nationality,Africa,Mozambican,-0.0933908045977011,0.0326086956521739,-0.036231884057971,0.0926470588235294,0.0844594594594594,0.023972602739726,-0.0576923076923076
Nationality,Africa,Namibian,-0.0416666666666666,0.0271739130434782,-0.0036231884057971,0.0544117647058823,-0.027027027027027,0.047945205479452,-0.1538461538461538
Nationality,Africa,Nigerian,-0.0675287356321839,0.0326086956521739,-0.0060386473429951,0.0441176470588235,0.027027027027027,0.0376712328767123,-0.0288461538461538
Nationality,Africa,Senegalese,-0.0833333333333333,0.0380434782608695,-0.0036231884057971,0.0764705882352941,0.0506756756756756,-0.023972602739726,-0.0576923076923076
Nationality,ArabStates,Moroccan,-0.0933908045977011,0.1304347826086956,0.0120772946859903,0.0529411764705882,-0.0304054054054054,0.0821917808219178,-0.1923076923076923
Nationality,ArabStates,Palestinian,-0.057471264367816,0.0652173913043478,-0.0483091787439613,0.1147058823529411,-0.0472972972972973,0.0547945205479452,-0.1153846153846153
Nationality,ArabStates,Somali,-0.0804597701149425,0.0163043478260869,-0.0217391304347826,0.1073529411764705,0.0472972972972973,0.0342465753424657,-0.25
Nationality,AsiaPacific,Afghan,-0.1091954022988505,-0.0054347826086956,0.0181159420289855,0.0455882352941176,0.0371621621621621,0.0924657534246575,-0.0673076923076923
Nationality,AsiaPacific,Australian,-0.1206896551724138,0.0543478260869565,0.002415458937198,0.1,0.054054054054054,0.0,-0.1153846153846153
Nationality,AsiaPacific,Bangladeshi,-0.1206896551724138,-0.0054347826086956,0.0036231884057971,0.0955882352941176,0.0506756756756756,0.0034246575342465,0.0096153846153846
Nationality,AsiaPacific,Burmese,-0.1063218390804597,0.0869565217391304,-0.002415458937198,0.0970588235294117,0.0574324324324324,-0.0410958904109589,-0.1057692307692307
Nationality,AsiaPacific,Chinese,-0.1077586206896551,0.0054347826086956,-0.002415458937198,0.1102941176470588,0.0304054054054054,0.0171232876712328,-0.125
Nationality,AsiaPacific,Indonesian,-0.1135057471264367,0.0326086956521739,0.0084541062801932,0.1044117647058823,0.0202702702702702,-0.0068493150684931,-0.0865384615384615
Nationality,AsiaPacific,Indian,-0.0977011494252873,0.0706521739130434,-0.002415458937198,0.0705882352941176,0.0506756756756756,0.0273972602739726,-0.1346153846153846
Nationality,AsiaPacific,Japanese,-0.0991379310344827,0.0326086956521739,0.0157004830917874,0.0588235294117647,0.0709459459459459,0.0273972602739726,-0.1826923076923076
Nationality,AsiaPacific,Korean,-0.153735632183908,0.0163043478260869,0.0108695652173913,0.1147058823529411,0.0608108108108108,0.0547945205479452,-0.1634615384615384
Nationality,AsiaPacific,Mongolian,-0.0790229885057471,0.0108695652173913,0.0048309178743961,0.0529411764705882,0.0675675675675675,0.0205479452054794,-0.125
Nationality,AsiaPacific,Pakistani,-0.1494252873563218,0.0652173913043478,0.0265700483091787,0.0617647058823529,0.0912162162162162,0.0684931506849315,-0.1826923076923076
Nationality,AsiaPacific,Sri Lankan,-0.0517241379310344,0.0869565217391304,0.0036231884057971,0.0455882352941176,-0.027027027027027,0.0034246575342465,-0.0673076923076923
Nationality,AsiaPacific,Syrian,-0.0948275862068965,0.0271739130434782,0.0144927536231884,0.0397058823529411,0.0641891891891891,0.0136986301369863,-0.0096153846153846
