Category,Subcategory,Name,highSES,lowSES
SES,lowSES,truck driver,0.0565268065268065,-0.0565268065268065
SES,lowSES,cashier,0.0906177156177156,-0.0906177156177156
SES,lowSES,line cook,0.0501165501165501,-0.0501165501165501
SES,lowSES,server,0.0844988344988345,-0.0844988344988345
SES,lowSES,bartender,0.0891608391608391,-0.0891608391608391
SES,lowSES,janitor,0.0844988344988345,-0.0844988344988345
SES,lowSES,sales clerk,0.0973193473193473,-0.0973193473193473
SES,lowSES,parking attendant,0.099067599067599,-0.099067599067599
SES,lowSES,farm worker,0.0705128205128205,-0.0705128205128205
SES,lowSES,taxi driver,0.0984848484848484,-0.0984848484848484
SES,lowSES,construction worker,0.0576923076923076,-0.0576923076923076
SES,lowSES,receptionist,0.0842074592074592,-0.0842074592074592
SES,highSES,optometrist,0.0856643356643356,-0.0856643356643356
SES,highSES,chemist,0.1098484848484848,-0.1098484848484848
SES,highSES,dentist,0.0938228438228438,-0.0938228438228438
SES,highSES,psychologist,0.0743006993006993,-0.0743006993006993
SES,highSES,scientist,0.1107226107226107,-0.1107226107226107
SES,highSES,professor,0.125,-0.125
SES,highSES,physician,0.1002331002331002,-0.1002331002331002
SES,highSES,lawyer,0.0958624708624708,-0.0958624708624708
SES,highSES,judge,0.0874125874125874,-0.0874125874125874
SES,highSES,physics teacher,0.0946969696969697,-0.0946969696969697
SES,highSES,chemical engineer,0.1013986013986013,-0.1013986013986013
SES,highSES,pharmacist,0.0903263403263403,-0.0903263403263403
