,Afghan,American,Australian,Bangladeshi,Belgian,Brazilian,British,Burmese,Canadian,Chilean,Chinese,Colombian,Danish,Dominican,Eritrean,Ethiopian,Finnish,French,German,Greek,Guinean,Haitian,Honduran,Hungarian,Icelandic,Indian,Indonesian,Iranian,Iraqi,Irish,Israeli,Italian,Japanese,Korean,Libyan,Lithuanian,Malian,Mexican,Moldovan,Mongolian,Moroccan,Mozambican,Namibian,Nigerian,Norwegian,Pakistani,Palestinian,Panamanian,Peruvian,Polish,Portuguese,Romanian,Russian,Saudi,Senegalese,Slovak,Somali,Spanish,Sri Lankan,Swedish,Swiss,Syrian,Thai,Turkish,Uzbekistani,Venezuelan,Vietnamese,Yemeni
Afghan,0.4107142857142857,-0.125,-0.16666666666666666,-0.027777777777777776,0.0,0.020833333333333332,-0.02631578947368421,-0.08333333333333333,0.125,0.022727272727272728,-0.21428571428571427,0.3,0.15,-0.125,0.1346153846153846,-0.265625,0.03571428571428571,0.0,0.20833333333333334,0.1,-0.23148148148148148,0.03125,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1590909090909091,-0.2222222222222222,0.045454545454545456,0.025,-0.046875,0.05555555555555555,0.078125,-0.07142857142857142,0.1125,0.19444444444444445,-0.125,-0.17708333333333334,-0.25,-0.09090909090909091,0.0625,0.056818181818181816,-0.10185185185185185,-0.1111111111111111,-0.046052631578947366,0.125,-0.0125,-0.0625,-0.16666666666666666,0.05555555555555555,-0.05,0.25,-0.08333333333333333,0.4,0.20833333333333334,0.045454545454545456,0.1,-0.0625,0.03125,0.11666666666666667,-0.125,0.5,0.041666666666666664,-0.07894736842105263,1.0,-0.25,0.3333333333333333,-0.09090909090909091,0.1
American,0.16071428571428573,0.05,0.0,0.0,0.25,0.10416666666666667,-0.013157894736842105,-0.027777777777777776,0.041666666666666664,0.13636363636363635,-0.17857142857142858,-0.1,0.1,-0.20833333333333334,-0.057692307692307696,-0.140625,0.25,-0.09375,0.20833333333333334,0.25,-0.1574074074074074,0.0,0.05555555555555555,0.05555555555555555,-0.16666666666666666,-0.011363636363636364,-0.1388888888888889,0.06818181818181818,0.025,0.046875,-0.05555555555555555,-0.015625,-0.11904761904761904,0.075,0.16666666666666666,0.16666666666666666,-0.23958333333333334,0.05,0.0,0.0,0.03409090909090909,-0.12037037037037036,-0.06944444444444445,-0.019736842105263157,0.1875,-0.025,0.0625,0.08333333333333333,-0.05555555555555555,-0.05,0.16666666666666666,0.027777777777777776,0.4,0.08333333333333333,0.29545454545454547,0.1,-0.09375,0.0,-0.05,0.0,0.375,0.013888888888888888,-0.09210526315789473,1.0,-0.08333333333333333,0.041666666666666664,0.11363636363636363,-0.05
Australian,0.10714285714285714,-0.125,0.16666666666666666,0.1111111111111111,-0.25,0.14583333333333334,0.013157894736842105,-0.1388888888888889,-0.08333333333333333,0.06818181818181818,-0.21428571428571427,-0.05,0.35,-0.041666666666666664,-0.07692307692307693,-0.109375,0.14285714285714285,0.1875,0.3333333333333333,0.3,-0.28703703703703703,0.09375,0.1111111111111111,0.16666666666666666,0.0,0.06818181818181818,0.0,-0.011363636363636364,-0.0375,0.140625,-0.027777777777777776,0.0625,-0.08333333333333333,0.025,0.16666666666666666,0.25,-0.17708333333333334,-0.1,-0.13636363636363635,0.25,0.022727272727272728,-0.027777777777777776,-0.1388888888888889,-0.1118421052631579,0.3125,-0.0125,0.140625,0.25,0.1388888888888889,-0.05,0.16666666666666666,0.08333333333333333,0.1,0.041666666666666664,0.11363636363636363,0.2,-0.03125,0.03125,0.0,-0.125,0.25,-0.05555555555555555,-0.07894736842105263,1.0,-0.08333333333333333,-0.20833333333333334,0.13636363636363635,-0.1
Bangladeshi,0.14285714285714285,-0.0625,-0.3333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.15789473684210525,-0.1388888888888889,0.25,0.0,-0.03571428571428571,0.2,0.3,0.08333333333333333,-0.11538461538461539,-0.078125,-0.07142857142857142,0.0625,0.08333333333333333,0.15,-0.1388888888888889,-0.0625,0.1111111111111111,0.027777777777777776,0.125,0.125,-0.08333333333333333,-0.011363636363636364,-0.0125,-0.015625,0.2777777777777778,0.0625,-0.08333333333333333,0.1,0.1111111111111111,0.08333333333333333,-0.3125,-0.1,0.0,0.0625,0.03409090909090909,-0.12962962962962962,-0.1527777777777778,-0.05263157894736842,0.25,-0.0625,-0.03125,0.25,0.0,0.0,0.16666666666666666,-0.1388888888888889,0.35,0.0625,0.11363636363636363,0.15,-0.0625,0.21875,0.0,-0.375,0.25,-0.013888888888888888,0.0,1.0,0.0,0.08333333333333333,0.11363636363636363,-0.1
Belgian,0.0,-0.2375,0.041666666666666664,0.027777777777777776,0.08333333333333333,0.14583333333333334,0.21052631578947367,0.1388888888888889,-0.041666666666666664,0.13636363636363635,-0.03571428571428571,0.0,0.25,-0.20833333333333334,-0.09615384615384616,-0.09375,0.0,0.09375,0.3333333333333333,0.0,-0.23148148148148148,0.15625,0.1111111111111111,0.08333333333333333,0.125,0.06818181818181818,-0.1388888888888889,-0.07954545454545454,-0.0375,0.125,0.027777777777777776,0.078125,0.03571428571428571,-0.0375,0.05555555555555555,-0.041666666666666664,-0.22916666666666666,0.0,0.11363636363636363,0.0625,0.09090909090909091,0.06481481481481481,-0.05555555555555555,-0.19078947368421054,0.25,-0.1,0.09375,0.0,-0.08333333333333333,0.05,-0.16666666666666666,-0.08333333333333333,0.3,0.041666666666666664,0.045454545454545456,0.05,0.09375,0.09375,0.05,0.125,-0.125,0.0,0.02631578947368421,0.75,0.08333333333333333,0.125,-0.022727272727272728,-0.025
Brazilian,0.08928571428571429,-0.075,0.125,-0.08333333333333333,-0.16666666666666666,0.3541666666666667,0.14473684210526316,0.027777777777777776,0.25,0.22727272727272727,-0.14285714285714285,0.15,0.3,-0.08333333333333333,0.019230769230769232,-0.109375,-0.03571428571428571,-0.03125,0.08333333333333333,0.35,-0.1574074074074074,-0.09375,0.08333333333333333,-0.027777777777777776,0.16666666666666666,0.07954545454545454,-0.1388888888888889,-0.09090909090909091,0.05,0.0625,0.1111111111111111,0.046875,-0.15476190476190477,0.0,0.0,0.0,-0.13541666666666666,-0.1,-0.09090909090909091,0.0625,0.10227272727272728,-0.08333333333333333,-0.06944444444444445,-0.21710526315789475,0.1875,-0.05,-0.015625,-0.16666666666666666,0.05555555555555555,-0.05,0.16666666666666666,0.0,0.05,0.041666666666666664,0.09090909090909091,0.1,0.15625,0.125,0.05,0.375,0.25,-0.013888888888888888,-0.02631578947368421,0.75,-0.25,0.08333333333333333,0.022727272727272728,0.075
British,0.14285714285714285,-0.1125,0.041666666666666664,-0.1111111111111111,0.25,-0.020833333333333332,0.17105263157894737,-0.16666666666666666,0.0,0.13636363636363635,-0.03571428571428571,-0.05,0.3,-0.041666666666666664,-0.07692307692307693,0.015625,0.03571428571428571,0.03125,0.16666666666666666,0.05,-0.1111111111111111,0.0,0.1388888888888889,-0.05555555555555555,0.041666666666666664,0.056818181818181816,-0.16666666666666666,-0.011363636363636364,-0.025,0.0625,-0.08333333333333333,-0.03125,-0.2261904761904762,-0.025,0.027777777777777776,-0.041666666666666664,-0.17708333333333334,-0.1,0.022727272727272728,0.0625,-0.011363636363636364,0.009259259259259259,-0.06944444444444445,-0.07236842105263158,0.375,-0.0625,0.046875,-0.5,0.0,0.0,0.08333333333333333,-0.19444444444444445,0.4,-0.020833333333333332,0.1590909090909091,0.1,0.21875,0.15625,0.08333333333333333,0.0,0.25,0.0,0.11842105263157894,0.75,0.16666666666666666,0.041666666666666664,0.1590909090909091,0.0
Burmese,0.03571428571428571,-0.175,-0.25,0.1388888888888889,0.0,0.08333333333333333,0.05263157894736842,-0.05555555555555555,0.125,0.06818181818181818,-0.10714285714285714,0.15,0.25,-0.08333333333333333,-0.07692307692307693,-0.109375,0.07142857142857142,0.125,0.3333333333333333,-0.05,-0.18518518518518517,0.09375,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.13636363636363635,0.027777777777777776,-0.045454545454545456,-0.075,0.15625,0.027777777777777776,0.203125,0.0,0.0125,0.1111111111111111,0.16666666666666666,-0.125,0.05,-0.06818181818181818,0.125,0.11363636363636363,0.018518518518518517,-0.2361111111111111,-0.14473684210526316,0.375,-0.0375,0.0625,0.0,0.027777777777777776,0.0,0.0,0.0,0.35,0.0,0.13636363636363635,0.2,0.0625,-0.0625,0.06666666666666667,-0.125,0.125,-0.027777777777777776,-0.14473684210526316,0.25,0.08333333333333333,0.08333333333333333,-0.06818181818181818,-0.15
Canadian,0.05357142857142857,-0.2625,-0.16666666666666666,-0.027777777777777776,-0.25,0.0625,0.10526315789473684,-0.1388888888888889,0.125,0.09090909090909091,-0.21428571428571427,-0.15,0.25,0.0,0.0,-0.046875,0.0,0.09375,0.08333333333333333,0.15,-0.21296296296296297,0.03125,0.027777777777777776,0.1111111111111111,0.16666666666666666,0.11363636363636363,-0.1388888888888889,-0.03409090909090909,-0.05,0.078125,-0.08333333333333333,-0.03125,-0.13095238095238096,0.0875,0.1388888888888889,0.3333333333333333,-0.13541666666666666,-0.05,0.045454545454545456,0.25,0.11363636363636363,0.027777777777777776,0.05555555555555555,-0.14473684210526316,0.125,-0.1,0.078125,0.5,-0.027777777777777776,-0.2,0.0,0.027777777777777776,0.1,0.125,0.09090909090909091,0.0,0.03125,0.0,0.03333333333333333,0.0,0.0,0.05555555555555555,-0.013157894736842105,0.75,0.08333333333333333,0.16666666666666666,0.0,0.1
Chilean,0.03571428571428571,-0.1375,0.041666666666666664,-0.05555555555555555,-0.08333333333333333,0.125,0.05263157894736842,0.1111111111111111,0.20833333333333334,0.13636363636363635,0.07142857142857142,-0.3,0.15,-0.041666666666666664,-0.057692307692307696,-0.125,-0.10714285714285714,-0.03125,0.375,0.05,-0.09259259259259259,0.03125,0.05555555555555555,-0.08333333333333333,-0.041666666666666664,0.045454545454545456,0.027777777777777776,-0.03409090909090909,0.1125,0.28125,0.2777777777777778,-0.09375,-0.03571428571428571,-0.0125,-0.027777777777777776,0.20833333333333334,-0.14583333333333334,-0.2,0.06818181818181818,0.125,0.07954545454545454,-0.10185185185185185,0.0,-0.19078947368421054,0.125,0.0625,0.03125,-0.08333333333333333,-0.1388888888888889,-0.25,-0.08333333333333333,0.027777777777777776,0.3,-0.041666666666666664,-0.045454545454545456,0.1,0.15625,0.15625,0.03333333333333333,-0.25,0.25,-0.027777777777777776,0.05263157894736842,0.5,-0.08333333333333333,0.041666666666666664,0.06818181818181818,-0.1
