,Afghan,American,Australian,Bangladeshi,Belgian,Brazilian,British,Burmese,Canadian,Chilean,Chinese,Colombian,Danish,Dominican,Eritrean,Ethiopian,Finnish,French,German,Greek,Guinean,Haitian,Honduran,Hungarian,Icelandic,Indian,Indonesian,Iranian,Iraqi,Irish,Israeli,Italian,Japanese,Korean,Libyan,Lithuanian,Malian,Mexican,Moldovan,Mongolian,Moroccan,Mozambican,Namibian,Nigerian,Norwegian,Pakistani,Palestinian,Panamanian,Peruvian,Polish,Portuguese,Romanian,Russian,Saudi,Senegalese,Slovak,Somali,Spanish,Sri Lankan,Swedish,Swiss,Syrian,Thai,Turkish,Uzbekistani,Venezuelan,Vietnamese,Yemeni
Chinese,0.125,-0.1875,0.08333333333333333,0.25,0.0,0.1875,0.09210526315789473,0.0,0.08333333333333333,-0.09090909090909091,-0.25,0.0,0.3,-0.041666666666666664,0.09615384615384616,-0.296875,0.0,0.0625,0.2916666666666667,0.05,-0.19444444444444445,-0.0625,0.027777777777777776,0.25,0.125,0.03409090909090909,-0.08333333333333333,-0.011363636363636364,0.0625,0.140625,0.05555555555555555,0.15625,-0.047619047619047616,-0.0375,-0.027777777777777776,-0.125,-0.125,-0.1,-0.022727272727272728,0.0625,0.0,-0.027777777777777776,0.013888888888888888,-0.19736842105263158,0.25,-0.025,0.0,0.25,0.1388888888888889,0.1,0.08333333333333333,-0.08333333333333333,0.3,0.14583333333333334,0.09090909090909091,0.15,0.03125,0.28125,0.0,-0.25,0.375,-0.041666666666666664,-0.05263157894736842,0.0,-0.08333333333333333,0.0,0.06818181818181818,-0.125
Colombian,0.08928571428571429,-0.2875,0.0,0.05555555555555555,0.0,-0.0625,-0.13157894736842105,-0.1388888888888889,0.08333333333333333,0.11363636363636363,0.03571428571428571,0.05,0.2,0.0,0.038461538461538464,-0.171875,0.2857142857142857,-0.0625,0.375,0.05,-0.2222222222222222,0.0625,0.08333333333333333,0.05555555555555555,-0.041666666666666664,-0.11363636363636363,0.0,0.0,0.0125,0.125,0.3611111111111111,0.078125,0.023809523809523808,-0.0875,-0.08333333333333333,0.20833333333333334,-0.08333333333333333,-0.2,0.1590909090909091,0.3125,0.06818181818181818,-0.018518518518518517,0.06944444444444445,-0.09210526315789473,0.375,-0.125,-0.03125,-0.08333333333333333,0.1111111111111111,-0.3,0.0,0.0,0.4,0.0,0.06818181818181818,0.15,0.15625,0.125,-0.03333333333333333,-0.125,0.25,0.041666666666666664,-0.09210526315789473,0.0,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.1
Danish,0.21428571428571427,-0.325,-0.125,0.05555555555555555,0.08333333333333333,0.10416666666666667,0.13157894736842105,0.027777777777777776,0.125,0.0,-0.10714285714285714,-0.1,0.15,0.0,0.019230769230769232,-0.0625,0.07142857142857142,0.125,0.16666666666666666,0.15,-0.2222222222222222,-0.03125,0.027777777777777776,0.05555555555555555,0.125,0.07954545454545454,0.19444444444444445,-0.022727272727272728,-0.0375,-0.03125,-0.1388888888888889,0.09375,-0.10714285714285714,0.0875,-0.027777777777777776,0.20833333333333334,-0.14583333333333334,-0.1,0.0,0.3125,-0.011363636363636364,-0.06481481481481481,0.027777777777777776,-0.14473684210526316,0.0625,0.0625,0.015625,0.3333333333333333,-0.08333333333333333,0.05,0.16666666666666666,0.05555555555555555,0.2,0.041666666666666664,0.1590909090909091,0.1,0.0625,0.34375,0.05,-0.25,0.125,-0.06944444444444445,-0.10526315789473684,0.75,0.08333333333333333,0.0,0.045454545454545456,-0.025
Dominican,-0.03571428571428571,-0.275,0.20833333333333334,0.027777777777777776,0.08333333333333333,0.0625,0.07894736842105263,-0.027777777777777776,0.125,0.1590909090909091,-0.2857142857142857,0.1,0.35,0.2916666666666667,-0.019230769230769232,-0.09375,0.07142857142857142,0.03125,0.2916666666666667,0.1,-0.12037037037037036,0.03125,0.19444444444444445,0.0,-0.041666666666666664,-0.056818181818181816,-0.25,0.011363636363636364,-0.0375,0.1875,0.027777777777777776,0.125,-0.21428571428571427,-0.1875,0.027777777777777776,-0.125,-0.125,0.2,0.045454545454545456,0.125,-0.045454545454545456,-0.07407407407407407,-0.08333333333333333,-0.07894736842105263,0.375,0.0,0.09375,0.3333333333333333,-0.027777777777777776,-0.05,0.3333333333333333,0.08333333333333333,0.25,-0.08333333333333333,0.29545454545454547,0.15,-0.03125,0.0625,0.11666666666666667,-0.125,0.375,-0.013888888888888888,-0.10526315789473684,0.75,0.16666666666666666,0.16666666666666666,0.045454545454545456,0.15
Eritrean,0.017857142857142856,-0.1,0.041666666666666664,-0.16666666666666666,0.3333333333333333,0.041666666666666664,-0.02631578947368421,-0.16666666666666666,0.041666666666666664,-0.13636363636363635,-0.25,0.0,0.05,-0.041666666666666664,0.07692307692307693,-0.21875,0.03571428571428571,-0.03125,0.125,0.15,-0.3148148148148148,0.09375,0.1111111111111111,0.1111111111111111,0.041666666666666664,0.022727272727272728,-0.1388888888888889,-0.022727272727272728,0.1125,0.109375,-0.027777777777777776,0.109375,0.047619047619047616,0.0125,0.1111111111111111,0.16666666666666666,-0.1875,-0.15,0.1590909090909091,0.125,0.09090909090909091,0.009259259259259259,0.013888888888888888,-0.013157894736842105,0.3125,-0.0375,-0.015625,0.0,0.08333333333333333,-0.2,0.3333333333333333,-0.08333333333333333,0.3,0.041666666666666664,0.06818181818181818,0.05,-0.03125,0.21875,0.08333333333333333,-0.125,0.375,0.041666666666666664,-0.11842105263157894,0.5,0.0,0.041666666666666664,0.11363636363636363,-0.05
Ethiopian,0.0,-0.025,-0.08333333333333333,-0.1111111111111111,-0.08333333333333333,0.16666666666666666,0.19736842105263158,-0.027777777777777776,0.16666666666666666,0.13636363636363635,-0.17857142857142858,0.0,0.2,-0.20833333333333334,0.07692307692307693,-0.03125,0.14285714285714285,0.03125,0.2916666666666667,0.15,-0.26851851851851855,0.03125,0.1111111111111111,-0.05555555555555555,0.0,0.06818181818181818,-0.05555555555555555,-0.056818181818181816,0.0125,0.125,-0.027777777777777776,0.0625,-0.05952380952380952,0.075,0.1111111111111111,-0.041666666666666664,-0.28125,-0.05,-0.045454545454545456,0.0,0.09090909090909091,-0.037037037037037035,-0.06944444444444445,-0.16447368421052633,0.1875,0.1,-0.078125,-0.08333333333333333,0.0,-0.05,0.08333333333333333,0.08333333333333333,-0.05,0.16666666666666666,0.0,0.15,0.09375,0.3125,-0.08333333333333333,-0.125,0.375,-0.06944444444444445,-0.05263157894736842,0.5,0.0,-0.041666666666666664,0.18181818181818182,0.125
Finnish,0.125,-0.2625,-0.125,0.2222222222222222,0.16666666666666666,0.14583333333333334,0.23684210526315788,-0.027777777777777776,0.25,0.11363636363636363,-0.25,0.05,0.05,0.125,-0.1346153846153846,-0.203125,0.32142857142857145,-0.1875,0.20833333333333334,0.25,-0.21296296296296297,-0.09375,0.08333333333333333,0.0,-0.20833333333333334,0.0,-0.05555555555555555,-0.011363636363636364,-0.0125,0.140625,0.0,0.21875,-0.08333333333333333,-0.0625,-0.08333333333333333,-0.2916666666666667,-0.1875,0.15,0.13636363636363635,0.25,-0.022727272727272728,-0.12962962962962962,-0.1388888888888889,-0.08552631578947369,0.3125,0.05,0.09375,0.25,0.08333333333333333,-0.15,0.25,-0.1111111111111111,0.1,0.08333333333333333,0.3409090909090909,0.2,0.1875,0.0625,0.06666666666666667,-0.375,0.5,-0.041666666666666664,-0.02631578947368421,0.5,0.08333333333333333,-0.20833333333333334,0.1590909090909091,0.025
French,0.14285714285714285,-0.2125,-0.08333333333333333,0.05555555555555555,0.25,0.0625,0.0,-0.1388888888888889,0.041666666666666664,0.09090909090909091,0.0,-0.1,0.25,-0.125,-0.057692307692307696,-0.265625,0.14285714285714285,0.1875,0.041666666666666664,0.1,-0.17592592592592593,0.1875,0.19444444444444445,0.0,-0.041666666666666664,-0.06818181818181818,0.19444444444444445,0.03409090909090909,0.05,0.015625,0.1388888888888889,0.078125,-0.11904761904761904,0.075,0.19444444444444445,0.125,-0.16666666666666666,-0.2,-0.045454545454545456,0.25,0.06818181818181818,-0.009259259259259259,-0.125,-0.17105263157894737,0.1875,-0.05,-0.015625,0.5833333333333334,-0.05555555555555555,0.0,0.25,0.1111111111111111,0.15,0.020833333333333332,0.29545454545454547,0.15,-0.03125,0.15625,-0.1,0.125,0.375,0.013888888888888888,-0.07894736842105263,0.5,0.3333333333333333,0.041666666666666664,0.09090909090909091,0.05
German,0.03571428571428571,-0.15,-0.041666666666666664,-0.19444444444444445,0.5,0.1875,0.17105263157894737,0.08333333333333333,0.16666666666666666,0.13636363636363635,-0.17857142857142858,-0.05,0.2,0.0,0.07692307692307693,-0.21875,0.17857142857142858,-0.0625,0.0,-0.05,-0.24074074074074073,-0.09375,0.25,0.2222222222222222,0.125,-0.10227272727272728,0.027777777777777776,-0.13636363636363635,-0.0125,0.078125,0.0,0.125,-0.13095238095238096,-0.0625,0.1388888888888889,0.08333333333333333,-0.16666666666666666,-0.1,-0.09090909090909091,0.1875,0.056818181818181816,-0.009259259259259259,-0.08333333333333333,-0.16447368421052633,0.1875,-0.05,0.109375,0.08333333333333333,-0.027777777777777776,-0.05,0.3333333333333333,0.0,0.2,-0.041666666666666664,0.25,0.0,0.03125,0.125,0.016666666666666666,0.125,-0.25,0.041666666666666664,0.19736842105263158,1.0,0.16666666666666666,0.125,0.09090909090909091,0.025
Greek,-0.07142857142857142,-0.1,0.041666666666666664,-0.08333333333333333,0.3333333333333333,0.10416666666666667,0.039473684210526314,0.0,0.125,0.11363636363636363,-0.03571428571428571,-0.2,0.1,0.08333333333333333,-0.019230769230769232,0.03125,0.03571428571428571,0.125,0.0,0.4,-0.14814814814814814,0.0,0.0,0.1111111111111111,0.20833333333333334,0.07954545454545454,0.1388888888888889,0.0,-0.1,-0.046875,0.16666666666666666,0.0,-0.19047619047619047,0.0,-0.027777777777777776,0.20833333333333334,-0.10416666666666667,0.0,0.022727272727272728,0.25,0.045454545454545456,-0.1111111111111111,-0.05555555555555555,-0.09868421052631579,0.1875,-0.0625,0.0625,-0.25,0.0,0.0,0.5,-0.1111111111111111,0.4,-0.020833333333333332,0.11363636363636363,0.1,-0.09375,0.25,0.03333333333333333,0.125,0.5,-0.08333333333333333,-0.05263157894736842,0.5,0.0,0.16666666666666666,0.045454545454545456,0.0
Guinean,0.03571428571428571,-0.125,-0.125,0.1388888888888889,0.0,0.0,0.2236842105263158,-0.16666666666666666,0.125,0.06818181818181818,-0.07142857142857142,-0.15,0.25,0.0,0.0,0.015625,0.03571428571428571,0.0625,0.25,0.2,-0.19444444444444445,0.15625,0.1111111111111111,0.16666666666666666,-0.20833333333333334,-0.09090909090909091,-0.05555555555555555,-0.10227272727272728,0.0375,0.1875,0.027777777777777776,0.0625,-0.17857142857142858,-0.125,0.027777777777777776,-0.08333333333333333,-0.08333333333333333,-0.05,0.06818181818181818,0.1875,0.11363636363636363,0.046296296296296294,-0.19444444444444445,-0.13157894736842105,0.25,-0.1125,0.125,-0.16666666666666666,0.05555555555555555,0.1,0.08333333333333333,-0.027777777777777776,0.15,0.0,0.11363636363636363,-0.2,0.09375,0.125,0.13333333333333333,0.0,0.5,0.013888888888888888,-0.11842105263157894,0.75,0.0,0.08333333333333333,0.18181818181818182,0.0
Haitian,-0.017857142857142856,-0.3,-0.16666666666666666,0.05555555555555555,0.25,0.14583333333333334,0.11842105263157894,-0.08333333333333333,0.125,0.0,-0.35714285714285715,0.05,0.25,0.041666666666666664,0.09615384615384616,-0.109375,-0.03571428571428571,-0.0625,0.375,0.0,-0.24074074074074073,0.0,0.1111111111111111,0.1111111111111111,0.25,0.056818181818181816,0.1111111111111111,-0.011363636363636364,0.0,0.15625,0.05555555555555555,0.109375,-0.03571428571428571,0.0125,-0.027777777777777776,-0.041666666666666664,-0.1875,0.0,-0.022727272727272728,0.0625,0.0,-0.046296296296296294,-0.1388888888888889,-0.13157894736842105,0.25,0.0125,0.15625,-0.16666666666666666,-0.05555555555555555,-0.3,-0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.1590909090909091,0.2,-0.03125,0.0625,0.016666666666666666,-0.125,0.5,0.013888888888888888,0.02631578947368421,0.75,0.16666666666666666,0.041666666666666664,0.11363636363636363,-0.025
Honduran,0.017857142857142856,-0.2125,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.05263157894736842,-0.1388888888888889,0.20833333333333334,0.0,-0.21428571428571427,-0.25,0.25,-0.16666666666666666,0.17307692307692307,-0.078125,0.0,0.0625,0.041666666666666664,0.0,-0.009259259259259259,0.15625,0.1388888888888889,-0.027777777777777776,0.16666666666666666,0.0,-0.1111111111111111,0.022727272727272728,0.0125,0.015625,-0.1111111111111111,-0.078125,-0.047619047619047616,0.05,0.16666666666666666,0.2916666666666667,-0.11458333333333333,-0.05,-0.022727272727272728,0.125,0.022727272727272728,-0.07407407407407407,-0.041666666666666664,-0.1118421052631579,0.125,0.0625,0.109375,0.0,-0.08333333333333333,-0.1,0.0,0.027777777777777776,-0.1,0.08333333333333333,0.13636363636363635,0.05,0.1875,-0.15625,0.016666666666666666,-0.125,0.25,-0.08333333333333333,0.05263157894736842,0.75,0.16666666666666666,0.2916666666666667,0.022727272727272728,-0.125
Hungarian,0.07142857142857142,-0.1,-0.041666666666666664,-0.1111111111111111,0.08333333333333333,0.16666666666666666,0.09210526315789473,-0.08333333333333333,0.041666666666666664,0.045454545454545456,-0.07142857142857142,0.05,0.35,-0.125,0.019230769230769232,-0.171875,0.07142857142857142,0.0,0.041666666666666664,0.0,-0.16666666666666666,0.0625,0.19444444444444445,0.19444444444444445,0.125,-0.03409090909090909,-0.2222222222222222,-0.09090909090909091,-0.0875,0.125,0.027777777777777776,0.109375,-0.16666666666666666,0.0,0.027777777777777776,0.041666666666666664,-0.125,0.15,0.09090909090909091,0.125,0.06818181818181818,0.0,-0.041666666666666664,-0.15789473684210525,-0.0625,0.0125,0.0,0.16666666666666666,-0.05555555555555555,0.05,0.16666666666666666,0.08333333333333333,0.15,0.10416666666666667,0.11363636363636363,0.25,0.0,0.25,0.0,0.125,0.25,0.06944444444444445,-0.07894736842105263,1.0,0.25,0.041666666666666664,0.06818181818181818,-0.075
Icelandic,0.05357142857142857,-0.25,-0.08333333333333333,0.05555555555555555,0.16666666666666666,-0.041666666666666664,0.013157894736842105,0.08333333333333333,0.25,0.09090909090909091,-0.14285714285714285,0.1,0.2,-0.041666666666666664,-0.019230769230769232,-0.1875,0.10714285714285714,0.03125,-0.08333333333333333,0.1,-0.1388888888888889,0.0625,-0.05555555555555555,-0.08333333333333333,0.3333333333333333,0.03409090909090909,0.08333333333333333,-0.045454545454545456,-0.0625,0.046875,0.0,0.09375,-0.047619047619047616,0.05,0.05555555555555555,-0.08333333333333333,0.03125,0.0,0.06818181818181818,0.0,0.045454545454545456,-0.046296296296296294,-0.05555555555555555,-0.1513157894736842,0.25,-0.1,0.15625,-0.08333333333333333,0.1111111111111111,-0.05,0.0,-0.08333333333333333,0.1,-0.0625,0.22727272727272727,0.25,0.125,0.09375,-0.05,-0.125,0.375,0.041666666666666664,-0.02631578947368421,0.75,0.16666666666666666,0.08333333333333333,0.11363636363636363,-0.025
Indian,0.14285714285714285,-0.1625,0.0,0.0,0.0,0.125,-0.15789473684210525,-0.2222222222222222,-0.041666666666666664,-0.09090909090909091,-0.2857142857142857,0.0,0.2,-0.041666666666666664,-0.019230769230769232,-0.25,0.0,0.0625,0.16666666666666666,0.3,-0.12037037037037036,0.125,0.1388888888888889,0.0,-0.125,0.22727272727272727,-0.027777777777777776,-0.011363636363636364,0.0875,0.3125,0.027777777777777776,0.09375,-0.09523809523809523,-0.0125,-0.05555555555555555,0.16666666666666666,-0.17708333333333334,-0.1,0.022727272727272728,0.0,0.10227272727272728,-0.07407407407407407,-0.09722222222222222,-0.08552631578947369,0.5625,-0.075,0.03125,-0.08333333333333333,0.16666666666666666,0.1,-0.16666666666666666,-0.16666666666666666,0.4,0.020833333333333332,0.1590909090909091,0.1,0.0625,0.09375,0.05,-0.375,-0.25,0.027777777777777776,-0.06578947368421052,1.0,0.08333333333333333,0.08333333333333333,0.022727272727272728,0.075
Indonesian,0.07142857142857142,-0.1375,-0.041666666666666664,-0.027777777777777776,0.25,0.08333333333333333,0.11842105263157894,0.3055555555555556,0.08333333333333333,-0.09090909090909091,-0.10714285714285714,0.1,0.05,-0.08333333333333333,0.1346153846153846,-0.015625,0.14285714285714285,0.21875,0.3333333333333333,0.1,-0.25925925925925924,0.0,0.16666666666666666,0.027777777777777776,-0.16666666666666666,0.03409090909090909,0.027777777777777776,0.056818181818181816,-0.05,0.09375,0.16666666666666666,0.09375,-0.047619047619047616,-0.15,-0.1388888888888889,-0.041666666666666664,-0.22916666666666666,-0.1,-0.06818181818181818,0.125,0.011363636363636364,-0.10185185185185185,-0.18055555555555555,-0.11842105263157894,0.25,0.075,0.046875,-0.08333333333333333,-0.027777777777777776,0.0,0.16666666666666666,-0.05555555555555555,0.35,0.0625,0.1590909090909091,0.05,0.0625,0.375,0.05,-0.125,0.125,0.013888888888888888,-0.11842105263157894,0.5,0.16666666666666666,0.16666666666666666,0.09090909090909091,-0.025
