Category,Subcategory,Name,Eritrean,Ethiopian,Guinean,Malian,Mozambican,Namibian,Nigerian,Senegalese,Moroccan,Palestinian,Somali,Afghan,Australian,Bangladeshi,Burmese,Chinese,Indonesian,Indian,Japanese,Korean,Mongolian,Pakistani,Sri Lankan,Syrian,Thai,Uzbekistani,Vietnamese,Belgian,British,Danish,Finnish,French,German,Greek,Hungarian,Icelandic,Irish,Israeli,Italian,Lithuanian,Moldovan,Norwegian,Polish,Portuguese,Russian,Romanian,Slovak,Spanish,Swedish,Swiss,Turkish,Brazilian,Chilean,Colombian,Dominican,Haitian,Honduran,Mexican,Panamanian,Peruvian,Venezuelan,Iranian,Iraqi,Libyan,Saudi,Yemeni,American,Canadian
Nationality,Africa,Eritrean,0.0769230769230769,-0.21875,-0.3148148148148148,-0.1875,0.0092592592592592,0.0138888888888888,-0.0131578947368421,0.0681818181818181,0.0909090909090909,-0.015625,-0.03125,0.0178571428571428,0.0416666666666666,-0.1666666666666666,-0.1666666666666666,-0.25,-0.1388888888888889,0.0227272727272727,0.0476190476190476,0.0125,0.125,-0.0375,0.0833333333333333,0.0416666666666666,-0.1184210526315789,0.0,0.1136363636363636,0.3333333333333333,-0.0263157894736842,0.05,0.0357142857142857,-0.03125,0.125,0.15,0.1111111111111111,0.0416666666666666,0.109375,-0.0277777777777777,0.109375,0.1666666666666666,0.1590909090909091,0.3125,-0.2,0.3333333333333333,0.3,-0.0833333333333333,0.05,0.21875,-0.125,0.375,0.5,0.0416666666666666,-0.1363636363636363,0.0,-0.0416666666666666,0.09375,0.1111111111111111,-0.15,0.0,0.0833333333333333,0.0416666666666666,-0.0227272727272727,0.1125,0.1111111111111111,0.0416666666666666,-0.05,-0.1,0.0416666666666666
Nationality,Africa,Ethiopian,0.0769230769230769,-0.03125,-0.2685185185185185,-0.28125,-0.037037037037037,-0.0694444444444444,-0.1644736842105263,0.0,0.0909090909090909,-0.078125,0.09375,0.0,-0.0833333333333333,-0.1111111111111111,-0.0277777777777777,-0.1785714285714285,-0.0555555555555555,0.0681818181818181,-0.0595238095238095,0.075,0.0,0.1,-0.0833333333333333,-0.0694444444444444,-0.0526315789473684,0.0,0.1818181818181818,-0.0833333333333333,0.1973684210526315,0.2,0.1428571428571428,0.03125,0.2916666666666667,0.15,-0.0555555555555555,0.0,0.125,-0.0277777777777777,0.0625,-0.0416666666666666,-0.0454545454545454,0.1875,-0.05,0.0833333333333333,-0.05,0.0833333333333333,0.15,0.3125,-0.125,0.375,0.5,0.1666666666666666,0.1363636363636363,0.0,-0.2083333333333333,0.03125,0.1111111111111111,-0.05,-0.0833333333333333,0.0,-0.0416666666666666,-0.0568181818181818,0.0125,0.1111111111111111,0.1666666666666666,0.125,-0.025,0.1666666666666666
Nationality,Africa,Guinean,0.0,0.015625,-0.1944444444444444,-0.0833333333333333,0.0462962962962962,-0.1944444444444444,-0.131578947368421,0.1136363636363636,0.1136363636363636,0.125,0.09375,0.0357142857142857,-0.125,0.1388888888888889,-0.1666666666666666,-0.0714285714285714,-0.0555555555555555,-0.0909090909090909,-0.1785714285714285,-0.125,0.1875,-0.1125,0.1333333333333333,0.0138888888888888,-0.1184210526315789,0.0,0.1818181818181818,0.0,0.2236842105263158,0.25,0.0357142857142857,0.0625,0.25,0.2,0.1666666666666666,-0.2083333333333333,0.1875,0.0277777777777777,0.0625,-0.0833333333333333,0.0681818181818181,0.25,0.1,0.0833333333333333,0.15,-0.0277777777777777,-0.2,0.125,0.0,0.5,0.75,0.0,0.0681818181818181,-0.15,0.0,0.15625,0.1111111111111111,-0.05,-0.1666666666666666,0.0555555555555555,0.0833333333333333,-0.1022727272727272,0.0375,0.0277777777777777,0.0,0.0,-0.125,0.125
Nationality,Africa,Malian,0.0,-0.171875,-0.2129629629629629,-0.2083333333333333,-0.037037037037037,0.0694444444444444,-0.0855263157894736,0.2045454545454545,0.1704545454545454,0.109375,0.0,0.2142857142857142,-0.125,0.1388888888888889,-0.1666666666666666,-0.3928571428571428,-0.0555555555555555,-0.034090909090909,-0.1428571428571428,-0.0125,0.25,0.0,0.0333333333333333,-0.0416666666666666,-0.1578947368421052,-0.0833333333333333,-0.25,-0.25,0.0526315789473684,0.35,0.1785714285714285,-0.125,0.2916666666666667,-0.1,0.1388888888888889,0.125,0.0625,0.0,0.125,0.0416666666666666,-0.1363636363636363,0.5,0.0,-0.0833333333333333,0.15,0.1666666666666666,-0.05,0.1875,0.0,0.375,-0.25,0.125,0.2045454545454545,0.05,0.0833333333333333,-0.09375,0.1944444444444444,-0.1,-0.0833333333333333,0.0555555555555555,0.0,-0.0113636363636363,0.075,0.3333333333333333,0.1041666666666666,-0.125,-0.225,0.2083333333333333
Nationality,Africa,Mozambican,-0.0769230769230769,-0.09375,-0.2407407407407407,-0.09375,-0.0555555555555555,-0.0694444444444444,-0.0657894736842105,0.0227272727272727,0.0454545454545454,0.015625,0.03125,0.0178571428571428,-0.1666666666666666,0.0277777777777777,-0.1111111111111111,-0.2857142857142857,-0.1111111111111111,-0.0227272727272727,0.0476190476190476,-0.0625,0.0625,-0.05,0.0166666666666666,-0.0138888888888888,-0.1052631578947368,0.0,0.0454545454545454,0.25,0.0921052631578947,0.25,0.1785714285714285,0.0625,0.0833333333333333,0.15,0.0,0.0833333333333333,0.0625,0.0277777777777777,0.171875,0.0833333333333333,0.0681818181818181,0.3125,0.1,-0.0833333333333333,0.3,0.0,-0.1,0.0625,-0.25,0.125,0.5,0.1666666666666666,0.0681818181818181,-0.05,-0.0833333333333333,-0.0625,0.2777777777777778,0.2,-0.1666666666666666,0.0277777777777777,0.25,-0.1022727272727272,0.0375,0.2222222222222222,0.0833333333333333,0.025,-0.1375,0.2083333333333333
Nationality,Africa,Namibian,0.0576923076923076,0.0,-0.1481481481481481,-0.1770833333333333,-0.037037037037037,0.0972222222222222,0.006578947368421,-0.0681818181818181,-0.0113636363636363,0.03125,0.125,0.0714285714285714,0.0416666666666666,0.0,0.0833333333333333,-0.1785714285714285,-0.1944444444444444,0.0454545454545454,0.0238095238095238,-0.0375,0.25,-0.0375,-0.0833333333333333,0.0138888888888888,-0.0131578947368421,0.0,0.0454545454545454,0.0,0.0263157894736842,0.15,0.0,-0.03125,0.1666666666666666,0.1,-0.0833333333333333,0.2916666666666667,0.1875,0.0,-0.078125,0.2083333333333333,0.0,0.0,0.05,0.1666666666666666,0.0,-0.0277777777777777,0.2,-0.03125,0.125,0.25,0.75,-0.0416666666666666,-0.0227272727272727,-0.2,-0.125,0.15625,0.1388888888888889,-0.05,0.0,-0.1666666666666666,-0.0416666666666666,0.0454545454545454,0.0375,0.1388888888888889,0.0208333333333333,0.025,-0.2125,0.0416666666666666
Nationality,Africa,Nigerian,0.0,-0.03125,-0.074074074074074,-0.1770833333333333,-0.1018518518518518,-0.0416666666666666,-0.1052631578947368,0.2272727272727272,0.0454545454545454,-0.015625,0.09375,0.1964285714285714,0.0,0.1944444444444444,-0.0833333333333333,-0.1428571428571428,0.0555555555555555,0.1363636363636363,-0.1309523809523809,-0.125,0.0625,-0.0125,0.0,0.0416666666666666,-0.1447368421052631,0.0,-0.0227272727272727,0.0,0.0131578947368421,0.25,-0.0714285714285714,0.0625,0.0416666666666666,-0.25,-0.0555555555555555,0.1666666666666666,0.09375,0.0,0.140625,0.1666666666666666,-0.1590909090909091,0.3125,-0.05,0.0833333333333333,0.2,-0.0833333333333333,0.15,0.15625,-0.25,-0.25,1.0,-0.0208333333333333,0.0227272727272727,0.25,0.0416666666666666,0.125,0.1111111111111111,-0.1,-0.3333333333333333,-0.0555555555555555,0.0833333333333333,-0.0113636363636363,0.075,0.1666666666666666,-0.0208333333333333,0.025,-0.15,0.375
Nationality,Africa,Senegalese,0.0769230769230769,-0.203125,-0.1203703703703703,-0.0833333333333333,0.0555555555555555,-0.2222222222222222,-0.1907894736842105,0.25,0.0795454545454545,0.015625,-0.03125,0.0357142857142857,-0.125,0.1388888888888889,-0.0277777777777777,-0.1785714285714285,0.1111111111111111,0.034090909090909,0.0,0.0375,0.125,-0.05,-0.1,-0.0277777777777777,-0.0657894736842105,0.25,0.0227272727272727,0.1666666666666666,0.0263157894736842,0.2,0.1785714285714285,0.1875,0.0416666666666666,-0.05,0.1944444444444444,0.125,0.140625,0.1111111111111111,0.125,0.1666666666666666,0.0227272727272727,0.0,-0.05,-0.1666666666666666,-0.05,-0.0833333333333333,-0.05,0.09375,-0.25,0.25,0.5,0.0416666666666666,-0.0681818181818181,0.2,0.0416666666666666,0.03125,0.1944444444444444,0.1,0.0,0.0833333333333333,-0.0833333333333333,-0.0454545454545454,-0.05,0.0,0.0625,-0.05,-0.0875,0.0416666666666666
Nationality,ArabStates,Moroccan,0.0384615384615384,-0.171875,-0.1574074074074074,-0.09375,-0.0277777777777777,-0.0277777777777777,-0.1907894736842105,0.0909090909090909,0.2727272727272727,0.015625,-0.03125,-0.0357142857142857,-0.0833333333333333,0.0277777777777777,0.0,-0.1428571428571428,0.0833333333333333,0.0,-0.0119047619047619,0.025,0.125,-0.025,0.05,0.0972222222222222,0.0,-0.0833333333333333,0.0909090909090909,-0.0833333333333333,-0.0526315789473684,0.05,0.1785714285714285,-0.09375,0.125,0.0,0.1111111111111111,-0.0416666666666666,0.140625,0.0277777777777777,-0.046875,0.2083333333333333,0.0454545454545454,0.125,-0.05,0.1666666666666666,0.15,0.1111111111111111,0.2,-0.0625,0.375,0.25,0.25,0.0416666666666666,0.0,0.0,0.0,-0.09375,0.0,0.0,0.0833333333333333,-0.1111111111111111,-0.2083333333333333,0.0113636363636363,0.1,0.1111111111111111,0.1875,0.05,-0.2875,0.125
Nationality,ArabStates,Palestinian,-0.0384615384615384,-0.203125,-0.0462962962962962,-0.1875,-0.0462962962962962,-0.0416666666666666,-0.0394736842105263,0.2727272727272727,0.0568181818181818,0.09375,0.03125,0.0535714285714285,-0.1666666666666666,0.0277777777777777,-0.1111111111111111,-0.2142857142857142,-0.1111111111111111,0.0,-0.1904761904761904,-0.175,0.1875,-0.0375,0.0666666666666666,0.0694444444444444,-0.0789473684210526,0.0833333333333333,0.0,0.0833333333333333,0.131578947368421,0.25,-0.1428571428571428,0.15625,0.1666666666666666,0.15,0.0277777777777777,0.25,0.171875,0.0555555555555555,0.125,0.0833333333333333,0.0454545454545454,0.125,0.1,-0.3333333333333333,0.05,0.0,0.1,0.3125,0.375,0.375,0.75,-0.0208333333333333,-0.0909090909090909,-0.25,-0.0416666666666666,0.03125,-0.0833333333333333,-0.25,0.4166666666666667,-0.0555555555555555,0.0416666666666666,0.0,0.025,0.1944444444444444,0.0416666666666666,0.125,-0.1625,0.0416666666666666
