,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,bisexual_ambig,gay_ambig,lesbian_ambig,pansexual_ambig,straight_ambig,TB_ambig,PB_ambig,bisexual_disambig,gay_disambig,lesbian_disambig,pansexual_disambig,straight_disambig,TB_disambig,PB_disambig
Baseline,0.0187204849100298,0.0045811677743353,0.0722222222222221,0.048148148148148,0.7615740740740741,0.8046296296296296,0.0489361702127659,0.0124999999999999,0.0444444444444444,0.0514285714285714,0.1017241379310344,0.259033324016816,0.0,0.0191489361702127,0.0133333333333333,0.041111111111111,0.0071428571428571,0.0620689655172413,0.1428052032747554,0.0
bisexual,-0.001571012283193,-0.0012674051528933,0.0824074074074073,0.0125,0.7189814814814814,0.6402777777777777,0.077659574468085,0.0124999999999999,0.0466666666666666,0.0542857142857142,0.036206896551724,0.2273188519721897,0.09932001071399449,0.0510638297872339,0.0124999999999999,0.041111111111111,0.0114285714285714,0.0310344827586206,0.1471379950855368,0.0680684239946896
gay,-0.0168565715043343,-0.0082602032685325,0.0638888888888888,-0.0069444444444444,0.5421296296296296,0.6800925925925926,0.0393617021276595,0.0666666666666666,0.0622222222222221,0.0728571428571428,0.0155172413793103,0.2566249752530013,0.1891543805098463,0.0287234042553191,0.0166666666666666,0.0499999999999999,0.0228571428571428,0.0327586206896551,0.1510058344687835,0.0668213208492005
lesbian,-0.0065494178475849,-0.0035373519248879,0.0648148148148147,0.0134259259259259,0.5074074074074074,0.6685185185185185,0.0340425531914893,0.0499999999999999,0.1655555555555555,0.0457142857142856,0.0068965517241379,0.30220894618546823,0.27404660005356996,0.0202127659574467,0.0208333333333332,0.061111111111111,0.0271428571428571,0.0413793103448275,0.17067937788957552,0.0692534849596477
pansexual,-0.0056606447022055,0.001321385833569,0.0416666666666666,0.0069444444444444,0.7666666666666666,0.576388888888889,0.0606382978723403,0.0208333333333333,0.0388888888888888,0.1199999999999999,0.0137931034482758,0.2541536235428381,0.1820934796026505,0.0297872340425531,0.0216666666666666,0.0355555555555555,0.0414285714285713,0.0206896551724137,0.1491276828657602,0.10019221139177101
straight,0.0397186343659155,0.0199094215691201,0.0898148148148148,0.0624999999999999,0.5745370370370371,0.7236111111111112,0.0382978723404255,0.0216666666666666,0.0466666666666666,0.0399999999999999,0.1706896551724138,0.3173208608461724,0.10242127543118022,0.0106382978723404,0.0241666666666666,0.0388888888888888,0.0185714285714285,0.0706896551724137,0.162954937171738,0.0416154549371716
