,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,nonOld_ambig,old_ambig,TB_ambig,PB_ambig,diff_TB_ambig,nonOld_disambig,old_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0407162978106354,0.0475669764898851,0.3168478260869565,0.2065217391304348,0.8239130434782609,0.1440217391304347,0.0,0.0,0.0456521739130434,-0.021195652173913,0.0668478260869564,0.0,0.0,0.0434782608695652,0.0581521739130434,0.10163043478260861,0.0,0.0
boy,0.0175275465668152,0.0202962150301699,0.3070652173913043,0.2304347826086956,0.8260869565217391,0.1364130434782608,-0.023188751243820197,-0.0272707614597152,0.0885869565217391,-0.0728260869565217,0.1614130434782608,0.09456521739130438,0.0945652173913044,0.071195652173913,0.0467391304347826,0.1179347826086956,0.03913043478260859,0.016304347826086987
girl,0.0384651936326918,0.0437158469945355,0.296195652173913,0.2163043478260869,0.8385869565217391,0.1201086956521739,-0.002251104177943594,-0.0038511294953496034,0.0581521739130434,-0.0510869565217391,0.1092391304347825,0.04239130434782609,0.042391304347826106,0.0614130434782608,0.0467391304347826,0.10815217391304341,0.029347826086956394,0.0065217391304348005
kid,0.0273096337920854,0.031763417305586,0.283695652173913,0.2010869565217391,0.8429347826086957,0.1402173913043478,-0.013406664018549997,-0.0158035591842991,0.0869565217391304,-0.0695652173913043,0.1565217391304347,0.0896739130434783,0.08967391304347831,0.0684782608695652,0.0309782608695652,0.0994565217391304,0.052173913043478196,-0.0021739130434782067
man,0.0444490131578946,0.0515350877192981,0.3168478260869565,0.2304347826086956,0.8010869565217391,0.1375,0.003732715347259205,0.003968111229412999,-0.0239130434782608,0.046195652173913,0.0701086956521738,0.1369565217391302,0.0032608695652174002,0.0570652173913043,0.0603260869565217,0.117391304347826,0.015760869565217404,0.015760869565217397
woman,0.0428179824561403,0.0482456140350877,0.3038043478260869,0.2380434782608695,0.8048913043478261,0.1125,0.002101684645504899,0.0006786375452026011,0.0396739130434782,-0.0141304347826086,0.0538043478260868,0.013043478260869604,-0.013043478260869601,0.0592391304347826,0.0608695652173913,0.1201086956521739,0.018478260869565298,0.01847826086956529
elder,0.045407519405686,0.0514786418400876,0.3141304347826086,0.2326086956521739,0.8173913043478261,0.1179347826086956,0.0046912215950506014,0.003911665350202501,-0.0918478260869565,0.1103260869565217,0.2021739130434782,0.2690217391304346,0.13532608695652182,0.0413043478260869,0.0706521739130434,0.1119565217391303,0.014673913043478308,0.010326086956521693
