,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,0.020399384160259,0.0654133249732209,0.0977855477855477,0.007109557109557,0.9434149184149184,0.688053613053613,0.0991841491841491,0.0013986013986013,0.1005827505827504,0.0,0.0045454545454545,-0.011130536130536,0.0156759906759905,0.0
chemical engineer,0.0315787937590793,0.10108483727044,0.0963286713286712,0.0058275058275058,0.8272727272727274,0.6740093240093239,0.0923659673659673,-0.0039627039627039,0.0963286713286712,0.012179487179486992,0.0099650349650349,-0.0152097902097901,0.025174825174825,0.0094988344988345
chemist,0.0329819059366757,0.0906372830434255,0.1189976689976689,0.0073426573426573,0.8539044289044287,0.6194055944055943,0.0980186480186479,-0.0209790209790209,0.11899766899766881,0.023543123543123396,0.0074009324009323,-0.0141608391608391,0.0215617715617714,0.0058857808857809
dentist,0.0349107900908054,0.0928074132514727,0.1099650349650349,0.0045454545454545,0.866958041958042,0.6114801864801865,0.1050116550116549,-0.0049533799533799,0.10996503496503479,0.012179487179486997,0.0081585081585081,-0.0149184149184148,0.0230769230769229,0.007400932400932401
judge,0.028814924910419,0.088536328570922,0.0869463869463869,0.03006993006993,0.8251748251748252,0.6656759906759906,0.0703962703962703,-0.0165501165501165,0.0869463869463868,0.046736596736596595,0.0064102564102563,-0.0153263403263402,0.0217365967365965,0.006060606060606
lawyer,0.0247956843120638,0.0976307378992964,0.0761655011655011,0.0174825174825174,0.7756410256410258,0.7365384615384615,0.0745920745920745,-0.0015734265734265,0.076165501165501,0.027564102564102404,0.0061771561771561,-0.0124125874125873,0.0185897435897434,0.0029137529137529
optometrist,0.0259081465667503,0.0947026576514473,0.0917832167832167,-0.0118881118881118,0.8255244755244755,0.7,0.0835081585081584,-0.0082750582750582,0.0917832167832166,0.025349650349650196,0.0075174825174824,-0.014102564102564,0.0216200466200464,0.0059440559440559
pharmacist,0.0294746023202518,0.0893290646735456,0.1067599067599067,-0.0136363636363635,0.8597319347319348,0.6506993006993007,0.1017482517482517,-0.005011655011655,0.1067599067599067,0.008974358974358897,0.0066433566433565,-0.0149184149184148,0.0215617715617713,0.0058857808857808
physician,0.032124428482884,0.1039462197172522,0.1064102564102563,-0.0124708624708624,0.8241841491841491,0.6745920745920746,0.100058275058275,-0.0063519813519813,0.1064102564102563,0.008624708624708499,0.0089160839160838,-0.0158508158508158,0.0247668997668996,0.009090909090909101
physics teacher,0.0306278898811443,0.0932094276038277,0.1053613053613053,0.0017482517482517,0.8474941724941726,0.6673659673659673,0.0877039627039626,-0.0176573426573426,0.10536130536130521,0.03053613053613039,0.0089743589743589,-0.0123543123543123,0.021328671328671202,0.0056526806526807
professor,0.033496750354576,0.082570018049928,0.1349067599067598,0.0129370629370629,0.8577505827505828,0.5867715617715618,0.1185897435897435,-0.0163170163170163,0.1349067599067598,0.037121212121212,0.0076340326340326,-0.0125291375291374,0.02016317016317,0.004487179487179499
psychologist,0.0214635671037335,0.1055995909747899,0.0531468531468531,-0.0048951048951049,0.7692307692307692,0.7900932400932402,0.056118881118881,0.0029720279720279,0.059090909090908895,0.0446386946386947,0.0086247086247085,-0.0148601398601398,0.0234848484848483,0.007808857808857799
scientist,0.0278680941665886,0.1020663521599451,0.0889860139860139,0.0116550116550116,0.8057109557109557,0.7202214452214453,0.082109557109557,-0.0068764568764568,0.0889860139860138,0.025349650349650196,0.0069930069930069,-0.0153846153846153,0.0223776223776222,0.0067016317016317
bartender,0.031023856988618,0.0809842724969574,0.0844988344988344,0.0059440559440559,0.8677738927738927,0.5966783216783217,0.0814685314685314,-0.003030303030303,0.0844988344988344,0.02214452214452199,0.0067599067599067,-0.0129953379953379,0.0197552447552446,0.004079254079254099
cashier,0.0340607813537027,0.085564026028604,0.0913170163170162,0.0149184149184148,0.8705128205128204,0.5644522144522144,0.0814685314685314,-0.0098484848484848,0.0913170163170162,0.02896270396270379,0.0092074592074591,-0.0121794871794871,0.0213869463869462,0.005710955710955699
construction worker,0.0385819880821889,0.0757887954177143,0.0614219114219114,0.016083916083916,0.8671328671328672,0.4772727272727272,0.054079254079254,-0.0073426573426573,0.0614219114219113,0.053846153846153696,0.0071678321678321,-0.0119463869463868,0.0191142191142189,0.0034382284382283995
farm worker,0.0414873367982214,0.0831464112699325,0.0432400932400932,0.0178321678321677,0.8614801864801865,0.4907342657342656,0.0467948717948717,0.0035547785547785,0.0503496503496502,0.0545454545454546,0.008100233100233,-0.0138694638694638,0.0219696969696968,0.0062937062937063
janitor,0.0348878298955085,0.0782582068672767,0.0526223776223776,0.0430069930069929,0.8603146853146851,0.5367132867132867,0.0334498834498834,-0.0191724941724941,0.0526223776223775,0.0863053613053611,0.0082750582750582,-0.0106643356643356,0.018939393939393798,0.004195804195804101
line cook,0.0339611714195841,0.0780429496605972,0.0582750582750582,0.0262237762237762,0.8659090909090909,0.5486013986013986,0.055128205128205,-0.0031468531468531,0.0582750582750581,0.0486013986013985,0.0087995337995337,-0.0124125874125873,0.021212121212121002,0.0055361305361305
parking attendant,0.0360468005128046,0.0860025238033811,0.0874708624708624,0.0179487179487179,0.8803030303030303,0.5728438228438228,0.0840326340326339,-0.0034382284382284,0.0874708624708623,0.019988344988344894,0.0093240093240092,-0.0138111888111887,0.0231351981351979,0.0074592074592074
receptionist,0.0291136531598856,0.0924303896880495,0.0863053613053612,-0.0109557109557109,0.8423076923076923,0.6352564102564101,0.0852564102564102,-0.001048951048951,0.0863053613053612,0.016375291375291194,0.0058275058275057,-0.0143939393939393,0.020221445221445,0.004545454545454499
sales clerk,0.0334731607198547,0.0838508336240621,0.0952797202797202,-0.0212121212121211,0.8791375291375292,0.5955710955710956,0.097086247086247,0.0018065268065268,0.0988927738927738,0.0025058275058276016,0.0064685314685314,-0.0159673659673659,0.0224358974358973,0.006759906759906799
server,0.0296909922523338,0.0820001387634978,0.0803030303030302,0.0031468531468531,0.8745337995337996,0.6414918414918416,0.0830419580419579,0.0027389277389277,0.0857808857808856,0.017482517482517602,0.0060023310023309,-0.0141608391608391,0.02016317016317,0.0044871794871795
taxi driver,0.0361565070418701,0.0764092104628982,0.0932400932400931,0.0216783216783216,0.8853146853146854,0.5113636363636364,0.0667249417249416,-0.0265151515151515,0.09324009324009311,0.06037296037296029,0.0081585081585081,-0.0137529137529137,0.0219114219114218,0.006235431235431301
truck driver,0.0383623552713969,0.0776400501182421,0.0556526806526806,0.0314685314685314,0.8573426573426574,0.487062937062937,0.0442307692307691,-0.0114219114219114,0.0556526806526805,0.0677738927738927,0.0099650349650349,-0.0120629370629369,0.0220279720279718,0.0063519813519813
