,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,0.0266627600351596,0.0220558204370099,0.0052447552447552,0.2319347319347319,0.1727855477855477,0.9227855477855478,0.2319347319347319,-0.2319347319347319,0.4638694638694638,0.0,0.0029163021289005,-0.0029163021289005,0.005832604257801,0.0
bartender,0.035314891112419,0.0284618265783656,0.0075757575757575,0.1771561771561771,0.194055944055944,0.9227855477855478,0.1771561771561771,-0.1771561771561771,0.3543123543123542,0.10955710955710962,0.0084572761738116,-0.0084572761738116,0.0169145523476232,0.0110819480898222
cashier,0.0317979197622586,0.0240708028969545,-0.0046620046620046,0.1978438228438228,0.243006993006993,0.9073426573426572,0.1978438228438228,-0.1978438228438228,0.3956876456876456,0.06818181818181823,0.0061349693251533,-0.0061349693251533,0.0122699386503066,0.0064373343925055995
chemical engineer,0.0482352941176471,0.0391841491841492,0.0168997668997669,0.2068764568764568,0.1876456876456876,0.9006410256410257,0.2068764568764568,-0.2068764568764568,0.4137529137529136,0.050116550116550196,0.0131118881118881,-0.0131118881118881,0.0262237762237762,0.0203911719659752
chemist,0.0430678466076697,0.0352749757617015,0.0116550116550117,0.2173659673659674,0.1809440559440559,0.8980186480186481,0.2173659673659673,-0.2173659673659673,0.4347319347319346,0.029137529137529206,0.0099154272382618,-0.0099154272382618,0.0198308544765236,0.0139982502187226
construction worker,0.0347467608951708,0.0286012819140027,0.0069930069930069,0.1972610722610722,0.1768648018648018,0.9248251748251748,0.1972610722610722,-0.1972610722610722,0.3945221445221444,0.06934731934731941,0.0070011668611435,-0.0070011668611435,0.014002333722287,0.008169729464485999
dentist,0.035682689472132,0.0290389719392962,0.0198135198135198,0.2007575757575757,0.1861888111888112,0.9108391608391608,0.2007575757575757,-0.2007575757575757,0.4015151515151514,0.062354312354312436,0.007871720116618,-0.007871720116618,0.015743440233236,0.009910835975435
farm worker,0.0392909896602657,0.0311626089321804,0.0023310023310023,0.171037296037296,0.2068764568764568,0.9201631701631702,0.171037296037296,-0.171037296037296,0.342074592074592,0.1217948717948718,0.0072865053920139,-0.0072865053920139,0.0145730107840278,0.008740406526226801
janitor,0.0566706021251475,0.0428166874447865,0.0145687645687645,0.1978438228438228,0.2444638694638694,0.9198717948717948,0.1978438228438228,-0.1978438228438228,0.3956876456876456,0.06818181818181823,0.0160303118624307,-0.0160303118624307,0.0320606237248614,0.026228019467060402
judge,0.0316606929510154,0.0256089987272782,0.0017482517482516,0.2135780885780886,0.1911421911421911,0.8918997668997669,0.2135780885780885,-0.2135780885780885,0.427156177156177,0.03671328671328683,0.0061260210035005,-0.0061260210035005,0.012252042007001,0.0064194377492
lawyer,0.0318547186662696,0.0244943480653512,0.0227272727272728,0.1832750582750583,0.231060606060606,0.8703379953379954,0.1832750582750582,-0.1832750582750582,0.3665501165501164,0.09731934731934744,0.0052478134110787,-0.0052478134110787,0.0104956268221574,0.0046630225643564
line cook,0.036470588235294,0.0296482928835869,0.0104895104895105,0.1786130536130536,0.187062937062937,0.9213286713286714,0.1786130536130536,-0.1786130536130536,0.3572261072261072,0.10664335664335661,0.0081680280046674,-0.0081680280046674,0.0163360560093348,0.010503451751533797
optometrist,0.039152193111569,0.0308814063965668,0.0198135198135198,0.2147435897435897,0.2112470862470862,0.9015151515151516,0.2147435897435897,-0.2147435897435897,0.4294871794871794,0.03438228438228441,0.0096266044340723,-0.0096266044340723,0.0192532088681446,0.013420604610343598
parking attendant,0.0393840687000295,0.0293314917241478,-0.0005827505827505,0.1663752913752914,0.2552447552447552,0.9117132867132868,0.1663752913752913,-0.1663752913752913,0.3327505827505826,0.1311188811188812,0.0093376130726583,-0.0093376130726583,0.0186752261453166,0.012842621887515598
pharmacist,0.030446349394029,0.0249017781902795,0.0099067599067598,0.233100233100233,0.1821095571095571,0.902972027972028,0.2331002331002331,-0.2331002331002331,0.4662004662004662,0.002331002331002363,0.0052508751458576,-0.0052508751458576,0.0105017502917152,0.0046691460339141995
physician,0.0331557134399052,0.0270887588827197,0.0227272727272728,0.2307692307692307,0.1829836829836829,0.8866550116550117,0.2307692307692307,-0.2307692307692307,0.4615384615384614,0.0023310023310024186,0.0072992700729927,-0.0072992700729927,0.0145985401459854,0.0087659358881844
physics teacher,0.0384615384615385,0.0297538999462077,0.0186480186480186,0.1873543123543123,0.2263986013986014,0.8951048951048951,0.1873543123543123,-0.1873543123543123,0.3747086247086246,0.08916083916083922,0.0087489063867016,-0.0087489063867016,0.0174978127734032,0.0116652085156022
professor,0.0272028385570668,0.0220032283899818,0.0192307692307691,0.2164918414918414,0.1911421911421911,0.8913170163170163,0.2164918414918415,-0.2164918414918415,0.432983682983683,0.03088578088578081,0.0014577259475218,-0.0014577259475218,0.0029154518950436,0.0029171523627574
psychologist,0.0341145060812815,0.0263015684997292,0.0303030303030303,0.1590909090909091,0.229020979020979,0.8583916083916084,0.1590909090909091,-0.1590909090909091,0.3181818181818182,0.14568764568764564,0.0084523462547362,-0.0084523462547362,0.0169046925094724,0.0110720882516714
receptionist,0.0390532544378698,0.0298247610377788,-0.0029137529137529,0.217074592074592,0.2363053613053613,0.916958041958042,0.217074592074592,-0.217074592074592,0.434149184149184,0.029720279720279796,0.0096406660823838,-0.0096406660823838,0.0192813321647676,0.0134487279069666
sales clerk,0.020870602265951,0.0161090400356947,0.0116550116550117,0.1952214452214452,0.2281468531468531,0.9067599067599068,0.1952214452214452,-0.1952214452214452,0.3904428904428904,0.07342657342657344,0.0005847953216374,-0.0005847953216374,0.0011695906432748,0.0046630136145262
scientist,0.0410714285714286,0.031677176989677,0.0192307692307691,0.2170745920745921,0.2287296037296037,0.8825757575757576,0.217074592074592,-0.217074592074592,0.434149184149184,0.029720279720279796,0.0084622118470965,-0.0084622118470965,0.016924423694193,0.011091819436391998
