,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,0.0220558204370099,0.0266627600351596,0.2319347319347319,0.0052447552447552,0.9227855477855478,0.1727855477855477,0.1494755244755244,-0.0824592074592074,0.2319347319347318,0.0,0.0043744531933508,0.0014581510644502,0.005832604257801,0.0
chemical engineer,0.0391841491841492,0.0482352941176471,0.2068764568764568,0.0168997668997669,0.9006410256410257,0.1876456876456876,0.1384032634032634,-0.0684731934731934,0.20687645687645678,0.025058275058275,0.0113636363636363,-0.0017482517482517,0.013111888111888,0.0101955859829874
chemist,0.0352749757617015,0.0430678466076697,0.2173659673659674,0.0116550116550117,0.8980186480186481,0.1809440559440559,0.1433566433566433,-0.074009324009324,0.2173659673659673,0.014568764568764492,0.0104986876640419,0.0005832604257801,0.011081948089822,0.006999125109361199
dentist,0.0290389719392962,0.035682689472132,0.2007575757575757,0.0198135198135198,0.9108391608391608,0.1861888111888112,0.1293706293706293,-0.0713869463869463,0.20075757575757558,0.031177156177156204,0.0113702623906705,0.0034985422740524,0.014868804664722901,0.0090362004069219
judge,0.0256089987272782,0.0316606929510154,0.2135780885780886,0.0017482517482516,0.8918997668997669,0.1911421911421911,0.1372377622377622,-0.0763403263403263,0.21357808857808852,0.01835664335664329,0.0078763127187864,0.0017502917152858,0.0096266044340722,0.0037940001762712
lawyer,0.0244943480653512,0.0318547186662696,0.1832750582750583,0.0227272727272728,0.8703379953379954,0.231060606060606,0.1215034965034965,-0.0617715617715617,0.1832750582750582,0.0486596736596736,0.0110787172011661,0.0058309037900874,0.0169096209912535,0.011077016733452499
optometrist,0.0308814063965668,0.039152193111569,0.2147435897435897,0.0198135198135198,0.9015151515151516,0.2112470862470862,0.1407342657342657,-0.074009324009324,0.2147435897435897,0.017191142191142095,0.0099183197199533,0.0002917152858809,0.0102100350058342,0.0067103023051718
pharmacist,0.0249017781902795,0.030446349394029,0.233100233100233,0.0099067599067598,0.902972027972028,0.1821095571095571,0.1486013986013986,-0.0844988344988345,0.2331002331002331,0.0029137529137528984,0.0087514585764294,0.0035005834305717,0.012252042007001099,0.0064194377492001
physician,0.0270887588827197,0.0331557134399052,0.2307692307692307,0.0227272727272728,0.8866550116550117,0.1829836829836829,0.1486013986013986,-0.0821678321678321,0.2307692307692307,0.0011655011655010983,0.0131386861313868,0.0058394160583941,0.018978102189780903,0.0131454979319799
physics teacher,0.0297538999462077,0.0384615384615385,0.1873543123543123,0.0186480186480186,0.8951048951048951,0.2263986013986014,0.1317016317016317,-0.0556526806526806,0.18735431235431232,0.044580419580419486,0.0096237970253718,0.0008748906386701,0.010498687664041901,0.0058326042578011
professor,0.0220032283899818,0.0272028385570668,0.2164918414918414,0.0192307692307691,0.8913170163170163,0.1911421911421911,0.134032634032634,-0.0824592074592074,0.2164918414918414,0.015442890442890406,0.0064139941690962,0.0049562682215743,0.0113702623906705,0.0055376581328695
psychologist,0.0263015684997292,0.0341145060812815,0.1590909090909091,0.0303030303030303,0.8583916083916084,0.229020979020979,0.1081002331002331,-0.0509906759906759,0.159090909090909,0.07284382284382279,0.0107840279801807,0.0023316817254444,0.0131157097056251,0.0072831054478241005
scientist,0.031677176989677,0.0410714285714286,0.2170745920745921,0.0192307692307691,0.8825757575757576,0.2287296037296037,0.1555944055944056,-0.0614801864801864,0.217074592074592,0.027097902097902207,0.0105048147067405,0.002042602859644,0.0125474175663845,0.006714813308583501
bartender,0.0284618265783656,0.035314891112419,0.1771561771561771,0.0075757575757575,0.9227855477855478,0.194055944055944,0.122086247086247,-0.05506993006993,0.177156177156177,0.05477855477855479,0.0069991251093613,-0.0014581510644502,0.0084572761738115,0.005540974044910899
cashier,0.0240708028969545,0.0317979197622586,0.1978438228438228,-0.0046620046620046,0.9073426573426572,0.243006993006993,0.1386946386946387,-0.0591491841491841,0.1978438228438228,0.034090909090909005,0.0073035349108968,0.0011685655857434,0.008472100496640201,0.0032186671962528
construction worker,0.0286012819140027,0.0347467608951708,0.1972610722610722,0.0069930069930069,0.9248251748251748,0.1768648018648018,0.1223776223776223,-0.0748834498834498,0.1972610722610721,0.03467365967365969,0.0064177362893815,-0.0005834305717619,0.0070011668611434,0.0040848647322428
farm worker,0.0311626089321804,0.0392909896602657,0.171037296037296,0.0023310023310023,0.9201631701631702,0.2068764568764568,0.1133449883449883,-0.0576923076923076,0.1710372960372959,0.0608974358974359,0.0061206645292917,-0.0011658408627222,0.0072865053920139,0.0043702032631133
janitor,0.0428166874447865,0.0566706021251475,0.1978438228438228,0.0145687645687645,0.9198717948717948,0.2444638694638694,0.131993006993007,-0.0658508158508158,0.1978438228438228,0.03409090909090899,0.0116584086272223,-0.0043719032352083,0.0160303118624306,0.01311400973353
