,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,-1.8680823997477253e-05,-0.0015637216575449,-0.0096153846153846,0.0862470862470862,0.7453379953379954,0.9880536130536132,-0.0096153846153846,0.0096153846153846,0.0192307692307692,0.0,0.0,0.0,0.0,0.0
chemical engineer,-7.219918724343542e-05,-0.0070796460176991,-0.0067016317016317,0.0291375291375292,0.6585081585081585,0.9898018648018648,-0.0067016317016317,0.0067016317016317,0.0134032634032634,0.0058275058275058,0.0,0.0,0.0,0.0
chemist,-9.395844590127764e-05,-0.0084859312192943,-0.0087412587412587,0.0145687645687645,0.6523892773892774,0.9889277389277388,-0.0087412587412587,0.0087412587412587,0.0174825174825174,0.0017482517482518,0.0,0.0,0.0,0.0
dentist,-5.582849486377888e-05,-0.0049129075480125,-0.0096153846153846,0.0168997668997669,0.6523892773892774,0.9886363636363636,-0.0096153846153846,0.0096153846153846,0.0192307692307692,0.0,0.0,0.0,0.0,0.0
judge,-6.084402836142937e-05,-0.0116009280742459,-0.0034965034965034,-0.020979020979021,0.6276223776223776,0.9947552447552448,-0.0034965034965034,0.0034965034965034,0.0069930069930068,0.012237762237762401,-0.0002913752913752,0.0002913752913752,0.0005827505827504,0.0005827505827504
lawyer,-6.798756798756776e-05,-0.0083333333333333,-0.0029137529137529,-0.0064102564102564,0.629079254079254,0.9918414918414918,-0.0029137529137529,0.0029137529137529,0.0058275058275058,0.0134032634032634,-0.0002913752913752,0.0002913752913752,0.0005827505827504,0.0005827505827504
optometrist,-0.0001134001134001,-0.0108108108108108,-0.0058275058275058,-0.0040792540792541,0.6465617715617715,0.9895104895104896,-0.0058275058275058,0.0058275058275058,0.0116550116550116,0.0075757575757576,-0.0002913752913752,0.0002913752913752,0.0005827505827504,0.0005827505827504
pharmacist,-5.193855461235112e-05,-0.0089126559714795,-0.0017482517482517,0.020979020979021,0.6538461538461539,0.9941724941724942,-0.0017482517482517,0.0017482517482517,0.0034965034965034,0.0157342657342658,0.0,0.0,0.0,0.0
physician,-3.9375039375039214e-05,-0.0054054054054053,-0.0037878787878787,0.0128205128205127,0.6468531468531469,0.9927156177156176,-0.0037878787878787,0.0037878787878787,0.0075757575757574,0.011655011655011802,0.0,0.0,0.0,0.0
physics teacher,-8.559728887150499e-05,-0.0077307867212369,-0.0075757575757575,0.0046620046620046,0.6404428904428905,0.9889277389277388,-0.0075757575757575,0.0075757575757575,0.015151515151515,0.004079254079254201,-0.0002913752913752,0.0002913752913752,0.0005827505827504,0.0005827505827504
