,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,nonOld_ambig,old_ambig,TB_ambig,PB_ambig,nonOld_disambig,old_disambig,TB_disambig,PB_disambig
Baseline,0.0407162978106354,0.0475669764898851,0.3168478260869565,0.2065217391304348,0.8239130434782609,0.1440217391304347,0.0456521739130434,-0.021195652173913,0.0668478260869564,0.0,0.0435255712731229,0.0582154515778019,0.10174102285092479,0.0
boy,0.0175275465668152,0.0202962150301699,0.3070652173913043,0.2304347826086956,0.8260869565217391,0.1364130434782608,0.0885869565217391,-0.0728260869565217,0.1614130434782608,0.09456521739130438,0.0715065502183406,0.046943231441048,0.1184497816593886,0.0392531990819716
girl,0.0384651936326918,0.0437158469945355,0.296195652173913,0.2163043478260869,0.8385869565217391,0.1201086956521739,0.0581521739130434,-0.0510869565217391,0.1092391304347825,0.04239130434782609,0.0615133369624387,0.0468154599891126,0.1083287969515513,0.0293877572780051
kid,0.0273096337920854,0.031763417305586,0.283695652173913,0.2010869565217391,0.8429347826086957,0.1402173913043478,0.0869565217391304,-0.0695652173913043,0.1565217391304347,0.0896739130434783,0.0685154975530179,0.030995106035889,0.0995106035889069,0.0522102718218079
man,0.0444490131578946,0.0515350877192981,0.3168478260869565,0.2304347826086956,0.8010869565217391,0.1375,-0.0239130434782608,0.046195652173913,0.0701086956521738,0.1369565217391302,0.0572207084468664,0.0604904632152588,0.11771117166212519,0.015970148811200402
woman,0.0428179824561403,0.0482456140350877,0.3038043478260869,0.2380434782608695,0.8048913043478261,0.1125,0.0396739130434782,-0.0141304347826086,0.0538043478260868,0.013043478260869604,0.05930359085963,0.0609357997823721,0.1202393906420021,0.01849836779107731
elder,0.045407519405686,0.0514786418400876,0.3141304347826086,0.2326086956521739,0.8173913043478261,0.1179347826086956,-0.0918478260869565,0.1103260869565217,0.2021739130434782,0.2690217391304346,0.0413043478260869,0.0706521739130434,0.1119565217391303,0.014657945782277505
