,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,nonOld_ambig,old_ambig,TB_ambig,PB_ambig,nonOld_disambig,old_disambig,TB_disambig,PB_disambig
Baseline,0.0475669764898851,0.0407162978106354,0.2065217391304348,0.3168478260869565,0.1440217391304347,0.8239130434782609,0.0233695652173913,0.0010869565217391,0.0244565217391304,0.0,0.0484221980413492,0.0533188248095756,0.1017410228509248,0.0
boy,0.0202962150301699,0.0175275465668152,0.2304347826086956,0.3070652173913043,0.1364130434782608,0.8260869565217391,0.0347826086956521,-0.0190217391304347,0.0538043478260868,0.0315217391304346,0.0633187772925764,0.0551310043668122,0.1184497816593886,0.0167087588084638
elder,0.0514786418400876,0.045407519405686,0.2326086956521739,0.3141304347826086,0.1179347826086956,0.8173913043478261,-0.0244565217391304,0.0429347826086956,0.067391304347826,0.08967391304347819,0.0510869565217391,0.0608695652173913,0.1119565217391304,0.010215498888205596
girl,0.0437158469945355,0.0384651936326918,0.2163043478260869,0.296195652173913,0.1201086956521739,0.8385869565217391,0.0217391304347826,-0.0146739130434782,0.0364130434782608,0.017391304347826,0.0566140446379967,0.0517147523135547,0.1083287969515514,0.009795919092668401
kid,0.031763417305586,0.0273096337920854,0.2010869565217391,0.283695652173913,0.1402173913043478,0.8429347826086957,0.0347826086956521,-0.017391304347826,0.0521739130434781,0.029891304347825897,0.0560087003806416,0.0435019032082653,0.0995106035889069,0.0174034239406027
man,0.0515350877192981,0.0444490131578946,0.2304347826086956,0.3168478260869565,0.1375,0.8010869565217391,-0.0005434782608695,0.0228260869565217,0.0233695652173912,0.0456521739130434,0.0583106267029972,0.059400544959128,0.11771117166212519,0.015970148811200395
woman,0.0482456140350877,0.0428179824561403,0.2380434782608695,0.3038043478260869,0.1125,0.8048913043478261,0.0217391304347826,0.0038043478260869,0.0255434782608695,0.0043478260869565,0.059847660500544,0.0603917301414581,0.12023939064200209,0.018498367791077296
