,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,straight_polarity_amb,gay_polarity_amb,lesbian_polarity_amb,bisexual_polarity_amb,pansexual_polarity_amb,TB_polarity_amb,PB_polarity_amb,straight_polarity_dis,gay_polarity_dis,lesbian_polarity_dis,bisexual_polarity_dis,pansexual_polarity_dis,TB_polarity_dis,PB_polarity_dis,straight_amount_amb,gay_amount_amb,lesbian_amount_amb,bisexual_amount_amb,pansexual_amount_amb,TB_amount_amb,PB_amount_amb,straight_amount_dis,gay_amount_dis,lesbian_amount_dis,bisexual_amount_dis,pansexual_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,-0.0256596465746792,-0.0522875816993464,0.0046296296296296,0.0462962962962963,0.5092592592592593,0.3935185185185185,0.0,0.0,-0.0258620689655172,-0.0458333333333333,0.0666666666666666,-0.0425531914893617,0.0714285714285714,0.050468766376690045,0.0,-0.0258620689655172,0.0125,-0.0111111111111111,-0.0106382978723404,0.0285714285714285,0.01773658130407944,0.0,0.4913793103448275,0.4875,0.5,0.4574468085106383,0.5285714285714286,0.49297950948537883,0.0,0.3189655172413793,0.3458333333333333,0.3,0.2978723404255319,0.3,0.31253423820004894,0.0
straight,-0.0357113721651166,-0.0748898678414097,0.0092592592592592,-0.0462962962962962,0.5231481481481481,0.2962962962962963,-0.010051725590437398,-0.022602286142063305,0.0,0.0208333333333333,-0.0333333333333333,0.0585106382978723,-0.0714285714285714,0.03682117527862206,0.08728994165531209,-0.0172413793103448,0.0125,-0.0055555555555555,0.0159574468085106,-0.0214285714285714,0.01453659062059646,0.018154397978315782,0.5,0.4958333333333333,0.4555555555555555,0.4627659574468085,0.4714285714285714,0.4771166835528538,0.024772094702395532,0.3275862068965517,0.1875,0.2722222222222222,0.2074468085106383,0.1928571428571428,0.237522476097311,0.07846003796480687
gay,-0.0204565030146425,-0.0387596899224805,0.0092592592592593,0.074074074074074,0.4722222222222222,0.3425925925925926,0.005203143560036701,0.013527891776865898,-0.0603448275862069,-0.0041666666666666,-0.0333333333333333,0.0106382978723404,0.0857142857142857,0.03883948223456658,0.04872532578695453,0.0,-0.025,0.0277777777777777,-0.0212765957446808,0.0357142857142857,0.02195373184734884,0.02400642257392072,0.5775862068965517,0.5541666666666667,0.5333333333333333,0.4893617021276595,0.4857142857142857,0.5280324389476994,0.052195786605177666,0.2586206896551724,0.2833333333333333,0.2388888888888889,0.2127659574468085,0.2785714285714286,0.25443605957912635,0.05809817862092256
lesbian,-0.0176504629629629,-0.03125,-0.0138888888888888,0.0185185185185184,0.4351851851851852,0.3379629629629629,0.008009183611716302,0.0210375816993464,-0.0517241379310344,0.0125,0.05,-0.0372340425531914,0.0071428571428571,0.03172020752541658,0.03409338643748034,0.0344827586206896,0.0041666666666666,-0.0166666666666666,-0.0053191489361702,-0.0071428571428571,0.01355561960661002,0.023053430225110298,0.5689655172413793,0.5958333333333333,0.55,0.5585106382978723,0.5357142857142857,0.5618047549173741,0.06882524543199527,0.2241379310344827,0.3125,0.2166666666666666,0.2393617021276596,0.25,0.24853325996576175,0.06400097823428712
bisexual,0.0236697965571204,0.0422535211267605,0.0,-0.0231481481481481,0.4398148148148148,0.349537037037037,0.0493294431317996,0.0945411028261069,-0.0172413793103448,0.0,-0.0833333333333333,0.0531914893617021,0.05,0.040753240401076044,0.06432545505362816,-0.0086206896551724,0.0041666666666666,-0.0166666666666666,-0.026595744680851,0.0571428571428571,0.02263852496244274,0.01513182871583458,0.5344827586206896,0.5666666666666667,0.5722222222222222,0.5638297872340425,0.55,0.5574402869487243,0.06446077746334533,0.3362068965517241,0.3125,0.2833333333333333,0.324468085106383,0.2857142857142857,0.30844452014114526,0.02162456765538203
pansexual,-0.0305854241338112,-0.0516129032258064,-0.037037037037037,-0.0138888888888888,0.4074074074074074,0.4050925925925926,-0.004925777559132,0.0006746784735399969,-0.1551724137931034,-0.05,-0.0388888888888888,0.0585106382978723,0.1857142857142857,0.09765724533883005,0.09087642222455132,-0.0172413793103448,0.0458333333333333,0.0111111111111111,-0.0372340425531914,-0.0285714285714285,0.027998258975881818,0.029582969406887177,0.6551724137931034,0.625,0.5388888888888889,0.5478723404255319,0.6142857142857143,0.5962438714786477,0.10326436199326883,0.3448275862068966,0.3125,0.3,0.2925531914893617,0.3285714285714285,0.3156904412535374,0.018617195961289867
