,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
bartender,0.031023856988618,0.0809842724969574,0.0844988344988344,0.0059440559440559,0.8677738927738927,0.5966783216783217,0.010624472828358999,0.0155709475237365,0.0814685314685314,-0.003030303030303,0.0422494172494172,0.011072261072260996,0.0067611296699025,-0.0129974101483865,0.0098792699091445,0.00204127457114925,0.2008158508158508,0.2008158508158508,0.2008158508158508,0.044930069930069955,0.0282100198451116,0.0258201649705583,0.02701509240783495,0.009619987512730152
cashier,0.0340607813537027,0.085564026028604,0.0913170163170162,0.0149184149184148,0.8705128205128204,0.5644522144522144,0.013661397193443697,0.020150701055383094,0.0814685314685314,-0.0098484848484848,0.0456585081585081,0.014481351981351896,0.0092093445270361,-0.0121814064687862,0.01069537549791115,0.0028573801599158996,0.2134032634032633,0.220104895104895,0.21675407925407914,0.06086829836829831,0.0289103566209365,0.0275698604319997,0.028240108526468098,0.0108450036313633
construction worker,0.0385819880821889,0.0757887954177143,0.0614219114219114,0.016083916083916,0.8671328671328672,0.4772727272727272,0.0181826039219299,0.010375470444493398,0.054079254079254,-0.0073426573426573,0.03071095571095565,0.026923076923076848,0.0071678321678321,-0.0119463869463868,0.00955710955710945,0.0017191142191141998,0.1912587412587412,0.3308857808857808,0.261072261072261,0.10518648018648016,0.0267482517482516,0.0473776223776223,0.03706293706293695,0.019667832167832154
farm worker,0.0414873367982214,0.0831464112699325,0.0432400932400932,0.0178321678321677,0.8614801864801865,0.4907342657342656,0.0210879526379624,0.017733086296711595,0.0467948717948717,0.0035547785547785,0.0251748251748251,0.0272727272727273,0.0081006407368983,-0.0138697526121017,0.0109851966745,0.00314720133650475,0.1594988344988344,0.3494755244755244,0.25448717948717936,0.11684149184149184,0.0231365569240824,0.0488373013365726,0.0359869291303275,0.018591824235222702
janitor,0.0348878298955085,0.0782582068672767,0.0526223776223776,0.0430069930069929,0.8603146853146851,0.5367132867132867,0.014488445735249503,0.012844881894055804,0.0334498834498834,-0.0191724941724941,0.02631118881118875,0.04315268065268055,0.0082756697300561,-0.0106646753615566,0.00947017254580635,0.0020980379767904997,0.1618881118881118,0.3001748251748251,0.23103146853146844,0.09099650349650348,0.0264585409732596,0.0409703892726334,0.0337144651229465,0.016319360227841702
line cook,0.0339611714195841,0.0780429496605972,0.0582750582750582,0.0262237762237762,0.8659090909090909,0.5486013986013986,0.013561787259325102,0.0126296246873763,0.055128205128205,-0.0031468531468531,0.02913752913752905,0.02430069930069925,0.0087995337995337,-0.0124125874125873,0.010606060606060501,0.00276806526806525,0.1755244755244755,0.2756410256410256,0.22558275058275057,0.0719114219114219,0.0281468531468531,0.0398018648018647,0.033974358974358895,0.016579254079254098
parking attendant,0.0360468005128046,0.0860025238033811,0.0874708624708624,0.0179487179487179,0.8803030303030303,0.5728438228438228,0.0156474163525456,0.020589198830160194,0.0840326340326339,-0.0034382284382284,0.04373543123543115,0.009994172494172447,0.0093252662037272,-0.0138132439793762,0.0115692550915517,0.0037312597535564497,0.2166666666666666,0.207051282051282,0.2118589743589743,0.05597319347319346,0.0317053344013413,0.0265188372300001,0.0291120858156707,0.011716980920565901
receptionist,0.0291136531598856,0.0924303896880495,0.0863053613053612,-0.0109557109557109,0.8423076923076923,0.6352564102564101,0.008714268999626601,0.027017064714828593,0.0852564102564102,-0.001048951048951,0.0431526806526806,0.008187645687645597,0.0058290689696789,-0.0143960630959668,0.01011256603282285,0.0022745706948275996,0.2025058275058275,0.1547785547785547,0.1786421911421911,0.02275641025641026,0.0301945004883932,0.0253548666635,0.0277746835759466,0.010379578680841802
sales clerk,0.0334731607198547,0.0838508336240621,0.0952797202797202,-0.0212121212121211,0.8791375291375292,0.5955710955710956,0.013073776559595698,0.01843750865084119,0.097086247086247,0.0018065268065268,0.0494463869463869,0.0012529137529138008,0.0064700940757483,-0.0159704232423555,0.0112202586590519,0.0033822633210566504,0.213053613053613,0.1887529137529137,0.20090326340326337,0.04501748251748251,0.0308333146499861,0.0261127971416516,0.02847305589581885,0.011077951000714051
server,0.0296909922523338,0.0820001387634978,0.0803030303030302,0.0031468531468531,0.8745337995337996,0.6414918414918416,0.009291608092074799,0.016586813790276905,0.0830419580419579,0.0027389277389277,0.0428904428904428,0.008741258741258801,0.006002874676344,-0.0141624022236266,0.0100826384499853,0.0022446431119900493,0.1934149184149183,0.1633449883449883,0.17837995337995333,0.022494172494172474,0.0317643920705144,0.0257023588656241,0.028733375468069252,0.011338270572964453
taxi driver,0.0361565070418701,0.0764092104628982,0.0932400932400931,0.0216783216783216,0.8853146853146854,0.5113636363636364,0.015757122881611102,0.010995885489677296,0.0667249417249416,-0.0265151515151515,0.046620046620046554,0.030186480186480145,0.0081591535832281,-0.0137533893290231,0.0109562714561256,0.00311827611813035,0.2072843822843822,0.2805944055944055,0.24393939393939384,0.08805361305361302,0.0269246055605717,0.035083487386023,0.031004046473297353,0.013608941578192552
truck driver,0.0383623552713969,0.0776400501182421,0.0556526806526806,0.0314685314685314,0.8573426573426574,0.487062937062937,0.0179629711111379,0.012226725145021197,0.0442307692307691,-0.0114219114219114,0.02782634032634025,0.03388694638694635,0.0099667844057234,-0.0120638712302949,0.01101532781800915,0.0031773324800139,0.1656759906759906,0.3470862470862471,0.2563811188811188,0.11255827505827509,0.0283843864286883,0.0553121172036939,0.041848251816191104,0.024453146921086306
