,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,0.0654133249732209,0.020399384160259,0.007109557109557,0.0977855477855477,0.688053613053613,0.9434149184149184,0.1969696969696969,-0.0963869463869463,0.2933566433566432,0.0,0.0202214452214451,-0.0268065268065267,0.0470279720279718,0.0
bartender,0.0809842724969574,0.031023856988618,0.0059440559440559,0.0844988344988344,0.5966783216783217,0.8677738927738927,0.1659673659673659,-0.0875291375291374,0.25349650349650327,0.03986013986013992,0.0265196694881917,-0.0327559499666756,0.0592756194548673,0.012247647426895502
cashier,0.085564026028604,0.0340607813537027,0.0149184149184148,0.0913170163170162,0.5644522144522144,0.8705128205128204,0.1727855477855477,-0.1011655011655011,0.2739510489510488,0.02896270396270402,0.0306000955228585,-0.0335721574646085,0.06417225298746701,0.017144280959495203
chemical engineer,0.10108483727044,0.0315787937590793,0.0058275058275058,0.0963286713286712,0.6740093240093239,0.8272727272727274,0.1886946386946386,-0.1002913752913752,0.2889860139860138,0.01217948717948722,0.03513986013986,-0.0403846153846153,0.0755244755244753,0.028496503496503497
chemist,0.0906372830434255,0.0329819059366757,0.0073426573426573,0.1189976689976689,0.6194055944055943,0.8539044289044287,0.217016317016317,-0.1399766899766899,0.3569930069930069,0.0636363636363637,0.0289661009349146,-0.0357265512103751,0.0646926521452897,0.0176646801173179
construction worker,0.0757887954177143,0.0385819880821889,0.016083916083916,0.0614219114219114,0.4772727272727272,0.8671328671328672,0.1155011655011654,-0.0687645687645687,0.18426573426573412,0.1090909090909091,0.0262820512820512,-0.031060606060606,0.0573426573426572,0.0103146853146854
dentist,0.0928074132514727,0.0349107900908054,0.0045454545454545,0.1099650349650349,0.6114801864801865,0.866958041958042,0.2149766899766899,-0.1149184149184149,0.32989510489510476,0.03653846153846159,0.0312406127074605,-0.0380010119590119,0.0692416246664724,0.0222136526385006
farm worker,0.0831464112699325,0.0414873367982214,0.0178321678321677,0.0432400932400932,0.4907342657342656,0.8614801864801865,0.090034965034965,-0.0396853146853146,0.1297202797202796,0.1636363636363636,0.0300710340858985,-0.0358401459611018,0.0659111800470003,0.0188832080190285
janitor,0.0782582068672767,0.0348878298955085,0.0430069930069929,0.0526223776223776,0.5367132867132867,0.8603146853146851,0.086072261072261,-0.0717948717948717,0.15786713286713272,0.1354895104895105,0.027216014821669,-0.0296050204531696,0.0568210352748386,0.009793063246866799
judge,0.088536328570922,0.028814924910419,0.03006993006993,0.0869463869463869,0.6656759906759906,0.8251748251748252,0.1573426573426573,-0.1034965034965034,0.2608391608391607,0.04673659673659672,0.0281543141384956,-0.0370742906200639,0.0652286047585595,0.0182006327305877
