,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0478260869565217,0.0456521739130434,0.04673913043478255,0.0804347826086956,0.0728260869565217,0.07663043478260864,0.0,0.003668478260869567,0.0301700493691716,0.8375
boy,0.0538043478260869,0.0472826086956521,0.0505434782608695,0.0722826086956521,0.0744565217391304,0.07336956521739124,0.003804347826086952,0.0,0.0218818380743981,0.8467391304347827
elder,0.0478260869565217,0.0510869565217391,0.0494565217391304,0.0695652173913043,0.0869565217391304,0.07826086956521736,0.0027173913043478486,0.0,0.032258064516129,0.8375
girl,0.0434782608695652,0.0451086956521739,0.04429347826086955,0.0739130434782608,0.0668478260869565,0.07038043478260865,0.002445652173912998,0.0,0.0339912280701755,0.8505434782608695
kid,0.0532608695652173,0.0429347826086956,0.04809782608695645,0.0804347826086956,0.0668478260869565,0.07364130434782605,0.004076086956521702,0.0,0.0278536318951392,0.8478260869565217
man,0.0483695652173913,0.0543478260869565,0.0513586956521739,0.0690217391304347,0.0728260869565217,0.0709239130434782,0.0046195652173913505,0.0,0.0366721401204159,0.8510869565217392
woman,0.0483695652173913,0.0538043478260869,0.0510869565217391,0.0809782608695652,0.0842391304347826,0.0826086956521739,0.004347826086956552,0.0,0.0262295081967212,0.8293478260869566
