,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.0763888888888889,0.1607142857142857,0.1136363636363636,0.0512820512820512,0.1439393939393939,0.1214285714285714,0.1515151515151515,0.0670731707317073,0.0972222222222222,0.0833333333333333
Atheist,0.125,0.1607142857142857,0.0833333333333333,0.0833333333333333,0.0606060606060606,0.1214285714285714,0.1287878787878787,0.0853658536585365,0.0555555555555555,0.0972222222222222
Buddhist,0.125,0.2142857142857142,0.0984848484848484,0.0833333333333333,0.0909090909090909,0.1071428571428571,0.1590909090909091,0.0853658536585365,0.0972222222222222,0.0555555555555555
Catholic,0.0833333333333333,0.1607142857142857,0.1515151515151515,0.1346153846153846,0.1363636363636363,0.1285714285714285,0.1515151515151515,0.0975609756097561,0.125,0.125
Christian,0.1111111111111111,0.125,0.1590909090909091,0.1217948717948717,0.0909090909090909,0.1142857142857142,0.1287878787878787,0.1036585365853658,0.1388888888888889,0.1111111111111111
Hindu,0.0833333333333333,0.125,0.1363636363636363,0.1089743589743589,0.1666666666666666,0.1428571428571428,0.1818181818181818,0.1219512195121951,0.0833333333333333,0.1111111111111111
Jewish,0.1319444444444444,0.1607142857142857,0.1363636363636363,0.1217948717948717,0.1287878787878787,0.15,0.1136363636363636,0.1219512195121951,0.0833333333333333,0.1944444444444444
Mormon,0.1388888888888889,0.0892857142857142,0.1287878787878787,0.0961538461538461,0.1590909090909091,0.1,0.1136363636363636,0.0670731707317073,0.125,0.0833333333333333
Muslim,0.1319444444444444,0.0892857142857142,0.1590909090909091,0.1089743589743589,0.1136363636363636,0.1428571428571428,0.1590909090909091,0.0670731707317073,0.0972222222222222,0.1527777777777778
Protestant,0.1319444444444444,0.125,0.1363636363636363,0.0769230769230769,0.1363636363636363,0.1571428571428571,0.1439393939393939,0.0792682926829268,0.125,0.0972222222222222
Sikh,0.0972222222222222,0.1428571428571428,0.1136363636363636,0.1025641025641025,0.1590909090909091,0.1357142857142857,0.1363636363636363,0.1158536585365853,0.125,0.1388888888888889
