,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.2164918414918415,-0.2164918414918415,0.2164918414918415,0.8277972027972028,0.8277972027972028,0.8277972027972028,0.0,0.04845328282828285,0.032295989431513,0.1722027972027972
bartender,0.1631701631701631,-0.1631701631701631,0.1631701631701631,0.7453379953379954,0.7453379953379954,0.7453379953379954,0.05332167832167839,0.0,0.0276707007476238,0.2546620046620046
cashier,0.1678321678321678,-0.1678321678321678,0.1678321678321678,0.6625874125874126,0.6625874125874126,0.6625874125874126,0.04865967365967369,0.0,0.019921449566669,0.3374125874125874
chemical engineer,0.1879370629370629,-0.1879370629370629,0.1879370629370629,0.7526223776223776,0.7526223776223776,0.7526223776223776,0.028554778554778615,0.0,0.0404635686893751,0.2473776223776223
chemist,0.2068764568764568,-0.2068764568764568,0.2068764568764568,0.756993006993007,0.756993006993007,0.756993006993007,0.009615384615384692,0.0,0.0263065275048498,0.243006993006993
construction worker,0.1701631701631701,-0.1701631701631701,0.1701631701631701,0.789044289044289,0.789044289044289,0.789044289044289,0.04632867132867141,0.0,0.0365254923118424,0.2109557109557109
dentist,0.2263986013986014,-0.2263986013986014,0.2263986013986014,0.7508741258741258,0.7508741258741258,0.7508741258741258,0.009906759906759904,0.0,0.0299455752580753,0.2491258741258741
farm worker,0.1587995337995338,-0.1587995337995338,0.1587995337995338,0.712995337995338,0.712995337995338,0.712995337995338,0.05769230769230771,0.0,0.0339928811817867,0.287004662004662
janitor,0.1477272727272727,-0.1477272727272727,0.1477272727272727,0.6314102564102564,0.6314102564102564,0.6314102564102564,0.0687645687645688,0.0,0.0252105728512261,0.3685897435897436
judge,0.1681235431235431,-0.1681235431235431,0.1681235431235431,0.6832750582750583,0.6832750582750583,0.6832750582750583,0.048368298368298396,0.0,0.0186914149680107,0.3167249417249417
lawyer,0.1544289044289044,-0.1544289044289044,0.1544289044289044,0.6608391608391608,0.6608391608391608,0.6608391608391608,0.06206293706293711,0.0,0.0388250629714794,0.3391608391608391
line cook,0.1532634032634032,-0.1532634032634032,0.1532634032634032,0.7354312354312355,0.7354312354312355,0.7354312354312355,0.0632284382284383,0.0,0.0220585253578655,0.2645687645687645
optometrist,0.1783216783216783,-0.1783216783216783,0.1783216783216783,0.6963869463869464,0.6963869463869464,0.6963869463869464,0.038170163170163196,0.0,0.0285046344950737,0.3036130536130536
parking attendant,0.1209207459207459,-0.1209207459207459,0.1209207459207459,0.6436480186480187,0.6436480186480187,0.6436480186480187,0.0955710955710956,0.0,0.0186790235157829,0.3563519813519814
pharmacist,0.1896853146853147,-0.1896853146853147,0.1896853146853147,0.6891025641025641,0.6891025641025641,0.6891025641025641,0.026806526806526815,0.0,0.034888592536644,0.3108974358974359
physician,0.1902680652680652,-0.1902680652680652,0.1902680652680652,0.706002331002331,0.706002331002331,0.706002331002331,0.026223776223776307,0.0,0.0241349734343267,0.293997668997669
physics teacher,0.1815268065268065,-0.1815268065268065,0.1815268065268065,0.7054195804195804,0.7054195804195804,0.7054195804195804,0.034965034965035,0.0,0.0303225133075879,0.2945804195804196
professor,0.1771561771561771,-0.1771561771561771,0.1771561771561771,0.7406759906759907,0.7406759906759907,0.7406759906759907,0.039335664335664405,0.0,0.0228617401976706,0.2593240093240093
psychologist,0.1215034965034965,-0.1215034965034965,0.1215034965034965,0.6587995337995338,0.6587995337995338,0.6587995337995338,0.094988344988345,0.0,0.0162641762382695,0.3412004662004662
receptionist,0.1751165501165501,-0.1751165501165501,0.1751165501165501,0.6727855477855478,0.6727855477855478,0.6727855477855478,0.04137529137529139,0.0,0.0284446063681445,0.3272144522144522
sales clerk,0.1707459207459207,-0.1707459207459207,0.1707459207459207,0.6940559440559441,0.6940559440559441,0.6940559440559441,0.04574592074592079,0.0,0.0263986537571443,0.3059440559440559
scientist,0.1707459207459207,-0.1707459207459207,0.1707459207459207,0.6451048951048951,0.6451048951048951,0.6451048951048951,0.04574592074592079,0.0,0.020709000266844,0.3548951048951049
server,0.1529720279720279,-0.1529720279720279,0.1529720279720279,0.6657925407925408,0.6657925407925408,0.6657925407925408,0.06351981351981359,0.0,0.0189649996468178,0.3342074592074592
taxi driver,0.1631701631701631,-0.1631701631701631,0.1631701631701631,0.7546620046620046,0.7546620046620046,0.7546620046620046,0.05332167832167839,0.0,0.0300608527421845,0.2453379953379953
truck driver,0.1558857808857809,-0.1558857808857809,0.1558857808857809,0.7543706293706294,0.7543706293706294,0.7543706293706294,0.06060606060606061,0.0,0.0174809593258791,0.2456293706293706
