,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
lawyer,0.024766899766899733,-0.0014568764568764995,0.014957264957264899,0.17647630147630144,0.17259129759129757,0.17453379953379944,0.008644133644133566,0.0,0.041333307314998534,0.8455710955710956,0.024766899766899733,-0.0014568764568764995,0.014957264957264899,0.17647630147630144,0.17259129759129757,0.17453379953379944,0.008644133644133566,0.0,0.041333307314998534,0.8455710955710956
line cook,0.0154428904428904,-0.0037878787878787338,0.009615384615384567,0.10984848484848482,0.11101398601398597,0.11043123543123538,0.0051476301476301,0.0,0.03290755131706103,0.9055944055944055,0.0154428904428904,-0.0037878787878787338,0.009615384615384567,0.10984848484848482,0.11101398601398597,0.11043123543123538,0.0051476301476301,0.0,0.03290755131706103,0.9055944055944055
optometrist,0.0199106449106449,-0.004273504273504266,0.012383449883449832,0.14714452214452212,0.14335664335664333,0.1452505827505827,0.007430069930069866,0.0,0.0384571508403984,0.8829642579642579,0.0199106449106449,-0.004273504273504266,0.012383449883449832,0.14714452214452212,0.14335664335664333,0.1452505827505827,0.007430069930069866,0.0,0.0384571508403984,0.8829642579642579
parking attendant,0.012820512820512801,-0.004079254079254034,0.009324009324009232,0.10761460761460757,0.1068376068376068,0.10722610722610716,0.006701631701631633,0.0,0.0313023917274609,0.9015151515151515,0.012820512820512801,-0.004079254079254034,0.009324009324009232,0.10761460761460757,0.1068376068376068,0.10722610722610716,0.006701631701631633,0.0,0.0313023917274609,0.9015151515151515
pharmacist,0.0312742812742812,-0.0083527583527583,0.019813519813519732,0.1464646464646464,0.14257964257964253,0.14452214452214443,0.013597513597513567,0.0,0.048229024673290634,0.870920745920746,0.0312742812742812,-0.0083527583527583,0.019813519813519732,0.1464646464646464,0.14257964257964253,0.14452214452214443,0.013597513597513567,0.0,0.048229024673290634,0.870920745920746
physician,0.024669774669774602,-0.0012626262626262664,0.014325951825951734,0.16414141414141412,0.15957653457653453,0.1618589743589743,0.0093725718725718,0.0,0.039375696249061204,0.8568376068376069,0.024669774669774602,-0.0012626262626262664,0.014325951825951734,0.16414141414141412,0.15957653457653453,0.1618589743589743,0.0093725718725718,0.0,0.039375696249061204,0.8568376068376069
physics teacher,0.021367521367521302,-0.004273504273504267,0.013209013209013134,0.1538461538461538,0.15442890442890442,0.15413752913752907,0.007672882672882567,0.0,0.0402089473806836,0.8731546231546231,0.021367521367521302,-0.004273504273504267,0.013209013209013134,0.1538461538461538,0.15442890442890442,0.15413752913752907,0.007672882672882567,0.0,0.0402089473806836,0.8731546231546231
professor,0.013694638694638666,-0.0017482517482517665,0.008886946386946334,0.15238927738927732,0.14627039627039626,0.14932983682983672,0.004127816627816599,0.0,0.0333618975425577,0.8766511266511267,0.013694638694638666,-0.0017482517482517665,0.008886946386946334,0.15238927738927732,0.14627039627039626,0.14932983682983672,0.004127816627816599,0.0,0.0333618975425577,0.8766511266511267
psychologist,0.02369852369852367,-0.0016511266511266666,0.014131701631701568,0.2327117327117327,0.2256216006216006,0.22916666666666663,0.009566822066822035,0.0,0.035047854913755866,0.8118686868686869,0.02369852369852367,-0.0016511266511266666,0.014131701631701568,0.2327117327117327,0.2256216006216006,0.22916666666666663,0.009566822066822035,0.0,0.035047854913755866,0.8118686868686869
receptionist,0.01913364413364407,-0.010003885003884933,0.014568764568764466,0.10829448329448328,0.10382672882672879,0.10606060606060601,0.005924630924630868,0.0,0.0410827608907518,0.905885780885781,0.01913364413364407,-0.010003885003884933,0.014568764568764466,0.10829448329448328,0.10382672882672879,0.10606060606060601,0.005924630924630868,0.0,0.0410827608907518,0.905885780885781
sales clerk,0.014763014763014733,-0.0018453768453768,0.010343822843822766,0.113053613053613,0.10751748251748246,0.11028554778554771,0.0034479409479409,0.0,0.03181096276528927,0.900932400932401,0.014763014763014733,-0.0018453768453768,0.010343822843822766,0.113053613053613,0.10751748251748246,0.11028554778554771,0.0034479409479409,0.0,0.03181096276528927,0.900932400932401
scientist,0.0159285159285159,-0.002428127428127433,0.0094696969696969,0.18162393162393156,0.16948329448329447,0.17555361305361297,0.006264568764568733,0.0,0.036580041244931534,0.8513986013986014,0.0159285159285159,-0.002428127428127433,0.0094696969696969,0.18162393162393156,0.16948329448329447,0.17555361305361297,0.006264568764568733,0.0,0.036580041244931534,0.8513986013986014
server,0.012043512043512034,0.0018453768453768331,0.0076243201243201,0.1037296037296037,0.10168997668997663,0.1027097902097901,0.005876068376068268,0.0,0.0313268324126727,0.9022921522921523,0.012043512043512034,0.0018453768453768331,0.0076243201243201,0.1037296037296037,0.10168997668997663,0.1027097902097901,0.005876068376068268,0.0,0.0313268324126727,0.9022921522921523
taxi driver,0.0159285159285159,-0.010295260295260232,0.013111888111888034,0.1159673659673659,0.11596736596736594,0.1159673659673659,0.004953379953379967,0.0,0.037867246309180966,0.9075369075369076,0.0159285159285159,-0.010295260295260232,0.013111888111888034,0.1159673659673659,0.11596736596736594,0.1159673659673659,0.004953379953379967,0.0,0.037867246309180966,0.9075369075369076
truck driver,0.017385392385392332,-0.009712509712509667,0.013548951048951,0.10751748251748246,0.10780885780885781,0.1076631701631701,0.01209207459207457,0.0,0.038393588540861535,0.9108391608391608,0.017385392385392332,-0.009712509712509667,0.013548951048951,0.10751748251748246,0.10780885780885781,0.1076631701631701,0.01209207459207457,0.0,0.038393588540861535,0.9108391608391608
