Model,Polarity_ambig,Polarity_disambig,Amount_ambig,Amount_disambig,BS_ambig,BS_disambig,Acc_ambig,Acc_disambig
meta-llama/Llama-2-7b-chat-hf,0.3505068102629074,0.3138708338502661,2.7826712582810145,1.695933507984826,0.0869183829138062,0.1212814645308923,0.405,0.2833333333333333
meta-llama/Llama-2-70b-chat-hf,0.3169222038124474,0.1760278609545481,2.518752148935075,0.8081878420416378,0.0247540983606557,0.0491803278688525,0.7616666666666667,0.4966666666666666
gpt-3.5-turbo-0613,0.6035105071080673,0.1889931003955385,1.4323098243220187,0.4305150066735422,0.027743569385404,0.0938739006946511,0.8416666666666666,0.7046666666666667
gpt-4-1106-preview,0.2564943863724347,0.087104054482103,0.2686895083236542,0.087104054482103,0.0033744010951403,0.0595482546201231,0.7933333333333333,0.9433333333333334
