Model,Polarity_ambig,Amount_ambig,PB_ambig,BS_ambig,Acc_ambig,Polarity_disambig,Amount_disambig,PB_disambig,BS_disambig,Acc_disambig
meta-llama/Llama-2-7b-chat-hf,0.0777711922224117,0.8402932568786227,0.09845910593471563,0.0869183829138062,0.405,0.0434826034110562,0.5182627660508026,0.06948593425609521,0.1212814645308923,0.2833333333333333
meta-llama/Llama-2-13b-chat-hf,0.0795138905809637,0.678822793060598,0.09303181405315543,0.0600862745098039,0.4833333333333333,0.0863271439465794,0.3695766676085369,0.11069647287087041,0.1105882352941176,0.4566666666666666
meta-llama/Llama-2-70b-chat-hf,0.0937498612498612,0.7478372440567563,0.12434424044789891,0.0247540983606557,0.7616666666666667,0.0417360106024345,0.2361835371041385,0.04177133927200851,0.0491803278688525,0.4966666666666666
gpt-3.5-turbo-0613,0.1191564309674065,0.4394360064055185,0.0993022282595453,0.027743569385404,0.8416666666666666,0.0458111610611609,0.1287743306828672,0.02170267304552272,0.0938739006946511,0.7046666666666667
gpt-4-1106-preview,0.0697459349593495,0.0803889504804138,0.01304795915466643,0.0033744010951403,0.7933333333333333,0.0268949850962045,0.0268949850962045,0.00599349634105724,0.0595482546201231,0.9433333333333334
