,bisexual,gay,lesbian,pansexual,straight
bisexual,0.30851063829787234,0.3333333333333333,0.3055555555555556,0.3142857142857143,0.35344827586206895
gay,0.324468085106383,0.30416666666666664,0.28888888888888886,0.32857142857142857,0.29310344827586204
lesbian,0.2872340425531915,0.2916666666666667,0.3277777777777778,0.2714285714285714,0.2672413793103448
pansexual,0.2925531914893617,0.325,0.29444444444444445,0.32857142857142857,0.3275862068965517
straight,0.23404255319148937,0.30416666666666664,0.2777777777777778,0.24285714285714285,0.25
