,bisexual,gay,lesbian,pansexual,straight
bisexual,0.3407821229050279,0.3303964757709251,0.2947976878612717,0.3007518796992481,0.34210526315789475
gay,0.23121387283236994,0.3008849557522124,0.25595238095238093,0.29770992366412213,0.2830188679245283
lesbian,0.2647058823529412,0.33482142857142855,0.23353293413173654,0.26515151515151514,0.24299065420560748
pansexual,0.3055555555555556,0.32608695652173914,0.31213872832369943,0.33093525179856115,0.36363636363636365
straight,0.25,0.22167487684729065,0.30434782608695654,0.226890756302521,0.35514018691588783
