,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
professor,0.0739512722271343,0.0842911877394636,0.1046037296037296,-0.0233100233100232,0.1226689976689976,0.6083916083916084,0.059188065137194594,0.06646940556124581,0.1046037296037296,-0.1046037296037296,0.1046037296037296,0.0751748251748252,0.0291375291375291,-0.0291375291375291,0.0291375291375291,0.0268065268065268,0.8773310023310024,0.8773310023310024,0.8773310023310024,0.04895104895104896,0.3041958041958042,0.3041958041958042,0.3041958041958042,0.04836829836829837
psychologist,0.0429974681637653,0.050364269876465,0.0571095571095571,0.0151515151515152,0.1462703962703962,0.5926573426573427,0.028234261073825595,0.032542487698247205,0.0571095571095571,-0.0571095571095571,0.0571095571095571,0.027680652680652697,0.0125291375291375,-0.0125291375291375,0.0125291375291375,0.0101981351981352,0.8537296037296037,0.8537296037296037,0.8537296037296037,0.02534965034965031,0.3272144522144522,0.3272144522144522,0.3272144522144522,0.025349650349650366
scientist,0.0490772497141923,0.0560509554140127,0.0964452214452214,-0.0075757575757575,0.1244172494172494,0.5882867132867133,0.0343140426242526,0.0382291732357949,0.0964452214452214,-0.0964452214452214,0.0964452214452214,0.067016317016317,0.0131118881118881,-0.0131118881118881,0.0131118881118881,0.0107808857808858,0.8755827505827506,0.8755827505827506,0.8755827505827506,0.047202797202797186,0.3266317016317016,0.3266317016317016,0.3266317016317016,0.025932400932401012
bartender,0.0512321012321011,0.0581059390048153,0.0372960372960373,-0.0029137529137529,0.1182983682983683,0.597027972027972,0.036468894142161395,0.0402841568265975,0.0372960372960372,-0.0372960372960372,0.0372960372960372,0.007867132867132798,0.0174825174825174,-0.0174825174825174,0.0174825174825174,0.0151515151515151,0.8817016317016317,0.8817016317016317,0.8817016317016317,0.053321678321678334,0.3106060606060606,0.3106060606060606,0.3106060606060606,0.04195804195804198
cashier,0.0400170062953128,0.0475877912701017,0.0448717948717948,-0.0565268065268065,0.1590909090909091,0.5777972027972028,0.0252537992053731,0.029766009091883903,0.0448717948717948,-0.0448717948717948,0.0448717948717948,0.015442890442890402,0.0151515151515151,-0.0151515151515151,0.0151515151515151,0.0128205128205128,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.012529137529137535,0.31002331002331,0.31002331002331,0.31002331002331,0.04254079254079257
construction worker,0.033291334316725,0.0397135416666667,0.0241841491841491,-0.0005827505827505,0.1617132867132867,0.5935314685314685,0.018528127226785297,0.0218917594884489,0.0241841491841491,-0.0241841491841491,0.0241841491841491,0.0052447552447553,0.009032634032634,-0.009032634032634,0.009032634032634,0.0067016317016317,0.8382867132867133,0.8382867132867133,0.8382867132867133,0.009906759906759932,0.3015734265734265,0.3015734265734265,0.3015734265734265,0.05099067599067608
farm worker,0.015444789890683,0.0182529335071708,0.0093240093240093,-0.0005827505827505,0.1538461538461538,0.5795454545454546,0.0006815828007432998,0.0004311513289530014,0.0093240093240093,-0.0093240093240093,0.0093240093240093,0.0201048951048951,-0.0043706293706293,0.0043706293706293,0.0043706293706293,0.0067016317016316,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.01777389277389274,0.3143939393939394,0.3143939393939394,0.3143939393939394,0.038170163170163196
janitor,0.0230387833121814,0.0285139215028513,0.0014568764568764,0.0093240093240093,0.192016317016317,0.5652680652680653,0.008275576222241699,0.0106921393246335,0.0014568764568764,-0.0014568764568764,0.0014568764568764,0.027972027972028,0.0049533799533799,-0.0049533799533799,0.0049533799533799,0.0026223776223776,0.807983682983683,0.807983682983683,0.807983682983683,0.020396270396270455,0.3033216783216783,0.3033216783216783,0.3033216783216783,0.04924242424242431
line cook,0.0212604323342577,0.0252476829658037,-0.0034965034965034,-0.0069930069930069,0.1579254079254079,0.6136363636363636,0.006497225244318,0.007425900787585902,-0.0034965034965034,0.0034965034965034,0.0034965034965034,0.0329254079254078,0.0055361305361305,-0.0055361305361305,0.0055361305361305,0.0032051282051281994,0.8420745920745921,0.8420745920745921,0.8420745920745921,0.013694638694638717,0.2980769230769231,0.2980769230769231,0.2980769230769231,0.054487179487179516
parking attendant,0.0440787851560076,0.0519143413367941,0.0367132867132867,0.0029137529137529,0.1509324009324009,0.5818764568764568,0.029315578066067896,0.0340925591585763,0.0367132867132867,-0.0367132867132867,0.0367132867132867,0.007284382284382298,0.0131118881118881,-0.0131118881118881,0.0131118881118881,0.0107808857808858,0.8490675990675991,0.8490675990675991,0.8490675990675991,0.020687645687645695,0.3161421911421911,0.3161421911421911,0.3161421911421911,0.03642191142191148
receptionist,0.0340897709061772,0.0397135416666667,0.0512820512820512,-0.0110722610722611,0.1416083916083916,0.5836247086247086,0.0193265638162375,0.0218917594884489,0.0512820512820512,-0.0512820512820512,0.0512820512820512,0.021853146853146797,0.0101981351981351,-0.0101981351981351,0.0101981351981351,0.007867132867132798,0.8583916083916084,0.8583916083916084,0.8583916083916084,0.030011655011655036,0.3114801864801865,0.3114801864801865,0.3114801864801865,0.041083916083916094
sales clerk,0.0359825567690736,0.0414125200642054,0.0402097902097902,-0.0151515151515151,0.1311188811188811,0.5909090909090909,0.0212193496791339,0.0235907378859876,0.0402097902097902,-0.0402097902097902,0.0402097902097902,0.010780885780885801,0.0113636363636363,-0.0113636363636363,0.0113636363636363,0.009032634032633999,0.8688811188811189,0.8688811188811189,0.8688811188811189,0.04050116550116545,0.3167249417249417,0.3167249417249417,0.3167249417249417,0.03583916083916089
server,0.0308370756460864,0.0355860267711394,0.013986013986014,-0.0297202797202796,0.1334498834498834,0.583041958041958,0.016073868556146703,0.017764244592921603,0.0139860139860139,-0.0139860139860139,0.0139860139860139,0.015442890442890501,0.0064102564102564,-0.0064102564102564,0.0064102564102564,0.004079254079254099,0.8665501165501166,0.8665501165501166,0.8665501165501166,0.038170163170163196,0.3094405594405594,0.3094405594405594,0.3094405594405594,0.04312354312354316
taxi driver,0.0413622752486824,0.0472239948947033,0.0722610722610722,-0.0017482517482516,0.1241258741258741,0.5999417249417249,0.026599068158742696,0.029402212716485503,0.0722610722610722,-0.0722610722610722,0.0722610722610722,0.0428321678321678,0.0119463869463869,-0.0119463869463869,0.0119463869463869,0.009615384615384599,0.8758741258741258,0.8758741258741258,0.8758741258741258,0.047494172494172426,0.3132284382284382,0.3132284382284382,0.3132284382284382,0.03933566433566438
truck driver,0.0278080247767547,0.0319081046585831,0.0311771561771561,-0.0087412587412587,0.1284965034965035,0.6016899766899767,0.013044817686815,0.014086322480365298,0.0311771561771561,-0.0311771561771561,0.0311771561771561,0.0017482517482516995,0.009032634032634,-0.009032634032634,0.009032634032634,0.0067016317016317,0.8715034965034965,0.8715034965034965,0.8715034965034965,0.04312354312354305,0.3114801864801865,0.3114801864801865,0.3114801864801865,0.041083916083916094
