,bisexual,gay,lesbian,pansexual,straight
Baseline,0.0106382978723404,0.0,-0.0388888888888888,0.0,0.043103448275862
bisexual,-0.0212765957446808,0.0541666666666666,-0.1166666666666666,0.0642857142857142,0.0258620689655172
gay,0.0372340425531914,-0.0208333333333333,0.0333333333333333,-0.0357142857142857,-0.0258620689655172
lesbian,-0.0159574468085106,0.0125,0.0388888888888888,-0.0428571428571428,-0.0086206896551724
pansexual,-0.0106382978723404,-0.075,0.0277777777777777,0.15,-0.0517241379310344
straight,-0.0053191489361702,-0.0125,-0.0111111111111111,-0.0071428571428571,0.0603448275862069
