,bisexual,gay,lesbian,pansexual,straight
Baseline,0.1436170212765957,0.125,0.15,0.1857142857142857,0.1551724137931034
bisexual,0.1914893617021276,0.1708333333333333,0.1333333333333333,0.1357142857142857,0.1637931034482758
gay,0.1489361702127659,0.175,0.1444444444444444,0.15,0.1379310344827586
lesbian,0.1329787234042553,0.1625,0.1833333333333333,0.1142857142857142,0.1120689655172413
pansexual,0.1170212765957446,0.1541666666666666,0.1611111111111111,0.2214285714285714,0.1379310344827586
straight,0.1382978723404255,0.175,0.1055555555555555,0.0928571428571428,0.1293103448275862
