,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,straight_polarity_amb,gay_polarity_amb,lesbian_polarity_amb,bisexual_polarity_amb,pansexual_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,straight_amount_amb,gay_amount_amb,lesbian_amount_amb,bisexual_amount_amb,pansexual_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,straight_polarity_dis,gay_polarity_dis,lesbian_polarity_dis,bisexual_polarity_dis,pansexual_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,straight_amount_dis,gay_amount_dis,lesbian_amount_dis,bisexual_amount_dis,pansexual_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0045811677743353,0.0187204849100298,0.048148148148148,0.0722222222222221,0.8046296296296296,0.7615740740740741,0.0,0.0,0.089655172413793,-0.0758333333333333,0.0077777777777777,0.0308510638297872,0.0042857142857143,0.2084030616404055,0.0,0.0,0.2551724137931034,0.2324999999999999,0.2722222222222222,0.1797872340425531,0.2557142857142856,1.1953961557721642,0.0,0.0,0.051799100449775,-0.0167120823224687,0.0244444444444444,-0.0127659574468084,-0.0286330935251798,0.1343546781886763,0.0,0.0,0.1139580209895051,0.083504682207611,0.0955555555555554,0.0680851063829786,0.0687564234326823,0.4298597885683324,0.0,0.0
straight,0.0199094215691201,0.0397186343659155,0.0624999999999999,0.0898148148148148,0.7236111111111112,0.5745370370370371,0.015328253794784799,0.0209981494558857,0.1724137931034482,-0.0666666666666666,0.0144444444444444,-0.0244680851063829,-0.0142857142857142,0.29227870360665625,0.17248253153058718,0.08387564196625075,0.5689655172413792,0.3866666666666666,0.4544444444444444,0.3627659574468085,0.4085714285714285,2.181414014370727,0.9860178585985628,0.9860178585985628,0.0775862068965516,-0.0025105188518922,-0.0011111111111111,-0.026652633974286,-0.0229701952723535,0.1308306661061944,0.0850938002532125,-0.0035240120824819032,0.1775862068965517,0.1680281401263434,0.1699999999999999,0.1246501308453748,0.1634635149023638,0.8037279927706336,0.37386820420230116,0.37386820420230116
gay,-0.0082602032685325,-0.0168565715043343,-0.0069444444444444,0.0638888888888888,0.6800925925925926,0.5421296296296296,-0.0128413710428678,-0.0355770564143641,-0.0689655172413792,0.0191666666666666,0.0377777777777777,-0.0372340425531914,0.0257142857142857,0.1888582899533006,0.3731343674667221,-0.019544771687104917,0.4586206896551724,0.4425,0.4999999999999999,0.4117021276595745,0.4685714285714286,2.281394245886175,1.0859980901140114,1.085998090114011,0.0137931034482758,-0.0108755274261603,0.0299999999999999,-0.0116850608715439,-0.0157763975155279,0.08213008926150779,0.06333570003827951,-0.05222458892716851,0.1482758620689654,0.1461497890295358,0.1366666666666666,0.141620207077028,0.1332919254658384,0.7060044503080343,0.2761446617397018,0.27614466173970187
lesbian,-0.0035373519248879,-0.0065494178475849,0.0134259259259259,0.0648148148148147,0.6685185185185185,0.5074074074074074,-0.0081185196992232,-0.0252699027576147,-0.0999999999999999,-0.0291666666666666,0.1755555555555555,-0.0627659574468084,-0.0085714285714285,0.3760596082404589,0.5105737809919758,0.1676565466000534,0.4620689655172413,0.4125,0.6777777777777778,0.4329787234042553,0.4771428571428571,2.462468323842131,1.2670721680699673,1.267072168069967,0.0051724137931034,-0.0008193863319386,0.041111111111111,-0.028723404255319,-0.0172764645426515,0.09310278003412349,0.10650012510490721,-0.04125189815455281,0.1534482758620689,0.1427370990237098,0.1766666666666666,0.1223404255319148,0.1575642343268242,0.7527567014111843,0.32289691284285194,0.32289691284285194
bisexual,-0.0012674051528933,-0.001571012283193,0.0125,0.0824074074074073,0.6402777777777777,0.7189814814814814,-0.005848572927228599,-0.0202914971932228,-0.0155172413793103,-0.0674999999999999,0.0233333333333332,0.0606382978723403,0.0171428571428571,0.18413172972784078,0.1717056795816881,-0.024271331912564725,0.2293103448275861,0.2408333333333333,0.3299999999999999,0.2989361702127658,0.2999999999999999,1.3990798483736848,0.25540783053255534,0.20368369260152064,0.0103448275862069,-0.0183333333333333,0.011111111111111,0.0329787234042552,-0.0357142857142857,0.10848228114919209,0.1092347302479356,-0.025872397039484213,0.1379310344827585,0.1316666666666666,0.1488888888888888,0.1138297872340425,0.1271428571428571,0.6594592344152135,0.22959944584688113,0.22959944584688108
pansexual,0.001321385833569,-0.0056606447022055,0.0069444444444444,0.0416666666666666,0.576388888888889,0.7666666666666666,-0.0032597819407662997,-0.0243811296122353,-0.0413793103448275,-0.0549999999999999,0.001111111111111,0.0138297872340425,0.1085714285714285,0.21989163726140942,0.2798414736400795,0.011488575621003916,0.189655172413793,0.1916666666666666,0.2477777777777777,0.2351063829787233,0.3114285714285714,1.1756345712655318,0.24182845380754417,-0.019761584506632346,-0.0051724137931034,-0.0092051381221944,0.0067101179391682,-0.002139037433155,0.0143268242548817,0.037553531542502704,0.1357996227421438,-0.09680114664617359,0.1327586206896551,0.0994706585563095,0.1380695220360024,0.0937080441460916,0.105858170606372,0.5698650160344306,0.14000522746609823,0.14000522746609823
