Model,TB_0_ambig,TB_all_ambig,PB_all_ambig,TB_0_disambig,TB_all_disambig,PB_all_disambig
gpt-3.5-turbo-0613,0.2933566433566432,0.25958041958041944,0.06300019425019424,0.0480777928039866,0.07003125597446354,0.02286819080258012
gpt-4-1106-preview,0.0288461538461538,0.01804195804195792,0.011278651903651966,0.0,0.0008312678206472081,0.0008659039798408417
meta-llama/Llama-2-70b-chat-hf,0.6958041958041958,0.5974475524475524,0.10274621212121211,0.0087899208907119,0.025017036676682217,0.01743307308691715
