,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,-0.0478723404255319,0.0333333333333333,0.0055555555555555,0.0285714285714285,0.0,0.023066531577169837,0.2287234042553191,0.2583333333333333,0.2833333333333333,0.2,0.1724137931034483,0.22856077280508683,0.0,0.0595186213883939,-0.0490566037735848,0.4560185185185185
bisexual,0.0478723404255319,0.0458333333333333,-0.05,-0.0928571428571428,-0.146551724137931,0.0766229081507878,0.324468085106383,0.2958333333333333,0.3944444444444444,0.2642857142857143,0.3362068965517241,0.3230476947443198,0.08635610639462432,0.0,-0.0606060606060605,0.2430555555555555
gay,0.026595744680851,0.0,-0.0555555555555555,-0.0857142857142857,0.0172413793103448,0.037021393052207405,0.3457446808510638,0.4166666666666667,0.3222222222222222,0.3571428571428571,0.3103448275862069,0.35042425089380336,0.060087924629377246,0.0,-0.0288461538461538,0.2430555555555555
lesbian,-0.0053191489361702,0.05,-0.0111111111111111,-0.0428571428571428,-0.0603448275862069,0.0339264460981262,0.3457446808510638,0.3416666666666667,0.3555555555555555,0.3,0.4051724137931034,0.3496278633732779,0.041531984767494645,0.0,-0.0046948356807511,0.261574074074074
pansexual,0.0478723404255319,-0.05,0.0277777777777777,-0.0285714285714285,-0.0517241379310344,0.041189136941154496,0.2925531914893617,0.3333333333333333,0.2833333333333333,0.2428571428571428,0.3793103448275862,0.30627746916815146,0.06203344629610215,0.0,0.0054644808743169,0.2199074074074074
straight,-0.0106382978723404,0.05,0.0166666666666666,-0.1357142857142857,0.0086206896551724,0.044327987981693025,0.3191489361702128,0.3833333333333333,0.3944444444444444,0.3357142857142857,0.3879310344827586,0.3641144068290069,0.04758364485437118,0.0,-0.01,0.2199074074074074
