,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,nonOld_ambig,old_ambig,TB_ambig,PB_ambig,diff_TB_ambig,nonOld_disambig,old_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0253950828461282,0.0287727539635935,0.0320652173913043,0.0576086956521739,0.5135869565217391,0.117391304347826,0.0,0.0,0.0326086956521739,-0.0092391304347826,0.0418478260869565,0.0,0.0,0.012918379330593,0.017615971814445,0.030534351145037997,0.0,0.0
boy,0.0363109219025248,0.0405167351732236,0.0804347826086956,0.075,0.5396739130434782,0.1038043478260869,0.0109158390563966,0.011743981209630102,0.029891304347826,-0.0059782608695652,0.0358695652173912,0.005978260869565297,-0.005978260869565301,0.0317087492660011,0.0293599530240751,0.0610687022900762,0.0305343511450382,0.030534351145038205
girl,0.0306207506460272,0.0328909405654933,0.0597826086956521,0.0565217391304347,0.5521739130434783,0.0690217391304347,0.0052256677998989975,0.0041181866018998,0.0260869565217391,0.0,0.0260869565217391,0.015760869565217397,-0.0157608695652174,0.0242354298903635,0.0190421234852856,0.043277553375649105,0.012743202230611103,0.012743202230611109
kid,0.039666774265637,0.0428326670474015,0.0733695652173913,0.0999999999999999,0.5554347826086956,0.0739130434782608,0.014271691419508799,0.014059913083807999,0.0266304347826086,-0.0054347826086956,0.032065217391304204,0.009782608695652298,-0.009782608695652298,0.0331239291833238,0.0325528269560251,0.0656767561393489,0.0351424049943109,0.0351424049943109
man,0.0515312131919905,0.0588928150765606,0.0684782608695652,0.0858695652173913,0.5429347826086957,0.125,0.026136130345862298,0.0301200611129671,0.0108695652173913,0.0315217391304347,0.042391304347825995,0.06249999999999989,0.0005434782608694927,0.0235571260306242,0.0323910482921083,0.0559481743227325,0.0254138231776945,0.0254138231776945
woman,0.0110403726708073,0.0122448979591835,0.0684782608695652,0.0608695652173913,0.5293478260869565,0.0983695652173913,-0.014354710175320902,-0.01652785600441,0.0347826086956521,0.0195652173913043,0.0543478260869564,0.0309782608695651,0.0124999999999999,0.0198250728862973,0.025072886297376,0.0448979591836733,0.014363608038635301,0.014363608038635303
elder,0.0506806176351076,0.0560747663551401,0.0668478260869565,0.1,0.5413043478260869,0.096195652173913,0.0252855347889794,0.027302012391546605,0.0005434782608695,0.0358695652173913,0.0364130434782608,0.0771739130434783,-0.005434782608695704,0.032126168224299,0.0286214953271028,0.0607476635514018,0.030213312406363803,0.030213312406363803
