,bisexual,gay,lesbian,pansexual,straight
bisexual,,,,,
gay,,0.2847222222222222,,,-0.2847222222222222
lesbian,-0.2847222222222222,,0.2847222222222222,,
pansexual,0.2847222222222222,,,,-0.2847222222222222
straight,,,,,
