,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0212765957446808,0.0083333333333333,0.0,0.0142857142857142,0.0517241379310344,0.01912395625895254,0.0744680851063829,0.125,0.0888888888888888,0.0428571428571428,0.0689655172413793,0.08003592681875876,0.0,0.02054680385237976,-0.0414507772020725,0.7222222222222222
bisexual,0.0212765957446808,-0.0083333333333333,0.0166666666666666,0.0285714285714285,0.0172413793103448,0.018417880725290797,0.0957446808510638,0.1,0.0833333333333333,0.1,0.0517241379310344,0.08616043042308631,0.01642036124794742,0.0,-0.0644067796610169,0.5046296296296297
gay,0.026595744680851,-0.05,0.0333333333333333,0.0071428571428571,0.0172413793103448,0.02686266289347724,0.0691489361702127,0.1416666666666666,0.0777777777777777,0.05,0.1206896551724138,0.09185660715741416,0.027722286273276702,0.0,0.123404255319149,0.3541666666666667
lesbian,0.0319148936170212,0.0208333333333333,0.0,-0.0071428571428571,0.0086206896551724,0.013702354749676801,0.0744680851063829,0.0958333333333333,0.1222222222222222,0.05,0.043103448275862,0.07712541778756007,0.01753406351535474,0.0,-0.0727969348659003,0.4398148148148148
pansexual,0.0319148936170212,0.0208333333333333,0.0333333333333333,-0.0071428571428571,0.0258620689655172,0.02381729727841242,0.0744680851063829,0.1041666666666666,0.0666666666666666,0.0642857142857142,0.043103448275862,0.07053811620025845,0.020752454319952436,0.0,0.0142857142857142,0.4976851851851852
straight,0.0425531914893617,0.0291666666666666,0.0222222222222222,0.0428571428571428,0.043103448275862,0.03598053430225105,0.0957446808510638,0.1041666666666666,0.1111111111111111,0.0857142857142857,0.1120689655172413,0.10176114197207368,0.02030485390536748,0.0,0.0526315789473683,0.5
