,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0425531914893617,0.0083333333333333,0.0277777777777777,0.0142857142857142,0.0517241379310344,0.028934830963444257,0.0957446808510638,0.1083333333333333,0.0944444444444444,0.0571428571428571,0.1034482758620689,0.0918227183267535,0.0,0.013343255423959751,-0.0208333333333333,0.7013888888888888
bisexual,0.0478723404255319,-0.0041666666666666,0.0166666666666666,0.0214285714285714,0.0344827586206896,0.024923400761625223,0.1117021276595744,0.0958333333333333,0.0722222222222222,0.0928571428571428,0.1034482758620689,0.09521262038686831,0.01066289930009664,0.0,-0.0309859154929577,0.6319444444444444
gay,0.0159574468085106,0.0,0.0333333333333333,0.0428571428571428,0.043103448275862,0.027050274254969742,0.0691489361702127,0.0833333333333333,0.1111111111111111,0.0714285714285714,0.0948275862068965,0.085969907650025,0.015535350359268202,0.0,0.0576271186440677,0.5115740740740741
lesbian,0.0159574468085106,0.0166666666666666,0.0555555555555555,0.0,0.0086206896551724,0.01936007173718102,0.0585106382978723,0.0833333333333333,0.1333333333333333,0.0857142857142857,0.0603448275862069,0.0842472836530063,0.02401920367070768,0.0,0.0,0.5370370370370371
pansexual,0.0425531914893617,-0.0083333333333333,0.0333333333333333,0.0214285714285714,0.0775862068965517,0.03664692729623028,0.0851063829787234,0.0916666666666666,0.1111111111111111,0.0928571428571428,0.0948275862068965,0.0951137779641081,0.01104542966611934,0.0,0.0564971751412428,0.6296296296296297
straight,0.026595744680851,0.0041666666666666,0.0277777777777777,0.0071428571428571,0.0517241379310344,0.02348143683983736,0.0585106382978723,0.0958333333333333,0.0944444444444444,0.0785714285714285,0.0862068965517241,0.08271334823976052,0.0054533941236069,0.0,0.0580645161290322,0.5509259259259259
