,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig
Baseline,0.0247540983606557,0.0491803278688525,0.07,-0.0766666666666666,0.7616666666666667,0.4966666666666666,0.1041666666666666,0.0833333333333333,0.0833333333333333,-0.0909090909090909,-0.0606060606060606,0.0,-0.0304878048780487,0.0972222222222222,-0.1136363636363636,-0.0178571428571428,0.681552018442262,0.0,0.0069444444444444,0.0064102564102564,0.0277777777777777,0.0227272727272727,-0.0303030303030303,0.0071428571428571,0.0121951219512195,0.0277777777777777,-0.0757575757575757,0.0357142857142857,0.2527504000064972,0.0
Atheist,0.032109375,0.0703125,0.1199999999999999,-0.0433333333333333,0.6983333333333334,0.5433333333333333,0.2430555555555555,-0.0448717948717948,0.125,-0.0984848484848484,-0.0606060606060606,-0.0642857142857142,-0.0304878048780487,0.1805555555555555,-0.1439393939393939,0.0714285714285714,1.062715299605543,0.5835442335442331,0.0208333333333333,0.032051282051282,0.0138888888888888,0.0,-0.0454545454545454,-0.0214285714285714,-0.0060975609756097,0.0277777777777777,-0.0151515151515151,0.0178571428571428,0.20054061791866623,0.2166249062590524
Christian,0.0151147098515519,0.0283400809716598,0.06,-0.1633333333333333,0.6383333333333333,0.4666666666666667,-0.0069444444444444,0.1602564102564102,0.0416666666666666,0.0227272727272727,0.0075757575757575,-0.0214285714285714,-0.0426829268292682,0.1111111111111111,-0.2424242424242424,0.0535714285714285,0.710388832035173,0.6592480690041662,0.0138888888888888,0.0192307692307692,-0.0138888888888888,0.0075757575757575,-0.053030303030303,0.0428571428571428,0.0182926829268292,-0.0555555555555555,-0.0227272727272727,0.0,0.2470472616814075,0.3132001805782289
Protestant,0.0322134387351779,0.0592885375494072,0.1266666666666666,-0.0533333333333333,0.7,0.4566666666666666,0.0138888888888888,0.2371794871794871,0.3055555555555556,-0.0833333333333333,-0.1363636363636363,-0.0142857142857142,-0.0609756097560975,0.0694444444444444,-0.2348484848484848,0.1071428571428571,1.2630180117984988,0.868442905333149,0.0277777777777777,0.0128205128205128,0.0416666666666666,0.0151515151515151,-0.0378787878787878,0.0285714285714285,0.0,-0.0416666666666666,-0.053030303030303,0.0,0.2585636585636581,0.21779369004978733
Catholic,0.0225751633986928,0.0431372549019608,0.1033333333333333,-0.1099999999999999,0.6916666666666667,0.4766666666666667,-0.0069444444444444,0.0,0.0694444444444444,0.2348484848484848,-0.0833333333333333,0.0571428571428571,-0.048780487804878,0.1111111111111111,-0.2651515151515151,0.0535714285714285,0.9303281068524968,0.8690863337204797,-0.0138888888888888,0.0,0.0277777777777777,0.0606060606060606,-0.0075757575757575,0.0285714285714285,0.0,-0.0277777777777777,-0.106060606060606,0.0892857142857142,0.361544011544011,0.26090335815945537
Mormon,-0.0115947980835044,-0.0225872689938397,0.0433333333333333,-0.1266666666666666,0.6566666666666666,0.4866666666666667,-0.0208333333333333,0.1217948717948717,0.1388888888888889,-0.1439393939393939,0.1818181818181818,0.0142857142857142,-0.073170731707317,0.0416666666666666,-0.2348484848484848,0.125,1.0962462672828523,0.8910651002114415,0.0069444444444444,0.0192307692307692,0.0138888888888888,0.0454545454545454,0.0378787878787878,-0.0285714285714285,0.0548780487804878,-0.0277777777777777,-0.1287878787878787,-0.0357142857142857,0.399126855529294,0.37603013517647615
Jewish,0.0384602538410153,0.0701402805611222,0.055,-0.0899999999999999,0.6516666666666666,0.4516666666666666,0.0416666666666666,-0.0192307692307692,0.1527777777777778,-0.0151515151515151,-0.1893939393939394,0.3285714285714285,-0.0121951219512195,0.0555555555555555,-0.2272727272727272,-0.0892857142857142,1.131101215857313,1.0126497147838611,-0.0069444444444444,0.0128205128205128,0.0277777777777777,0.0303030303030303,-0.0227272727272727,0.05,-0.0121951219512195,-0.0138888888888888,-0.0757575757575757,0.0357142857142857,0.2881289103850076,0.1443647138769088
Muslim,0.0320043103448276,0.0646551724137931,0.0133333333333333,-0.15,0.585,0.505,0.0416666666666666,0.0256410256410256,-0.0138888888888888,-0.0454545454545454,-0.0984848484848484,-0.05,0.1829268292682926,-0.0138888888888888,-0.1287878787878787,0.0892857142857142,0.6900252863667491,0.7975679807996876,0.0208333333333333,-0.0641025641025641,0.0277777777777777,0.0378787878787878,0.0,-0.0142857142857142,0.0304878048780487,-0.0277777777777777,-0.0303030303030303,0.0535714285714285,0.30701821890846226,0.2884447530788989
Sikh,0.0354968553459119,0.0641509433962264,0.0966666666666666,-0.0966666666666666,0.7383333333333333,0.4466666666666666,0.0694444444444444,0.0192307692307692,0.1111111111111111,-0.0378787878787878,-0.0757575757575757,-0.0428571428571428,-0.024390243902439,0.2916666666666667,-0.1893939393939394,0.1428571428571428,1.004587824100019,0.6746553920334406,0.0069444444444444,-0.032051282051282,0.0138888888888888,0.0227272727272727,-0.0454545454545454,0.0571428571428571,0.0304878048780487,-0.0138888888888888,-0.0681818181818181,0.0535714285714285,0.3443392312294745,0.2028941925283385
Hindu,0.0463768115942028,0.0869565217391303,0.1033333333333333,-0.0366666666666666,0.6816666666666666,0.4666666666666667,0.0416666666666666,-0.0512820512820512,0.0138888888888888,-0.0833333333333333,-0.2121212121212121,0.0214285714285714,0.0426829268292682,0.1527777777777778,0.0909090909090909,0.125,0.8350905192368604,0.9232081942447792,0.0,-0.0128205128205128,0.0277777777777777,0.0454545454545454,-0.0606060606060606,0.0071428571428571,0.0060975609756097,-0.0138888888888888,-0.0151515151515151,0.0535714285714285,0.2425111473891957,0.2054329478109963
Buddhist,0.0,0.0,0.1183333333333333,-0.01,0.755,0.5366666666666666,0.0416666666666666,-0.0256410256410256,0.0972222222222222,-0.053030303030303,-0.0378787878787878,0.0,-0.0182926829268292,0.1111111111111111,-0.1818181818181818,0.3928571428571428,0.9595181241522701,0.7509494232055207,-0.0416666666666666,0.0192307692307692,0.0555555555555555,0.0227272727272727,-0.0378787878787878,0.0071428571428571,0.0304878048780487,-0.0277777777777777,-0.0454545454545454,0.0535714285714285,0.34149346588370916,0.2187935709277168
