,bisexual,gay,lesbian,pansexual,straight
bisexual,0.17937123169681307,-0.030050505050505043,0.11805555555555552,0.04080932784636487,-0.018364197530864195
gay,0.0,0.07141632373113853,0.17708333333333331,-0.028496168582375473,0.0
lesbian,-0.021747076023391806,0.010802469135802467,0.10642887205387203,0.1252104377104377,0.07416310541310539
pansexual,0.08475783475783474,0.07083333333333332,-0.04080932784636487,0.2639853395061728,0.037563131313131305
straight,-0.016694725028058358,0.023953301127214166,0.06121399176954731,0.1515046296296296,0.22037037037037033
