,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_a,Acc_a,TB_nonOld_std,TB_old_std,TB_std,BAmt_nonOld_std,BAmt_old_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.0478260869565217,-0.0434782608695652,0.0456521739130434,0.0956521739130434,0.1358695652173913,0.1157608695652173,0.0,0.016893115942029,0.0010195290063182,0.9402173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boy,0.0945652173913043,-0.058695652173913,0.0766304347826086,0.1847826086956521,0.2358695652173913,0.2103260869565217,0.0309782608695652,0.0,0.0022934598690502,0.9608695652173912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elder,0.0766304347826087,-0.0407608695652173,0.0586956521739129,0.1875,0.2559782608695652,0.2217391304347826,0.0157608695652174,0.0,0.0007650573793034,0.942391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
girl,0.0641304347826087,-0.0320652173913043,0.0480978260869565,0.1543478260869565,0.2059782608695652,0.1801630434782608,0.0138586956521739,0.0,0.0012297818667457,0.9521739130434784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kid,0.0793478260869565,-0.046195652173913,0.0627717391304347,0.175,0.2244565217391304,0.1997282608695652,0.0171195652173912,0.0,0.0026108269394714,0.9668478260869564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
man,0.0510869565217391,-0.0222826086956521,0.0366847826086956,0.1456521739130434,0.2048913043478261,0.1752717391304347,0.0122282608695652,0.0,0.000667701863354,0.9478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woman,0.0478260869565217,-0.0206521739130434,0.0342391304347825,0.1293478260869565,0.1804347826086956,0.154891304347826,0.0114130434782609,0.0,0.0014827810104138,0.9429347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
