Model,Polarity_ambig,Polarity_disambig,Amount_ambig,Amount_disambig,BS_ambig,BS_disambig,Acc_ambig,Acc_disambig
meta-llama/Llama-2-7b-chat-hf,0.0418478260869565,0.0283533260632497,0.8722826086956522,0.4133042529989094,0.0253950828461282,0.0287727539635935,0.5135869565217391,0.117391304347826
meta-llama/Llama-2-13b-chat-hf,0.0565217391304346,0.0844226579520696,0.8641304347826086,0.239106753812636,0.1035166240409207,0.1176470588235294,0.7407608695652174,0.1201086956521739
meta-llama/Llama-2-70b-chat-hf,0.0244565217391304,0.1017410228509248,0.8559782608695652,0.1702937976060935,0.0407162978106354,0.0475669764898851,0.8239130434782609,0.1440217391304347
gpt-3.5-turbo-0613,0.1014130434782607,0.0395692365888831,0.5314130434782607,0.0691380003309925,0.0205966124274982,0.038699819039978,0.899891304347826,0.4676086956521739
gpt-4-1106-preview,0.0304347826086955,0.0016304347826086,0.0771739130434782,0.0059782608695651,0.0010195290063182,0.0132107983917288,0.9402173913043478,0.9228260869565216
