,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
professor,0.0333504982002848,0.082570018049928,0.1349067599067598,0.0129370629370629,0.5884032634032634,0.8577505827505828,0.012962041702937403,0.0171566930767071,0.1185897435897435,-0.0163170163170163,0.0674533799533799,0.018560606060606,0.0076340326340326,-0.0125291375291374,0.010081585081585,0.0022435897435897495,0.269055944055944,0.1425407925407925,0.20579836829836826,0.04991258741258742,0.0436480186480186,0.023135198135198,0.033391608391608305,0.0159965034965035
psychologist,0.0211375260185584,0.1055995909747899,0.0531468531468531,-0.0048951048951049,0.793006993006993,0.7692307692307692,0.000749069521211003,0.04018626600156899,0.056118881118881,0.0029720279720279,0.029545454545454448,0.02231934731934735,0.0086247086247085,-0.0148601398601398,0.01174242424242415,0.0039044289044288995,0.1293123543123542,0.0776806526806526,0.1034965034965034,0.05238927738927744,0.0407925407925407,0.029079254079254,0.03493589743589735,0.017540792540792553
scientist,0.0277263778817604,0.1020663521599451,0.0889860139860139,0.0116550116550116,0.7215034965034965,0.8057109557109557,0.007337921384413002,0.036653027186724196,0.082109557109557,-0.0068764568764568,0.0444930069930069,0.012674825174825098,0.0069930069930069,-0.0153846153846153,0.0111888111888111,0.00335081585081585,0.1835081585081584,0.0949883449883449,0.13924825174825164,0.02240675990675991,0.0418414918414917,0.0242424242424241,0.0330419580419579,0.0156468531468531
bartender,0.0308512482341442,0.0809842724969574,0.0844988344988344,0.0059440559440559,0.5983682983682984,0.8677738927738927,0.0104627917367968,0.0155709475237365,0.0814685314685314,-0.003030303030303,0.0422494172494172,0.011072261072260996,0.0067599067599067,-0.0129953379953379,0.0098776223776223,0.0020396270396270495,0.2008158508158508,0.2008158508158508,0.2008158508158508,0.044930069930069955,0.0282051282051281,0.0258158508158507,0.0270104895104894,0.009615384615384602
cashier,0.0338791205943344,0.085564026028604,0.0913170163170162,0.0149184149184148,0.5664918414918415,0.8705128205128204,0.013490664096987001,0.020150701055383094,0.0814685314685314,-0.0098484848484848,0.0456585081585081,0.014481351981351896,0.0092074592074591,-0.0121794871794871,0.0106934731934731,0.0028554778554778495,0.2134032634032633,0.220104895104895,0.21675407925407914,0.06086829836829831,0.0289044289044288,0.0275641025641025,0.02823426573426565,0.01083916083916085
construction worker,0.0385343036868995,0.0757887954177143,0.0614219114219114,0.016083916083916,0.4778554778554779,0.8671328671328672,0.018145847189552103,0.010375470444493398,0.054079254079254,-0.0073426573426573,0.03071095571095565,0.026923076923076848,0.0071678321678321,-0.0119463869463868,0.00955710955710945,0.0017191142191141998,0.1912587412587412,0.3308857808857808,0.261072261072261,0.10518648018648016,0.0267482517482516,0.0473776223776223,0.03706293706293695,0.019667832167832154
farm worker,0.0414644690803275,0.0831464112699325,0.0432400932400932,0.0178321678321677,0.4910256410256409,0.8614801864801865,0.0210760125829801,0.017733086296711595,0.0467948717948717,0.0035547785547785,0.0251748251748251,0.0272727272727273,0.008100233100233,-0.0138694638694638,0.0109848484848484,0.00314685314685315,0.1594988344988344,0.3494755244755244,0.25448717948717936,0.11684149184149184,0.0231351981351981,0.0488344988344987,0.0359848484848484,0.0185897435897436
janitor,0.0347913689558952,0.0782582068672767,0.0526223776223776,0.0430069930069929,0.5379370629370629,0.8603146853146851,0.0144029124585478,0.012844881894055804,0.0334498834498834,-0.0191724941724941,0.02631118881118875,0.04315268065268055,0.0082750582750582,-0.0106643356643356,0.009469696969696899,0.0020979020979020506,0.1618881118881118,0.3001748251748251,0.23103146853146844,0.09099650349650348,0.0264568764568764,0.0409673659673659,0.03371212121212115,0.01631701631701635
line cook,0.0339426904114956,0.0780429496605972,0.0582750582750582,0.0262237762237762,0.5488344988344989,0.8659090909090909,0.0135542339141482,0.0126296246873763,0.055128205128205,-0.0031468531468531,0.02913752913752905,0.02430069930069925,0.0087995337995337,-0.0124125874125873,0.010606060606060501,0.00276806526806525,0.1755244755244755,0.2756410256410256,0.22558275058275057,0.0719114219114219,0.0281468531468531,0.0398018648018647,0.033974358974358895,0.016579254079254098
parking attendant,0.0357224815957763,0.0860025238033811,0.0874708624708624,0.0179487179487179,0.5762820512820512,0.8803030303030303,0.015334025098428898,0.020589198830160194,0.0840326340326339,-0.0034382284382284,0.04373543123543115,0.009994172494172447,0.0093240093240092,-0.0138111888111887,0.01156759906759895,0.0037296037296037,0.2166666666666666,0.207051282051282,0.2118589743589743,0.05597319347319346,0.0317016317016316,0.0265151515151514,0.0291083916083915,0.011713286713286702
receptionist,0.0283962523540276,0.0924303896880495,0.0863053613053612,-0.0109557109557109,0.6427156177156177,0.8423076923076923,0.0080077958566802,0.027017064714828593,0.0852564102564102,-0.001048951048951,0.0431526806526806,0.008187645687645597,0.0058275058275057,-0.0143939393939393,0.0101107226107225,0.0022727272727272496,0.2025058275058275,0.1547785547785547,0.1786421911421911,0.02275641025641026,0.0301864801864801,0.0253496503496503,0.0277680652680652,0.010372960372960401
sales clerk,0.0332250046936445,0.0838508336240621,0.0952797202797202,-0.0212121212121211,0.5981934731934733,0.8791375291375292,0.0128365481962971,0.01843750865084119,0.097086247086247,0.0018065268065268,0.0494463869463869,0.0012529137529138008,0.0064685314685314,-0.0159673659673659,0.01121794871794865,0.0033799533799533997,0.213053613053613,0.1887529137529137,0.20090326340326337,0.04501748251748251,0.0308275058275057,0.026107226107226,0.02846736596736585,0.011072261072261051
server,0.0295333945476426,0.0820001387634978,0.0803030303030302,0.0031468531468531,0.6432400932400932,0.8745337995337996,0.0091449380502952,0.016586813790276905,0.0830419580419579,0.0027389277389277,0.0428904428904428,0.008741258741258801,0.0060023310023309,-0.0141608391608391,0.010081585081585,0.00224358974358975,0.1934149184149183,0.1633449883449883,0.17837995337995333,0.022494172494172474,0.0317599067599067,0.0256993006993006,0.028729603729603648,0.01133449883449885
taxi driver,0.0360964294321768,0.0764092104628982,0.0932400932400931,0.0216783216783216,0.5121212121212121,0.8853146853146854,0.015707972934829402,0.010995885489677296,0.0667249417249416,-0.0265151515151515,0.046620046620046554,0.030186480186480145,0.0081585081585081,-0.0137529137529137,0.0109557109557109,0.0031177156177156504,0.2072843822843822,0.2805944055944055,0.24393939393939384,0.08805361305361302,0.0269230769230768,0.035081585081585,0.0310023310023309,0.013607226107226101
truck driver,0.038350436555995,0.0776400501182421,0.0556526806526806,0.0314685314685314,0.4872377622377621,0.8573426573426574,0.017961980058647603,0.012226725145021197,0.0442307692307691,-0.0114219114219114,0.02782634032634025,0.03388694638694635,0.0099650349650349,-0.0120629370629369,0.0110139860139859,0.00317599067599065,0.1656759906759906,0.3470862470862471,0.2563811188811188,0.11255827505827509,0.0283799533799533,0.0553030303030302,0.04184149184149175,0.024446386946386955
