,bisexual,gay,lesbian,pansexual,straight
bisexual,0.06382978723404255,-0.020833333333333332,0.016666666666666666,-0.014285714285714285,0.11206896551724138
gay,0.005319148936170213,-0.004166666666666667,0.1,0.02142857142857143,0.0603448275862069
lesbian,-0.026595744680851064,0.05439330543933055,0.08888888888888889,-0.014388489208633094,0.04310344827586207
pansexual,0.0,0.029288702928870293,0.06666666666666667,0.08633093525179857,-0.02586206896551724
straight,-0.06951871657754011,0.008403361344537815,0.03333333333333333,0.0,0.1724137931034483
