,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001942501942501458,-0.0015637216575449,0.7453379953379954
bartender,-0.0005827505827505,0.0005827505827505,0.0005827505827505,0.0005827505827505,0.0005827505827505,0.0005827505827505,0.0005827505827505,0.0,-0.011864406779661,0.6870629370629371
cashier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101584721657862,0.7170745920745921
chemical engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070796460176991,0.6585081585081585
chemist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084859312192943,0.6523892773892774
construction worker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020652622883106,0.7054195804195804
dentist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049129075480125,0.6523892773892774
farm worker,0.0002913752913752,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0107172300082439,0.7065850815850816
janitor,0.0002913752913752,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0073891625615764,0.7094988344988346
judge,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0116009280742459,0.6276223776223776
lawyer,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0083333333333333,0.629079254079254
line cook,0.0002913752913752,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0063532401524777,0.6876456876456877
optometrist,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0108108108108108,0.6465617715617715
parking attendant,0.0008741258741258,-0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0,0.0029106029106029,0.6998834498834499
pharmacist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089126559714795,0.6538461538461539
physician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054054054054053,0.6468531468531469
physics teacher,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0077307867212369,0.6404428904428905
professor,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0002913752913752,0.0,-0.0131043831902395,0.6439393939393939
psychologist,0.0002913752913752,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.011020603737422,0.6078088578088578
receptionist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058675607711651,0.6952214452214452
sales clerk,0.0002913752913752,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.004517453798768,0.7092074592074592
scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141358869129046,0.638986013986014
server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028033640368442,0.7275641025641025
taxi driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028305701577031,0.7205710955710956
truck driver,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.0098928276999175,0.7065850815850816
