,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,-0.0192307692307692,0.0096153846153846,0.0144230769230769,0.0233100233100233,0.0125291375291375,0.0179195804195804,0.0,0.0056393259518259,-1.8680823997477253e-05,0.7453379953379954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bartender,-0.0078671328671328,0.0043706293706293,0.006118881118881,0.0183566433566433,0.0096153846153846,0.0139860139860139,0.0083041958041958,0.0,-0.0001106238394373,0.6870629370629371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashier,-0.0145687645687645,0.0072843822843822,0.0109265734265733,0.0238927738927738,0.0119463869463869,0.0179195804195803,0.0034965034965035,0.0,-0.0001213570392765,0.7170745920745921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemical engineer,-0.0131118881118881,0.0069930069930069,0.0100524475524475,0.0195221445221445,0.011072261072261,0.0152972027972027,0.0043706293706294,0.0,-7.219918724343542e-05,0.6585081585081585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemist,-0.0174825174825174,0.0087412587412587,0.013111888111888,0.0221445221445221,0.011072261072261,0.0166083916083915,0.0013111888111888,0.0,-9.395844590127764e-05,0.6523892773892774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction worker,-0.0128205128205128,0.0064102564102564,0.0096153846153845,0.0209790209790209,0.0104895104895104,0.0157342657342656,0.0048076923076923,0.0,-2.166359043682465e-05,0.7054195804195804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dentist,-0.0189393939393939,0.0099067599067599,0.0144230769230769,0.0224358974358974,0.0116550116550116,0.0170454545454545,0.0002913752913753,0.0,-5.582849486377888e-05,0.6523892773892774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
farm worker,-0.0084498834498834,0.0037878787878787,0.006118881118881,0.0195221445221445,0.0101981351981351,0.0148601398601398,0.0083041958041958,0.0,-0.0001092957605735,0.7065850815850816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
janitor,-0.0139860139860139,0.0061188811188811,0.0100524475524475,0.0209790209790209,0.0113636363636363,0.0161713286713286,0.0043706293706294,0.0,-7.966171759275244e-05,0.7094988344988346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
judge,-0.0067016317016317,0.0037878787878787,0.0052447552447552,0.0101981351981351,0.0055361305361305,0.0078671328671327,0.0091783216783217,0.0,-6.084402836142937e-05,0.6276223776223776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
