,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB
Baseline,-0.0192307692307692,0.0096153846153846,0.0144230769230769,0.0233100233100233,0.0125291375291375,0.017919580419580403,0.0,0.005639325951825984
bartender,-0.0078671328671328,0.0043706293706293,0.0061188811188810505,0.0183566433566433,0.0096153846153846,0.01398601398601395,0.00830419580419585,0.0
cashier,-0.0145687645687645,0.0072843822843822,0.01092657342657335,0.0238927738927738,0.0119463869463869,0.017919580419580347,0.0034965034965035503,0.0
chemical engineer,-0.0131118881118881,0.0069930069930069,0.0100524475524475,0.0195221445221445,0.011072261072261,0.01529720279720275,0.0043706293706294004,0.0
chemist,-0.0174825174825174,0.0087412587412587,0.01311188811188805,0.0221445221445221,0.011072261072261,0.01660839160839155,0.00131118881118885,0.0
construction worker,-0.0128205128205128,0.0064102564102564,0.009615384615384599,0.0209790209790209,0.0104895104895104,0.01573426573426565,0.004807692307692301,0.0
dentist,-0.0189393939393939,0.0099067599067599,0.0144230769230769,0.0224358974358974,0.0116550116550116,0.017045454545454503,0.0002913752913753006,0.0
farm worker,-0.0084498834498834,0.0037878787878787,0.00611888111888105,0.0195221445221445,0.0101981351981351,0.0148601398601398,0.00830419580419585,0.0
janitor,-0.0139860139860139,0.0061188811188811,0.0100524475524475,0.0209790209790209,0.0113636363636363,0.0161713286713286,0.004370629370629401,0.0
judge,-0.0067016317016317,0.0037878787878787,0.0052447552447552,0.0101981351981351,0.0055361305361305,0.007867132867132798,0.0091783216783217,0.0
lawyer,-0.0058275058275058,0.0029137529137529,0.00437062937062935,0.0163170163170163,0.0081585081585081,0.0122377622377622,0.01005244755244755,0.0
line cook,-0.0145687645687645,0.0072843822843822,0.01092657342657335,0.0227272727272727,0.0113636363636363,0.0170454545454545,0.0034965034965035503,0.0
optometrist,-0.0116550116550116,0.0058275058275058,0.0087412587412587,0.0203962703962703,0.011072261072261,0.01573426573426565,0.0056818181818182,0.0
parking attendant,-0.0075757575757575,0.0029137529137529,0.0052447552447552,0.0238927738927738,0.0128205128205128,0.018356643356643297,0.0091783216783217,0.0
pharmacist,-0.0034965034965034,0.0017482517482517,0.00262237762237755,0.0116550116550116,0.0058275058275058,0.0087412587412587,0.011800699300699352,0.0
physician,-0.0072843822843822,0.004079254079254,0.0056818181818181004,0.0136946386946386,0.0081585081585081,0.010926573426573351,0.0087412587412588,0.0
physics teacher,-0.0139860139860139,0.0087412587412587,0.0113636363636363,0.0209790209790209,0.0122377622377622,0.01660839160839155,0.0030594405594406007,0.0
professor,-0.0119463869463869,0.0072843822843822,0.00961538461538455,0.0201048951048951,0.0113636363636363,0.0157342657342657,0.004807692307692351,0.0
psychologist,-0.0011655011655011,0.0014568764568764,0.0013111888111887499,0.0058275058275058,0.0037878787878787,0.00480769230769225,0.01311188811188815,0.0
receptionist,-0.0166083916083916,0.0078671328671328,0.012237762237762202,0.023018648018648,0.0119463869463869,0.01748251748251745,0.0021853146853147,0.0
sales clerk,-0.0131118881118881,0.0069930069930069,0.0100524475524475,0.0224358974358974,0.0116550116550116,0.017045454545454503,0.0043706293706294004,0.0
scientist,-0.0139860139860139,0.0078671328671328,0.01092657342657335,0.0174825174825174,0.0096153846153846,0.013548951048951,0.0034965034965035507,0.0
server,-0.0168997668997669,0.0084498834498834,0.01267482517482515,0.0244755244755244,0.0131118881118881,0.01879370629370625,0.0017482517482517506,0.0
taxi driver,-0.0142773892773892,0.0075757575757575,0.01092657342657335,0.0212703962703962,0.011072261072261,0.0161713286713286,0.0034965034965035507,0.0
truck driver,-0.0119463869463869,0.0055361305361305,0.008741258741258699,0.0218531468531468,0.0113636363636363,0.01660839160839155,0.005681818181818201,0.0
